second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,45,1612,10090,8450,2005,12070,10020,Currituck
99,128,2243,10027,7685,2661,11326,8537,Anson
2160,3223,998,6916,3758,1209,8557,4125,Swain
354,510,7988,27297,18955,9606,32104,21988,Pender
75,114,844,6038,5119,1120,7279,6045,Mitchell
211,320,3944,18542,14387,4854,21556,16382,Richmond
850,1314,33446,95922,61626,38386,112273,72573,Gaston
914,1319,6912,30179,22353,8084,35795,26392,Haywood
6964,8098,12452,54552,35136,14648,61345,38599,Craven
396,524,11330,32636,20910,12916,36507,23067,Franklin
1172,1521,33112,82963,48679,37340,93880,55019,Iredell
119,168,4344,16099,11636,4901,18446,13377,Yadkin
298,398,4150,21996,17548,4977,25629,20254,Beaufort
919,1308,15101,46621,30601,18067,54858,35483,Harnett
108,144,1559,8518,6851,1744,9368,7480,Polk
17,23,4648,22203,17538,5278,26635,21334,Dare
1933,3083,61333,191833,128567,68068,232773,161622,Forsyth
46549,56495,22118,100646,31979,26632,121172,38045,Onslow
51,71,905,4335,3379,1112,4824,3641,Jones
563,772,15367,46874,30944,17411,53989,35806,Nash
2375,3432,2861,19249,14013,3363,23800,17005,Jackson
228,284,6600,21941,15113,7632,25573,17657,Duplin
26,34,1041,5067,4000,1273,6484,5177,Alleghany
34479,25554,78573,154720,41668,88272,172361,58535,Missing
1439,2075,38591,103181,63151,42950,116929,71904,Cabarrus
92,132,2182,14405,12131,2654,16158,13372,Alexander
944,875,637,4701,3120,775,5297,3647,Camden
347,503,2434,20614,17833,3089,24022,20430,Mcdowell
317,420,6829,27576,20430,7927,32900,24553,Sampson
285,420,7988,26427,18154,9335,30502,20747,Lenoir
426,644,4722,24807,19659,5371,28416,22401,Rutherford
144,184,2228,10606,8234,2734,11930,9012,Montgomery
162,249,6182,18156,11812,7181,21419,13989,Stokes
278,355,5306,21152,15568,6343,24671,17973,Columbus
354,499,9781,36438,26303,12103,42002,29400,Wilson
241,382,13155,37342,23946,15698,42460,26380,Lincoln
1254,1816,41578,124714,81882,47096,147049,98137,New hanover
251,346,6333,20505,13921,7237,23903,16320,Davie
83,122,1139,8251,7029,1351,9236,7763,Northampton
262,371,3883,23725,19580,4695,26798,21732,Halifax
663,891,11508,48169,35998,13884,56131,41356,Robeson
777,1103,4868,15914,10269,5959,19169,12107,Hoke
130,173,804,7983,7049,990,9110,7947,Yancey
431,641,9360,29764,19973,10676,34019,22702,Lee
3812,5669,38583,144577,102182,42321,169648,121658,Buncombe
,,136,2881,2745,165,3229,3064,Hyde
295,403,5318,21009,15396,6384,24678,17891,Edgecombe
224,291,2712,14313,11377,3115,18431,15025,Transylvania
272,376,11156,37218,25790,13305,41979,28298,Chatham
4501,6003,49037,191834,138296,54546,224235,163686,Durham
,,129,1701,1572,165,1965,1800,Tyrrell
690,915,13183,50979,37106,15296,57085,40874,Moore
565,744,17571,54702,36566,20285,62124,41095,Randolph
2887,3448,17262,55435,35286,19929,62656,39279,Rowan
99,124,2712,11709,8898,3144,14576,11308,Ashe
979,1434,11622,55977,43376,13748,67175,51993,Henderson
302,403,5902,22261,16057,6879,25241,17959,Vance
574,913,42747,114212,70891,47705,129339,80721,Union
38,56,1456,5178,3684,1717,6049,4276,Washington
949,1264,20543,69332,47840,23855,80183,55064,Davidson
4259,4605,8548,33777,20970,9840,37656,23211,Granville
66,123,3839,24473,20568,4479,32502,27900,Watauga
316,518,12150,43011,30545,14339,48833,33976,Cleveland
,12,428,4050,3622,507,4592,4073,Gates
292,374,688,3523,2543,857,4110,2879,Graham
391,599,10328,35540,24821,12001,40104,27504,Carteret
1043,1412,21700,86921,64178,24721,98281,72148,Alamance
4585,7596,212299,595586,378702,237278,695109,450235,Mecklenburg
1503,1837,20373,78585,56709,23035,89434,64562,Brunswick
390,477,5720,24539,18429,6629,27470,20364,Stanly
11,15,851,5381,4519,1057,6328,5256,Perquimans
136,221,1143,9834,8555,1274,12229,10734,Madison
14,29,4152,17808,13642,5052,21357,16276,Pasquotank
195,259,8637,28760,19928,9807,32834,22768,Wilkes
184,322,8205,33136,24747,10291,38586,27973,Caldwell
401,724,25241,75168,49526,29339,84376,54313,Catawba
80,101,2159,9228,6989,2574,11046,8371,Greene
338,490,11333,40641,28970,13312,45706,31904,Rockingham
,,,79924,79924,,101869,101869,Out o
317,470,2342,16990,14331,2884,21186,17832,Macon
5865,8544,230207,688015,451943,253031,790433,528858,Wake
117,146,2071,9813,7625,2350,10828,8332,Warren
2238,3494,88032,284663,194393,99267,322752,219991,Guilford
166,216,3373,14383,10844,4121,16474,12137,Bladen
74609,92515,43526,185935,67800,51407,220154,76232,Cumberland
,,1464,6752,5288,1644,8074,6430,Chowan
78,92,883,6480,5519,1147,7229,5990,Pamlico
169,239,3731,15165,11265,4631,17223,12353,Scotland
933,1379,30296,94711,63482,34919,110389,74091,Johnston
56,92,913,4706,3737,1004,5206,4110,Clay
420,578,2109,11847,9318,2681,13364,10105,Cherokee
133,183,1835,9806,7838,2235,11595,9177,Martin
844,1163,22430,95221,71947,23978,111947,86806,Orange
338,494,8834,37084,27912,10467,42105,31144,Burke
227,301,9736,33350,23387,11075,37150,25774,Surry
7870,10482,14916,55572,32786,17686,64915,36747,Wayne
65,99,1283,7975,6627,1499,9535,7937,Avery
1016,1482,24036,79547,54495,27778,95218,65958,Pitt
28,42,1524,9000,7448,1782,10374,8550,Bertie
23,50,2556,9888,7309,3041,11327,8236,Hertford
292,384,4413,19562,14857,5350,21901,16167,Person
71,109,1227,9716,8418,1605,10858,9144,Caswell
