First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13717,11394,1090,675,Currituck,2227,10400,1840,8879
12383,11127,214,116,Anson,3046,9123,2684,8327
9504,7772,4054,2834,Swain,1323,4127,1130,3808
34742,29785,1537,1000,Pender,10795,22410,9165,19620
7787,6477,123,75,Mitchell,1276,6388,953,5449
23523,20282,493,280,Richmond,5567,17463,4623,15379
37789,31960,1574,986,Haywood,8650,27565,7439,23535
120924,104689,1959,1094,Gaston,42933,76032,38514,65081
68184,60404,10243,8149,Craven,16596,41345,14352,37903
40159,35833,1389,735,Franklin,14380,24390,12920,22178
101532,90406,2081,1381,Iredell,42271,57180,38222,50803
19586,17269,184,125,Yadkin,5539,13863,5045,12099
27458,23759,677,432,Beaufort,5683,21098,4871,18456
64201,54098,7617,5069,Harnett,20945,35639,18163,30866
9192,8328,204,119,Polk,1863,7125,1698,6511
28248,23754,353,171,Dare,6014,21881,5456,18127
253800,211806,4149,2262,Forsyth,76583,173068,70421,139123
134365,112224,62794,50424,Onslow,31259,40312,26893,34907
5712,4989,569,344,Jones,1273,3870,1052,3593
57588,50341,965,654,Nash,20068,36555,18083,31604
25530,20797,4207,2962,Jackson,3779,17544,3278,14557
29821,25628,2237,1594,Duplin,8694,18890,7695,16339
6967,5473,65,26,Alleghany,1414,5488,1144,4303
282233,226220,42124,43419,Missing,94814,145295,89265,93536
128637,114699,4125,2348,Cabarrus,48872,75640,45158,67193
6780,5371,2037,1276,Camden,894,3849,775,3320
17737,15739,458,218,Alexander,3019,14260,2560,12961
25346,21936,600,361,Mcdowell,3433,21313,2775,18800
35758,30038,656,424,Sampson,9089,26013,7924,21690
33039,28932,467,298,Lenoir,10719,21853,9380,19254
30217,26523,742,453,Rutherford,5990,23485,5381,20689
12668,11221,284,185,Montgomery,3088,9296,2552,8484
22891,19634,342,204,Stokes,7877,14672,6990,12440
46117,40603,625,410,Wilson,14178,31314,11973,28220
25647,22034,460,335,Columbus,7330,17857,6316,15383
45083,40129,409,249,Lincoln,17435,27239,15056,24824
156803,134816,3331,1989,New hanover,52176,101296,47358,85469
25758,22307,506,309,Davie,8030,17222,7217,14781
9383,8370,186,97,Northampton,1547,7650,1320,6953
28878,25564,567,347,Halifax,5460,22851,4576,20641
61744,53627,1504,954,Robeson,16063,44177,13695,38978
26842,21605,6609,4421,Hoke,7082,13151,5912,11272
9688,8575,179,134,Yancey,1101,8408,910,7531
36708,32460,708,453,Lee,12231,23769,10971,21036
181557,156119,7243,4210,Buncombe,45211,129103,42080,109829
3469,3147,11,,Hyde,176,3282,153,2994
26771,22737,898,504,Edgecombe,7484,18389,6386,15847
19767,15326,373,238,Transylvania,3461,15933,2969,12119
47473,41675,5101,2988,Chatham,13903,28469,12529,26158
241733,211460,7981,5057,Durham,60405,173347,56303,150100
2071,1809,,,Tyrrell,183,1888,143,1666
62960,55641,5214,3233,Moore,17139,40607,15178,37230
66995,59248,920,627,Randolph,23255,42820,20535,38086
67056,59179,4130,3124,Rowan,22670,40256,20123,35932
