First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
12534,10489,48,28,Currituck,2175,10311,1743,8718
12009,10680,131,99,Anson,2884,8994,2498,8083
9165,7368,3672,2449,Swain,1278,4215,1064,3855
33300,28437,523,356,Pender,10473,22304,8725,19356
7605,6291,116,75,Mitchell,1209,6280,906,5310
22814,19491,333,214,Richmond,5351,17130,4296,14981
37046,31213,1350,923,Haywood,8467,27229,7219,23071
118232,100995,1346,858,Gaston,41574,75312,36476,63661
65119,57683,8521,7292,Craven,16029,40569,13595,36796
38361,34225,532,400,Franklin,13931,23898,12238,21587
99234,87443,1548,1177,Iredell,40874,56812,36210,50056
19192,16762,171,119,Yadkin,5359,13662,4751,11892
26598,22885,410,299,Beaufort,5442,20746,4535,18051
57011,48301,1401,935,Harnett,20020,35590,16834,30532
9294,8451,146,108,Polk,1825,7323,1647,6696
27561,23038,24,17,Dare,5820,21717,5165,17856
246174,203261,3259,1952,Forsyth,73979,168936,66561,134748
127066,106888,57870,48026,Onslow,29822,39374,24973,33889
5089,4521,77,52,Jones,1230,3782,990,3479
56231,48550,780,568,Nash,19274,36177,16906,31076
24920,20148,3864,2654,Jackson,3605,17451,3088,14406
27311,23374,290,228,Duplin,8393,18628,7226,15920
6787,5281,35,26,Alleghany,1364,5388,1095,4160
226503,194230,29837,35446,Missing,97473,99193,88006,70778
123650,109624,2166,1447,Cabarrus,47092,74392,42666,65511
16942,14977,135,92,Alexander,2890,13917,2374,12511
5522,4918,892,966,Camden,855,3775,724,3228
24882,21368,518,351,Mcdowell,3343,21021,2640,18377
34608,28700,436,320,Sampson,8754,25418,7405,20975
32193,27848,429,290,Lenoir,10329,21435,8810,18748
29599,25822,651,426,Rutherford,5781,23167,5125,20271
12340,10948,186,145,Montgomery,2965,9189,2411,8392
22389,18989,254,162,Stokes,7703,14432,6671,12156
25439,21540,361,279,Columbus,7100,17978,5843,15418
44626,38680,512,356,Wilson,13500,30614,10998,27326
153271,130832,1863,1259,New hanover,50772,100636,45332,84241
44376,39083,392,242,Lincoln,16930,27054,14342,24499
25177,21586,360,252,Davie,7826,16991,6906,14428
9345,8302,125,83,Northampton,1504,7716,1254,6965
28061,24624,376,264,Halifax,5248,22437,4279,20081
59497,51100,920,674,Robeson,15296,43281,12661,37765
20636,16948,1206,787,Hoke,6690,12740,5440,10721
9520,8349,175,132,Yancey,1046,8299,861,7356
35713,31118,660,439,Lee,11729,23324,10264,20415
177992,153001,5752,3837,Buncombe,44433,127807,40950,108214
3401,3043,,,Hyde,174,3227,145,2898
25457,21516,406,298,Edgecombe,7124,17927,5878,15340
19412,14864,297,224,Transylvania,3380,15735,2859,11781
42522,38409,387,272,Chatham,13722,28413,12112,26025
235611,203827,6260,4515,Durham,58383,170968,53194,146118
2044,1763,,,Tyrrell,177,1867,135,1628
58561,52136,932,696,Moore,16646,40983,14405,37035
65313,57017,759,571,Randolph,22354,42200,19181,37265
65381,57413,3562,2901,Rowan,21744,40075,18834,35678
15223,12268,127,100,Ashe,3325,11771,2859,9309
70945,58985,1448,982,Henderson,14604,54893,12360,45643
27131,23585,408,302,Vance,7496,19227,6380,16903
136526,121621,924,577,Union,52525,83077,47858,73186
6331,5424,56,38,Washington,1793,4482,1536,3850
85066,73112,1286,954,Davidson,25863,57917,22296,49862
39183,34891,4889,4414,Granville,10587,23707,9204,21273
33271,25530,128,66,Watauga,4678,28465,3967,21497
51427,45181,527,317,Cleveland,15391,35509,13100,31764
4740,4168,15,,Gates,553,4172,461,3707
4220,3606,405,306,Graham,884,2931,716,2584
41668,36966,603,391,Carteret,13061,28004,11257,25318
103424,91636,1458,1046,Alamance,27171,74795,23937,66653
735297,634769,7850,4711,Mecklenburg,256634,470813,231772,398286
92253,81015,1849,1509,Brunswick,24814,65590,21874,57632
28817,25694,481,390,Stanly,7249,21087,6212,19092
6562,5560,19,12,Perquimans,1139,5404,923,4625
12679,10151,225,136,Madison,1356,11098,1205,8810
22560,18806,44,15,Pasquotank,5531,16985,4576,14215
88547,79020,747,405,Catawba,31913,55887,27536,51079
33687,29606,260,195,Wilkes,10539,22888,9260,20151
40342,34544,328,184,Caldwell,11371,28643,9004,25356
11731,9726,101,82,Greene,2847,8783,2374,7270
47982,42303,502,338,Rockingham,14712,32768,12422,29543
21894,17446,485,319,Macon,3078,18331,2480,14647
114036,89895,,,Out o,,114036,,89895
836352,737270,8830,5889,Wake,273812,553710,251402,479979
11284,10128,149,117,Warren,2546,8589,2236,7775
339974,300251,3587,2262,Guilford,110198,226189,98482,199507
17264,15004,224,166,Bladen,4523,12517,3670,11168
231232,194306,94576,76119,Cumberland,57468,79188,48671,69516
8400,7022,12,,Chowan,1758,6630,1572,5450
7483,6719,93,78,Pamlico,1258,6132,973,5668
18044,15674,242,169,Scotland,5122,12680,4044,11461
116722,100603,1413,939,Johnston,38221,77088,33383,66281
5399,4882,93,56,Clay,1022,4284,933,3893
11762,9856,186,134,Martin,2537,9039,2024,7698
13803,12180,613,425,Cherokee,2822,10368,2209,9546
115902,101608,1227,847,Orange,25273,89402,23839,76922
43290,38052,506,340,Burke,11339,31445,9558,28154
37902,34003,314,229,Surry,11803,25785,10366,23408
68484,58613,10870,8240,Wayne,19825,37789,16710,33663
9776,8173,103,65,Avery,1591,8082,1356,6752
100185,83823,1554,1021,Pitt,31010,67621,26797,56005
10783,9276,45,28,Bertie,2004,8734,1686,7562
11874,10357,51,23,Hertford,3358,8465,2833,7501
23038,20434,392,292,Person,5936,16710,4822,15320
11235,10037,111,71,Caswell,1714,9410,1340,8626
