Second Doses Administered,First Doses Administered,Total Doses Administered,County
15347,22968,38315,Robeson
3073,3945,7018,Perquimans
27594,46748,74342,Johnston
17764,28190,45954,Randolph
1375,2171,3546,Hyde
2420,3524,5944,Alleghany
7385,11116,18501,Duplin
1753,2933,4686,Gates
11143,17087,28230,Haywood
8500,13338,21838,Stanly
43788,69922,113710,Missing
12154,19329,31483,Wilson
817,1176,1993,Tyrrell
15680,24597,40277,Wayne
4344,6677,11021,Montgomery
9577,14213,23790,Lenoir
5790,9068,14858,Scotland
28391,48160,76551,Alamance
1584,2659,4243,Camden
3106,5586,8692,Greene
17017,24041,41058,Rowan
3891,5999,9890,Northampton
10445,15398,25843,Wilkes
13004,18010,31014,Lincoln
13550,20293,33843,Caldwell
3730,5782,9512,Polk
12483,19440,31923,Surry
7428,12826,20254,Macon
1818,2637,4455,Clay
5841,9611,15452,Yadkin
17489,26129,43618,Onslow
7587,11050,18637,Richmond
43026,76000,119026,Buncombe
34129,46591,80720,Union
27053,40274,67327,Cabarrus
2053,2998,5051,Washington
16036,23750,39786,Harnett
16226,22705,38931,Burke
10640,15627,26267,Granville
32765,46211,78976,Gaston
6528,11815,18343,Edgecombe
9937,17888,27825,Watauga
4813,7387,12200,Hoke
3907,6208,10115,Bertie
6726,10915,17641,Person
10087,15631,25718,Beaufort
26140,37468,63608,Catawba
7477,12016,19493,Jackson
187439,329555,516994,Wake
17073,23074,40147,Cleveland
9615,15126,24741,Sampson
7407,12669,20076,Columbus
4160,6331,10491,Caswell
3140,5305,8445,Yancey
9752,15891,25643,Lee
3488,6174,9662,Hertford
13276,23051,36327,Rockingham
146030,230112,376142,Mecklenburg
15159,22171,37330,Carteret
2367,3333,5700,Swain
3338,5686,9024,Avery
7818,11429,19247,Vance
8759,15153,23912,Halifax
8791,14557,23348,Rutherford
13797,25397,39194,Nash
4639,7961,12600,Ashe
5900,9564,15464,Stokes
1674,2106,3780,Graham
9233,15074,24307,Pender
18959,28623,47582,Craven
86211,155357,241568,Guilford
3968,7139,11107,Madison
15712,23377,39089,Chatham
31005,50522,81527,Pitt
24218,32873,57091,Moore
59993,105661,165654,Forsyth
25190,37877,63067,Iredell
5692,10841,16533,Transylvania
3885,6398,10283,Martin
3583,5683,9266,Warren
1797,2570,4367,Jones
7589,11480,19069,Davie
40467,55149,95616,Cumberland
8356,13120,21476,McDowell
4626,7001,11627,Cherokee
3229,5005,8234,Chowan
34209,58427,92636,Orange
5693,9782,15475,Alexander
63436,105540,168976,Durham
19326,33886,53212,Henderson
8738,11627,20365,Pasquotank
3382,4849,8231,Pamlico
2095,3815,5910,Mitchell
4122,7165,11287,Currituck
34591,50904,85495,Brunswick
22323,34168,56491,Davidson
10302,14565,24867,Franklin
9623,16527,26150,Dare
5794,8136,13930,Bladen
46679,67831,114510,New Hanover
3735,5664,9399,Anson
