First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13655,11364,1043,658,Currituck,2218,10394,1832,8874
12307,11044,196,109,Anson,3007,9104,2636,8299
34593,29654,1499,992,Pender,10721,22373,9083,19579
9527,7709,4065,2754,Swain,1321,4141,1130,3825
7743,6428,117,75,Mitchell,1272,6354,946,5407
23345,20137,465,266,Richmond,5505,17375,4563,15308
37647,31841,1524,981,Haywood,8615,27508,7399,23461
120329,104114,1887,1081,Gaston,42582,75860,38139,64894
67746,59985,10158,8115,Craven,16460,41128,14221,37649
39902,35625,1320,726,Franklin,14299,24283,12832,22067
100878,89958,2014,1354,Iredell,41933,56931,37878,50726
19509,17203,179,122,Yadkin,5491,13839,4991,12090
27283,23594,648,427,Beaufort,5611,21024,4808,18359
64008,53914,7487,5004,Harnett,20745,35776,17930,30980
9267,8416,190,119,Polk,1856,7221,1687,6610
28142,23657,320,163,Dare,5982,21840,5426,18068
252395,210399,4047,2216,Forsyth,75914,172434,69755,138428
133393,111513,62415,50225,Onslow,30966,40012,26578,34710
5656,4955,549,339,Jones,1260,3847,1041,3575
57390,50115,939,643,Nash,19887,36564,17859,31613
25533,20678,4231,2900,Jackson,3756,17546,3242,14536
29652,25460,2198,1579,Duplin,8609,18845,7599,16282
6948,5453,61,26,Alleghany,1406,5481,1136,4291
265388,219142,42316,43396,Missing,94345,128727,88687,87059
127751,113940,4016,2316,Cabarrus,48467,75268,44725,66899
17606,15587,448,210,Alexander,2995,14163,2540,12837
6681,5337,1959,1262,Camden,886,3836,771,3304
25177,21790,567,351,Mcdowell,3405,21205,2750,18689
35591,29847,636,417,Sampson,9030,25925,7842,21588
32843,28757,449,295,Lenoir,10596,21798,9283,19179
30026,26380,724,452,Rutherford,5957,23345,5352,20576
12601,11179,272,184,Montgomery,3066,9263,2530,8465
22778,19500,342,201,Stokes,7830,14606,6932,12367
45783,40295,592,404,Wilson,14010,31181,11797,28094
25559,21921,455,329,Columbus,7285,17819,6255,15337
156118,134253,3243,1965,New hanover,51823,101052,47020,85268
44936,39966,400,245,Lincoln,17309,27227,14908,24813
25629,22178,483,302,Davie,7990,17156,7165,14711
9417,8405,174,94,Northampton,1538,7705,1310,7001
28794,25474,551,335,Halifax,5425,22818,4539,20600
61384,53371,1442,939,Robeson,15880,44062,13508,38924
26549,21418,6487,4371,Hoke,6967,13095,5823,11224
9654,8541,176,134,Yancey,1094,8384,902,7505
36475,32239,687,444,Lee,12116,23672,10852,20943
180216,155541,6797,4187,Buncombe,45045,128374,41883,109471
3434,3126,,,Hyde,175,3259,151,2975
26617,22653,850,494,Edgecombe,7396,18371,6294,15865
19702,15219,364,236,Transylvania,3434,15904,2939,12044
47252,41646,4898,2941,Chatham,13826,28528,12442,26263
240526,210213,7844,5000,Durham,59939,172743,55763,149450
2061,1796,,,Tyrrell,182,1879,143,1653
62584,55374,5105,3190,Moore,17007,40472,15049,37135
66662,58953,886,621,Randolph,23038,42738,20304,38028
66878,59087,4049,3102,Rowan,22456,40373,19884,36101
15848,12660,204,121,Ashe,3410,12234,2915,9624
72118,60408,1642,1029,Henderson,14897,55579,12772,46607
27954,24577,475,330,Vance,7732,19747,6690,17557
138414,124777,1322,709,Union,53936,83156,50210,73858
6470,5626,60,38,Washington,1830,4580,1585,4003
87332,75586,2052,1291,Davidson,26562,58718,23384,50911
40101,35794,5281,4580,Granville,10815,24005,9611,21603
33470,25952,215,91,Watauga,4773,28482,4096,21765
52520,46574,678,375,Cleveland,15751,36091,13622,32577
4286,3672,446,331,Graham,899,2941,735,2606
4934,4386,130,78,Gates,573,4231,489,3819
48365,42235,7016,4939,Carteret,13359,27990,11729,25567
105604,94644,1964,1197,Alamance,28106,75534,25416,68031
748473,654966,9371,5115,Mecklenburg,264237,474865,243042,406809
94032,82889,2890,1937,Brunswick,25437,65705,22794,58158
29652,26631,727,531,Stanly,7463,21462,6525,19575
6646,5680,20,12,Perquimans,1181,5445,966,4702
12796,10320,228,137,Madison,1384,11184,1246,8937
22994,19578,52,20,Pasquotank,5695,17247,4851,14707
90269,81215,1113,530,Catawba,32765,56391,28890,51795
34238,30214,336,208,Wilkes,10792,23110,9626,20380
