First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13694,11386,1075,667,Currituck,2227,10392,1838,8881
12384,11103,206,111,Anson,3040,9138,2669,8323
34669,29723,1530,998,Pender,10769,22370,9138,19587
9494,7751,4042,2812,Swain,1325,4127,1133,3806
7770,6464,122,75,Mitchell,1274,6374,949,5440
23445,20221,483,277,Richmond,5548,17414,4599,15345
37722,31909,1553,986,Haywood,8643,27526,7421,23502
120698,104474,1931,1086,Gaston,42825,75942,38387,65001
68053,60271,10216,8141,Craven,16536,41301,14308,37822
40086,35760,1369,734,Franklin,14355,24362,12884,22142
101415,90275,2058,1372,Iredell,42173,57184,38095,50808
19554,17244,182,124,Yadkin,5521,13851,5023,12097
27400,23701,668,431,Beaufort,5654,21078,4845,18425
64187,54081,7581,5050,Harnett,20880,35726,18088,30943
9228,8358,202,119,Polk,1866,7160,1696,6543
28210,23727,344,168,Dare,6000,21866,5449,18110
253243,211284,4097,2249,Forsyth,76321,172825,70162,138873
134121,112031,62703,50372,Onslow,31153,40265,26791,34868
5706,4982,562,342,Jones,1271,3873,1048,3592
57552,50280,955,652,Nash,20023,36574,18004,31624
25517,20757,4198,2945,Jackson,3774,17545,3262,14550
29760,25575,2227,1589,Duplin,8660,18873,7659,16327
6958,5462,62,26,Alleghany,1414,5482,1142,4294
275898,223771,42095,43419,Missing,94590,139213,88998,91354
128420,114524,4088,2340,Cabarrus,48754,75578,45007,67177
17699,15685,458,217,Alexander,3011,14230,2554,12914
6753,5361,2017,1273,Camden,890,3846,774,3314
25270,21865,587,361,Mcdowell,3425,21258,2764,18740
35719,29979,653,422,Sampson,9071,25995,7894,21663
32966,28853,462,298,Lenoir,10676,21828,9333,19222
30103,26463,733,452,Rutherford,5970,23400,5374,20637
12641,11194,281,184,Montgomery,3081,9279,2542,8468
22852,19596,340,202,Stokes,7861,14651,6975,12419
25617,21991,460,334,Columbus,7314,17843,6291,15366
45986,40488,614,408,Wilson,14105,31267,11913,28167
156568,134637,3298,1981,New hanover,52038,101232,47243,85413
45038,40079,408,247,Lincoln,17397,27233,15006,24826
25700,22250,495,308,Davie,8018,17187,7193,14749
9390,8370,183,96,Northampton,1541,7666,1314,6960
28839,25533,564,342,Halifax,5447,22828,4567,20624
61488,53454,1481,948,Robeson,15992,44015,13632,38874
26733,21535,6567,4399,Hoke,7040,13126,5881,11255
9678,8556,177,134,Yancey,1097,8404,907,7515
36625,32390,704,452,Lee,12185,23736,10935,21003
180939,155755,7041,4200,Buncombe,45157,128741,42030,109525
3465,3143,11,,Hyde,176,3278,153,2990
26734,22712,887,502,Edgecombe,7450,18397,6354,15856
19758,15293,372,236,Transylvania,3449,15937,2956,12101
47338,41599,5041,2972,Chatham,13879,28418,12504,26123
241184,211010,7886,5037,Durham,60227,173071,56123,149850
2070,1805,,,Tyrrell,183,1887,143,1662
62766,55506,5183,3220,Moore,17095,40488,15130,37156
66866,59113,913,625,Randolph,23176,42777,20444,38044
67118,59275,4096,3117,Rowan,22605,40417,20038,36120
15936,12739,210,121,Ashe,3425,12301,2929,9689
72323,60608,1696,1031,Henderson,14949,55678,12824,46753
28051,24713,464,332,Vance,7755,19832,6722,17659
138571,124935,1360,714,Union,54228,82983,50504,73717
6494,5639,61,40,Washington,1834,4599,1590,4009
87646,75826,2113,1301,Davidson,26666,58867,23490,51035
40186,35923,5341,4620,Granville,10847,23998,9661,21642
33413,25929,221,92,Watauga,4784,28408,4114,21723
52686,46723,692,379,Cleveland,15829,36165,13707,32637
4948,4395,134,78,Gates,578,4236,491,3826
4288,3673,448,332,Graham,901,2939,739,2602
48537,42368,7109,4975,Carteret,13419,28009,11806,25587
105905,94987,1967,1214,Alamance,28280,75658,25599,68174
750390,656764,9552,5190,Mecklenburg,265558,475280,244560,407014
94301,83068,2976,1950,Brunswick,25560,65765,22898,58220
29791,26761,737,533,Stanly,7510,21544,6573,19655
6653,5690,20,12,Perquimans,1185,5448,976,4702
12805,10331,229,137,Madison,1388,11188,1251,8943
23062,19680,52,21,Pasquotank,5742,17268,4893,14766
90553,81494,1133,533,Catawba,32914,56506,29062,51899
41167,35514,338,187,Caldwell,11785,29044,9549,25778
34312,30268,348,214,Wilkes,10850,23114,9673,20381
15461,12527,3475,2346,Greene,2970,9016,2573,7608
48923,43740,589,367,Rockingham,15256,33078,13328,30045
22127,17712,526,334,Macon,3149,18452,2567,14811
116375,95785,,,Out o,752,115623,920,94865
851206,761038,11699,7274,Wake,281885,557622,263361,490403
11513,10457,157,119,Warren,2624,8732,2359,7979
348704,311907,5326,2963,Guilford,115218,228160,105847,203097
24404,20047,7008,4670,Bladen,4662,12734,3906,11471
