Second Doses Administered,First Doses Administered,Total Doses Administered,County
10373,16731,27104,Robeson
1419,3225,4644,Perquimans
16493,30081,46574,Johnston
10059,17987,28046,Randolph
916,1488,2404,Hyde
1843,2606,4449,Alleghany
4286,7787,12073,Duplin
1216,2374,3590,Gates
7739,11709,19448,Haywood
4928,9124,14052,Stanly
26544,46106,72650,Missing
6959,13146,20105,Wilson
542,848,1390,Tyrrell
7978,17217,25195,Wayne
2456,4598,7054,Montgomery
6462,10219,16681,Lenoir
3340,6059,9399,Scotland
16476,28618,45094,Alamance
1100,2142,3242,Camden
2513,3295,5808,Greene
11501,17163,28664,Rowan
2100,4437,6537,Northampton
6077,10981,17058,Wilkes
7458,12757,20215,Lincoln
9866,14147,24013,Caldwell
2240,3778,6018,Polk
8210,12842,21052,Surry
3048,8916,11964,Macon
1063,1902,2965,Clay
3930,6611,10541,Yadkin
10879,19129,30008,Onslow
4834,8333,13167,Richmond
25336,44396,69732,Buncombe
18957,32536,51493,Union
16349,26264,42613,Cabarrus
1443,2342,3785,Washington
10059,16620,26679,Harnett
10232,15888,26120,Burke
6599,11317,17916,Granville
18838,31292,50130,Gaston
3960,7364,11324,Edgecombe
5954,11937,17891,Watauga
3197,5248,8445,Hoke
2367,4577,6944,Bertie
4456,6926,11382,Person
5798,11176,16974,Beaufort
15959,26582,42541,Catawba
3011,7945,10956,Jackson
105373,190047,295420,Wake
8774,17484,26258,Cleveland
6361,10111,16472,Sampson
4181,8073,12254,Columbus
2331,4466,6797,Caswell
2091,3749,5840,Yancey
6211,10461,16672,Lee
1984,4658,6642,Hertford
6672,14752,21424,Rockingham
83500,137527,221027,Mecklenburg
8540,14696,23236,Carteret
1445,2577,4022,Swain
2567,3634,6201,Avery
4858,8335,13193,Vance
4658,10116,14774,Halifax
4981,9760,14741,Rutherford
8318,16444,24762,Nash
2523,5611,8134,Ashe
4324,6314,10638,Stokes
1075,1792,2867,Graham
6228,9701,15929,Pender
10753,19411,30164,Craven
47184,81654,128838,Guilford
2594,4167,6761,Madison
11916,17711,29627,Chatham
22564,32260,54824,Pitt
14771,24311,39082,Moore
40027,62678,102705,Forsyth
15778,26230,42008,Iredell
2981,6806,9787,Transylvania
2711,4682,7393,Martin
1788,4078,5866,Warren
996,1802,2798,Jones
6014,8329,14343,Davie
27358,41898,69256,Cumberland
5060,8565,13625,Mcdowell
2543,4937,7480,Cherokee
2353,3895,6248,Chowan
22718,35564,58282,Orange
3338,6107,9445,Alexander
40664,64240,104904,Durham
12148,20817,32965,Henderson
6557,9810,16367,Pasquotank
2055,3576,5631,Pamlico
1318,2377,3695,Mitchell
3360,5079,8439,Currituck
21719,35443,57162,Brunswick
14203,21902,36105,Davidson
6224,10209,16433,Franklin
7376,9916,17292,Dare
3766,6086,9852,Bladen
31449,45828,77277,New Hanover
2400,3990,6390,Anson
