First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13623,11335,1026,651,Currituck,2212,10385,1830,8854
12287,11018,192,109,Anson,2994,9101,2621,8288
9434,7678,3974,2723,Swain,1316,4144,1129,3826
34544,29617,1483,988,Pender,10683,22378,9041,19588
7738,6420,117,75,Mitchell,1266,6355,940,5405
23305,20069,459,261,Richmond,5492,17354,4540,15268
37571,31769,1507,977,Haywood,8604,27460,7377,23415
120048,103847,1855,1079,Gaston,42435,75758,37972,64796
67582,59836,10106,8099,Craven,16403,41073,14158,37579
39743,35487,1292,725,Franklin,14267,24184,12798,21964
100711,89797,1993,1351,Iredell,41806,56912,37731,50715
19476,17174,176,122,Yadkin,5482,13818,4974,12078
27226,23530,640,425,Beaufort,5594,20992,4781,18324
63878,53803,7407,4968,Harnett,20659,35812,17826,31009
9348,8494,183,108,Polk,1857,7308,1684,6702
28113,23621,301,160,Dare,5974,21838,5407,18054
251620,209720,3939,2207,Forsyth,75659,172022,69484,138029
132989,111152,62261,50139,Onslow,30826,39902,26427,34586
5638,4939,546,339,Jones,1253,3839,1034,3566
57306,50042,929,640,Nash,19792,36585,17765,31637
25462,20633,4159,2854,Jackson,3750,17553,3228,14551
29579,25374,2184,1570,Duplin,8581,18814,7557,16247
6942,5448,55,26,Alleghany,1401,5486,1133,4289
259720,216730,42101,43374,Missing,94444,123175,88793,84563
127309,113578,3936,2306,Cabarrus,48284,75089,44556,66716
17501,15508,435,209,Alexander,2988,14078,2531,12768
6635,5328,1925,1259,Camden,884,3826,766,3303
25162,21777,561,351,Mcdowell,3391,21210,2736,18690
35328,29645,632,414,Sampson,8990,25706,7812,21419
32774,28670,445,295,Lenoir,10570,21759,9236,19139
29968,26307,718,452,Rutherford,5940,23310,5324,20531
12606,11180,267,184,Montgomery,3054,9285,2520,8476
22725,19455,328,198,Stokes,7817,14580,6911,12346
25528,21903,451,328,Columbus,7263,17814,6226,15349
45683,40159,586,398,Wilson,13950,31147,11723,28038
155798,133982,3191,1960,New hanover,51696,100911,46873,85149
44875,39892,399,245,Lincoln,17258,27218,14850,24797
25600,22121,476,301,Davie,7980,17144,7141,14679
9432,8415,174,94,Northampton,1533,7725,1302,7019
28737,25420,546,329,Halifax,5414,22777,4518,20573
