Second Dose Administered,First Dose Administered,County
38254,44154,Rockingham
173981,210739,Cumberland
8614,10628,Greene
3841,4459,Gates
13685,15930,Bladen
98078,111554,Cabarrus
8065,9085,Northampton
69938,80693,""
22930,26314,Stanly
13,16,Hampton
89322,105311,Johnston
17478,20847,Richmond
569004,661152,Mecklenburg
23662,31428,Watauga
21114,24110,Vance
35461,41126,Burke
31355,35191,Surry
9313,10604,Caswell
15261,17846,Yadkin
23179,27444,Rutherford
51248,62076,Wayne
26144,31093,Pender
16094,20625,Macon
28414,32642,Lee
39660,46421,Cleveland
9295,10685,Anson
71074,80779,Catawba
44122,53528,Robeson
108825,122924,Union
4851,6228,Alleghany
49570,55266,Moore
31335,37206,Caldwell
85092,112487,Onslow
78672,89901,Iredell
7622,9267,Avery
19294,23145,Mcdowell
13829,18000,Transylvania
82891,94007,Alamance
6337,7818,Chowan
20119,24079,Columbus
2798,3185,Hyde
14397,16705,Scotland
10988,12993,Cherokee
17043,20570,Stokes
18497,21112,Person
667907,755847,Wake
120579,142049,New hanover
20575,24480,Duplin
22517,25699,Halifax
26776,31930,Wilkes
14824,18206,Hoke
9415,11458,Martin
19543,23033,Davie
75816,91461,Pitt
4794,5844,Washington
33902,39884,Wilson
274095,310852,Guilford
186276,213979,Durham
11107,14062,Ashe
35332,40616,Lincoln
8474,9345,Polk
13552,15533,Alexander
89678,106139,Gaston
9187,10876,Hertford
65117,76538,Davidson
43823,52646,Harnett
44440,51956,Nash
37190,41284,Chatham
8434,10048,Bertie
20930,24833,Beaufort
4337,5042,Clay
16396,20114,Pasquotank
31131,35259,Franklin
6262,7021,Pamlico
3270,3980,Graham
25698,31869,Sampson
72932,91123,Out o
1604,1912,Tyrrell
28992,34162,Haywood
5104,6078,Perquimans
19549,23490,Edgecombe
93076,106147,Orange
49566,57686,Craven
4296,5010,Camden
9467,11878,Madison
9636,11457,Currituck
5702,7062,Mitchell
18422,22683,Jackson
51804,59920,Randolph
53534,64018,Henderson
57295,56372,Missing
9338,10451,Warren
76257,87405,Brunswick
183615,224019,Forsyth
52695,60523,Rowan
10139,11569,Montgomery
4079,4633,Jones
140165,162391,Buncombe
33821,38633,Carteret
24797,29395,Lenoir
21459,25963,Dare
6511,7820,Swain
7621,8832,Yancey
32697,36627,Granville
