second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,45,1629,10154,8497,2027,12142,10070,Currituck
99,128,2259,10126,7768,2674,11434,8632,Anson
2186,3412,1005,6947,3756,1219,8767,4136,Swain
354,518,8052,27355,18949,9749,32299,22032,Pender
75,114,848,6079,5156,1130,7347,6103,Mitchell
211,320,3969,18671,14491,4916,21766,16530,Richmond
914,1327,6942,30296,22440,8147,36066,26592,Haywood
850,1321,33626,96328,61852,38779,113406,73306,Gaston
7045,8127,12578,54920,35297,14856,61928,38945,Craven
396,524,11402,32737,20939,13007,36730,23199,Franklin
1172,1523,33245,83135,48718,37737,94552,55292,Iredell
119,168,4366,16154,11669,4933,18530,13429,Yadkin
298,398,4205,22163,17660,5035,25799,20366,Beaufort
922,1323,15267,46831,30642,18366,55305,35616,Harnett
108,144,1559,8468,6801,1748,9369,7477,Polk
17,23,4666,22273,17590,5352,26743,21368,Dare
1935,3119,61613,192540,128992,68846,235803,163838,Forsyth
46925,56630,22414,101378,32039,27075,121974,38269,Onslow
51,71,918,4362,3393,1135,4870,3664,Jones
563,773,15491,47027,30973,17624,54216,35819,Nash
2393,3618,2884,19310,14033,3417,24169,17134,Jackson
228,284,6670,22072,15174,7731,25812,17797,Duplin
26,34,1046,5083,4011,1279,6524,5211,Alleghany
34731,26504,78990,158779,45058,89018,179305,63783,Missing
1439,2089,38760,103334,63135,43506,117780,72185,Cabarrus
92,133,2197,14443,12154,2686,16240,13421,Alexander
950,876,647,4730,3133,787,5338,3675,Camden
348,506,2462,20678,17868,3134,24154,20514,Mcdowell
317,423,6882,27698,20499,8036,33140,24681,Sampson
285,420,8102,26639,18252,9492,30763,20851,Lenoir
426,644,4762,24884,19696,5411,28574,22519,Rutherford
144,184,2256,10678,8278,2779,12027,9064,Montgomery
162,249,6231,18262,11869,7246,21575,14080,Stokes
354,500,9859,36655,26442,12253,42317,29564,Wilson
278,356,5352,21232,15602,6448,24853,18049,Columbus
1255,1839,41776,125054,82023,47588,148221,98794,New hanover
241,382,13227,37428,23960,15897,42805,26526,Lincoln
251,348,6391,20623,13981,7338,24170,16484,Davie
83,123,1149,8239,7007,1370,9249,7756,Northampton
262,371,3919,23846,19665,4753,26962,21838,Halifax
664,894,11641,48550,36245,14043,56570,41633,Robeson
778,1115,4916,15995,10301,6053,19367,12199,Hoke
130,173,805,8008,7073,995,9171,8003,Yancey
431,642,9455,29891,20005,10792,34259,22825,Lee
3814,5698,38651,145024,102559,42611,171309,123000,Buncombe
,,136,2893,2757,166,3290,3124,Hyde
295,403,5372,21071,15404,6461,24798,17934,Edgecombe
224,292,2719,14410,11467,3151,18694,15251,Transylvania
272,379,11200,37128,25656,13067,41948,28502,Chatham
4502,6024,49299,192273,138472,54978,226785,165783,Durham
,,129,1705,1576,166,1974,1808,Tyrrell
690,917,13285,51106,37131,15510,57385,40958,Moore
565,744,17680,54857,36612,20535,62606,41327,Randolph
2889,3463,17381,55630,35360,20118,62960,39379,Rowan
99,124,2728,11785,8958,3168,14762,11470,Ashe
979,1436,11655,56266,43632,13850,67942,52656,Henderson
302,403,5948,22365,16115,6978,25595,18214,Vance
574,914,42936,114535,71025,48133,130335,81288,Union
38,56,1461,5198,3699,1728,6097,4313,Washington
949,1268,20704,69610,47957,24096,80832,55468,Davidson
4310,4704,8599,33852,20943,9925,37938,23309,Granville
66,123,3858,24638,20714,4517,32687,28047,Watauga
316,518,12248,43215,30651,14486,49249,34245,Cleveland
298,376,691,3540,2551,860,4126,2890,Graham
,12,432,4070,3638,510,4602,4080,Gates
391,600,10402,35636,24843,12227,40419,27592,Carteret
1043,1413,21841,87242,64358,25025,99048,72610,Alamance
4608,7639,213144,597351,379599,239511,701195,454045,Mecklenburg
1503,1841,20493,78830,56834,23303,89891,64747,Brunswick
390,477,5783,24702,18529,6709,27675,20489,Stanly
11,15,866,5408,4531,1071,6371,5285,Perquimans
136,221,1151,9879,8592,1292,12308,10795,Madison
14,29,4199,17940,13727,5120,21594,16445,Pasquotank
401,732,25371,75360,49588,29601,84961,54628,Catawba
195,259,8688,28775,19892,9896,32947,22792,Wilkes
184,324,8281,33288,24823,10450,38888,28114,Caldwell
80,101,2202,9305,7023,2616,11153,8436,Greene
338,490,11448,40831,29045,13539,46058,32029,Rockingham
317,477,2350,17073,14406,2920,21375,17978,Macon
,,,80988,80988,,103526,103526,Out o
5865,8573,231246,689907,452796,256958,801170,535639,Wake
117,146,2091,9835,7627,2375,10886,8365,Warren
2239,3501,88504,285389,194646,100596,325392,221295,Guilford
166,216,3415,14464,10883,4176,16582,12190,Bladen
74924,92811,43903,186710,67883,52106,221647,76730,Cumberland
,,1473,6798,5325,1648,8126,6478,Chowan
78,92,898,6514,5538,1164,7275,6019,Pamlico
169,239,3767,15210,11274,4691,17303,12373,Scotland
933,1383,30578,95172,63661,35356,111242,74503,Johnston
56,92,915,4729,3758,1006,5249,4151,Clay
133,183,1863,9805,7809,2270,11605,9152,Martin
420,584,2125,11899,9354,2703,13448,10161,Cherokee
844,1171,22504,95460,72112,24153,113536,88212,Orange
339,497,8891,37179,27949,10575,42318,31246,Burke
227,301,9784,33436,23425,11173,37430,25956,Surry
7921,10562,15126,55918,32871,17991,65450,36897,Wayne
65,99,1284,7996,6647,1504,9560,7957,Avery
1016,1493,24220,79958,54722,28208,96071,66370,Pitt
28,42,1548,9042,7466,1818,10427,8567,Bertie
23,50,2579,9941,7339,3099,11433,8284,Hertford
292,386,4457,19660,14911,5429,22152,16337,Person
71,109,1244,9765,8450,1620,10921,9192,Caswell
