Second Doses Administered,First Doses Administered,Total Doses Administered,County
21615,25932,47547,Robeson
3538,4150,7688,Perquimans
41690,55923,97613,Johnston
27640,32158,59798,Randolph
1885,2378,4263,Hyde
3164,3797,6961,Alleghany
10236,12710,22946,Duplin
2566,3157,5723,Gates
14938,20629,35567,Haywood
12111,15608,27719,Stanly
62372,89044,151416,Missing
17525,21878,39403,Wilson
1079,1241,2320,Tyrrell
23359,28322,51681,Wayne
6025,7397,13422,Montgomery
13191,15705,28896,Lenoir
8510,10008,18518,Scotland
45849,56673,102522,Alamance
2328,2880,5208,Camden
5106,6246,11352,Greene
24207,29717,53924,Rowan
5605,6485,12090,Northampton
14546,16886,31432,Wilkes
17120,22321,39441,Lincoln
18716,22794,41510,Caldwell
5772,6539,12311,Polk
18829,20879,39708,Surry
10985,14248,25233,Macon
2525,2959,5484,Clay
9120,10656,19776,Yadkin
25807,29773,55580,Onslow
10586,12334,22920,Richmond
71049,93201,164250,Buncombe
46647,63123,109770,Union
38295,54342,92637,Cabarrus
2660,3204,5864,Washington
22005,27652,49657,Harnett
21913,25321,47234,Burke
14995,18862,33857,Granville
44220,56467,100687,Gaston
10149,13317,23466,Edgecombe
14043,21510,35553,Watauga
6581,8346,14927,Hoke
5517,6762,12279,Bertie
9980,12747,22727,Person
13991,16680,30671,Beaufort
36272,45044,81316,Catawba
11012,14023,25035,Jackson
306144,421199,727343,Wake
22522,25989,48511,Cleveland
13353,16941,30294,Sampson
11810,13865,25675,Columbus
5899,7264,13163,Caswell
4842,5828,10670,Yancey
15075,18087,33162,Lee
5443,6737,12180,Hertford
21428,26061,47489,Rockingham
221836,333980,555816,Mecklenburg
21090,24096,45186,Carteret
3194,3583,6777,Swain
4896,6284,11180,Avery
10861,13290,24151,Vance
13951,16568,30519,Halifax
13424,16256,29680,Rutherford
21871,28835,50706,Nash
6710,8856,15566,Ashe
8696,11091,19787,Stokes
1981,2223,4204,Graham
14063,17885,31948,Pender
26806,30965,57771,Craven
145863,181102,326965,Guilford
5789,8180,13969,Madison
21571,26403,47974,Chatham
44095,55196,99291,Pitt
31445,35852,67297,Moore
92089,125580,217669,Forsyth
36077,45597,81674,Iredell
8758,12125,20883,Transylvania
5751,7071,12822,Martin
5267,6806,12073,Warren
2471,2845,5316,Jones
10044,13233,23277,Davie
52695,61691,114386,Cumberland
11328,14446,25774,McDowell
6678,7814,14492,Cherokee
4054,5164,9218,Chowan
53178,69606,122784,Orange
8989,10733,19722,Alexander
97709,128829,226538,Durham
28954,38987,67941,Henderson
10297,12574,22871,Pasquotank
4610,5205,9815,Pamlico
3180,4362,7542,Mitchell
5917,7902,13819,Currituck
47700,56785,104485,Brunswick
33077,40722,73799,Davidson
14810,18508,33318,Franklin
14148,18261,32409,Dare
7770,8892,16662,Bladen
63733,82150,145883,New Hanover
5406,6640,12046,Anson
