Second Doses Administered,First Doses Administered,Total Doses Administered,County
10027,16322,26349,Robeson
1411,3190,4601,Perquimans
16174,29841,46015,Johnston
9927,17787,27714,Randolph
910,1485,2395,Hyde
1774,2555,4329,Alleghany
4251,7691,11942,Duplin
1200,2294,3494,Gates
7394,11238,18632,Haywood
4696,8956,13652,Stanly
26082,45463,71545,Missing
6820,13036,19856,Wilson
515,774,1289,Tyrrell
7502,16952,24454,Wayne
2434,4553,6987,Montgomery
6305,10082,16387,Lenoir
3288,6047,9335,Scotland
15936,27891,43827,Alamance
1096,2135,3231,Camden
2458,3207,5665,Greene
11388,17058,28446,Rowan
2005,4395,6400,Northampton
6041,10936,16977,Wilkes
7315,12524,19839,Lincoln
9802,13713,23515,Caldwell
2239,3772,6011,Polk
8199,12808,21007,Surry
3036,8535,11571,Macon
1063,1881,2944,Clay
3905,6477,10382,Yadkin
10865,19114,29979,Onslow
4465,8226,12691,Richmond
24836,44137,68973,Buncombe
18203,32150,50353,Union
16081,25851,41932,Cabarrus
1421,2301,3722,Washington
9826,16438,26264,Harnett
10176,15774,25950,Burke
6422,11205,17627,Granville
18737,31014,49751,Gaston
3796,7177,10973,Edgecombe
5824,11158,16982,Watauga
3086,5189,8275,Hoke
2342,4499,6841,Bertie
4428,6877,11305,Person
5666,11016,16682,Beaufort
15760,25896,41656,Catawba
2705,7916,10621,Jackson
103009,186260,289269,Wake
8739,17175,25914,Cleveland
6312,10070,16382,Sampson
4051,7879,11930,Columbus
2276,4446,6722,Caswell
2083,3605,5688,Yancey
6143,9700,15843,Lee
1911,4452,6363,Hertford
6344,14594,20938,Rockingham
82219,134550,216769,Mecklenburg
8489,14638,23127,Carteret
1252,2568,3820,Swain
2532,3624,6156,Avery
4751,8238,12989,Vance
4534,9950,14484,Halifax
4932,9484,14416,Rutherford
8068,16021,24089,Nash
2459,5300,7759,Ashe
4217,6178,10395,Stokes
1071,1777,2848,Graham
5869,9571,15440,Pender
10332,19229,29561,Craven
45529,80428,125957,Guilford
2315,4151,6466,Madison
11799,17484,29283,Chatham
22257,31622,53879,Pitt
13765,24222,37987,Moore
39052,60698,99750,Forsyth
15735,26011,41746,Iredell
2972,6391,9363,Transylvania
2644,4618,7262,Martin
1665,4037,5702,Warren
988,1788,2776,Jones
5926,8050,13976,Davie
25946,41361,67307,Cumberland
4918,8560,13478,Mcdowell
2532,4899,7431,Cherokee
2338,3840,6178,Chowan
22300,34690,56990,Orange
3302,6018,9320,Alexander
39849,62702,102551,Durham
12135,20380,32515,Henderson
6378,9760,16138,Pasquotank
1907,3563,5470,Pamlico
1290,2352,3642,Mitchell
3353,5038,8391,Currituck
20697,34193,54890,Brunswick
14068,21392,35460,Davidson
6044,10070,16114,Franklin
7373,9908,17281,Dare
3671,6015,9686,Bladen
30800,45002,75802,New Hanover
2337,3914,6251,Anson
