second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1722,10436,8686,2139,12453,10268,Currituck
99,129,2460,10578,8019,2849,11893,8915,Anson
2431,3640,1049,7315,3835,1254,9090,4196,Swain
355,518,8603,28034,19076,10307,33010,22185,Pender
75,114,887,6232,5270,1196,7554,6244,Mitchell
212,323,4221,19329,14896,5208,22543,17012,Richmond
918,1349,7148,30987,22921,8391,36817,27077,Haywood
850,1331,35924,100018,63244,40883,117007,74793,Gaston
7238,8422,13385,57092,36469,15750,64355,40183,Craven
397,526,12092,33916,21427,13722,37950,23702,Franklin
1175,1540,35672,86675,49828,40251,98380,56589,Iredell
119,170,4692,16636,11825,5262,19012,13580,Yadkin
299,402,4475,22719,17945,5323,26368,20643,Beaufort
928,1371,16589,48080,30563,19678,56580,35531,Harnett
108,146,1635,8434,6691,1814,9273,7313,Polk
17,23,5072,22894,17805,5725,27390,21642,Dare
1944,3220,65656,201385,133785,72836,243689,167633,Forsyth
47852,57597,24411,105131,32868,29197,125896,39102,Onslow
51,72,970,4479,3458,1200,5012,3740,Jones
563,775,16605,48095,30927,18822,55623,36026,Nash
2643,3842,3038,20012,14331,3562,24790,17386,Jackson
228,287,7113,23051,15710,8266,27033,18480,Duplin
26,34,1083,5238,4129,1349,6734,5351,Alleghany
35441,29831,86289,187451,65721,95738,218008,92439,Missing
1441,2140,41931,108203,64831,46324,122216,73752,Cabarrus
92,134,2338,14821,12391,2827,16716,13755,Alexander
963,887,715,4887,3209,842,5471,3742,Camden
351,511,2610,21184,18223,3303,24654,20840,Mcdowell
318,430,7291,28392,20783,8561,34161,25170,Sampson
288,425,8632,27504,18584,10133,31823,21265,Lenoir
426,648,5044,25616,20146,5701,29364,23015,Rutherford
144,186,2392,10914,8378,2926,12249,9137,Montgomery
162,251,6600,18865,12103,7613,22213,14349,Stokes
278,360,5749,21453,15426,6901,25226,17965,Columbus
355,505,10743,38177,27079,13168,43990,30317,Wilson
1257,1848,44769,129691,83665,50102,152147,100197,New hanover
241,385,14149,38743,24353,16690,43994,26919,Lincoln
252,355,6797,21372,14323,7732,24960,16873,Davie
83,123,1232,8256,6941,1469,9282,7690,Northampton
262,372,4191,24481,20028,5105,27795,22318,Halifax
671,906,12439,50440,37330,14944,58606,42756,Robeson
783,1171,5348,16748,10617,6576,20312,12565,Hoke
130,174,852,8271,7289,1035,9442,8233,Yancey
432,650,10062,30811,20317,11467,35246,23129,Lee
3831,5729,40619,151889,107439,44065,176836,127042,Buncombe
,,144,3006,2862,173,3377,3204,Hyde
295,405,5764,21399,15340,6935,25226,17886,Edgecombe
224,293,2837,14796,11735,3343,19303,15667,Transylvania
272,383,11954,38122,25896,13570,42231,28278,Chatham
4508,6201,52582,201937,144847,57492,233287,169594,Durham
,,131,1745,1614,171,2026,1855,Tyrrell
693,927,14178,51936,37065,16341,58198,40930,Moore
567,750,18900,56596,37129,21920,64532,41862,Randolph
2893,3534,18555,57043,35595,21361,64826,39931,Rowan
99,126,2839,12222,9284,3291,15129,11712,Ashe
981,1441,12212,58514,45321,14477,70458,54540,Henderson
302,405,6312,23370,16756,7354,26728,18969,Vance
574,917,47075,120486,72837,51673,135367,82777,Union
38,56,1513,5361,3810,1775,6251,4420,Washington
953,1282,21979,72417,49485,25420,84156,57454,Davidson
4371,4792,9112,34691,21208,10428,38873,23653,Granville
66,124,3944,25401,21391,4646,33165,28395,Watauga
317,520,12925,44734,31492,15166,50826,35140,Cleveland
,15,456,4142,3686,545,4712,4152,Gates
305,402,711,3597,2581,880,4197,2915,Graham
391,603,11101,36620,25128,12877,41375,27895,Carteret
1045,1442,23563,90793,66185,26702,102410,74266,Alamance
4678,7774,228522,626658,393458,252782,727236,466680,Mecklenburg
1505,1844,21615,80508,57388,24480,91631,65307,Brunswick
390,479,6137,25484,18957,7093,28511,20939,Stanly
11,17,911,5533,4611,1120,6506,5369,Perquimans
136,224,1196,10081,8749,1336,12576,11016,Madison
15,36,4508,18613,14090,5434,22280,16810,Pasquotank
401,737,27152,78266,50713,31373,87685,55575,Catawba
195,259,9131,29421,20095,10403,33478,22816,Wilkes
184,325,8874,34316,25258,11136,39978,28517,Caldwell
82,101,2336,9574,7156,2787,11531,8643,Greene
338,493,12248,41973,29387,14449,47457,32515,Rockingham
319,482,2450,17339,14570,3052,21812,18278,Macon
,,,88257,88257,,112298,112298,Out o
5875,8751,248373,729066,474818,270212,828865,549902,Wake
117,149,2201,10052,7734,2500,11179,8530,Warren
2249,3539,96816,297395,198330,108191,336589,224859,Guilford
166,220,3615,14868,11087,4422,17043,12401,Bladen
75788,94093,47694,192580,69098,56251,228929,78585,Cumberland
,,1555,6963,5408,1732,8309,6577,Chowan
78,93,960,6694,5656,1237,7452,6122,Pamlico
169,240,3950,15552,11433,4999,17853,12614,Scotland
937,1397,32952,99561,65672,37591,115381,76393,Johnston
56,93,926,4848,3866,1018,5360,4249,Clay
133,184,1982,9805,7690,2449,11686,9053,Martin
424,612,2187,12113,9502,2792,13716,10312,Cherokee
844,1208,23621,101105,76640,25034,115503,89261,Orange
340,499,9421,37887,28126,11154,43077,31424,Burke
227,307,10226,33807,23354,11649,37673,25717,Surry
8163,10801,16409,57995,33423,19382,67645,37462,Wayne
65,100,1341,8107,6701,1568,9718,8050,Avery
1019,1532,26264,82938,55655,30419,99187,67236,Pitt
28,42,1661,9234,7545,1956,10671,8673,Bertie
23,50,2780,10271,7468,3303,11751,8398,Hertford
292,390,4743,20263,15228,5811,22817,16616,Person
71,109,1328,9967,8568,1698,11149,9342,Caswell
