County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13719,11377,1068,643,2237,10414,1842,8892
Anson,12460,11160,223,119,3083,9154,2696,8345
Swain,9618,7845,4112,2893,1330,4176,1139,3813
Pender,34940,29860,1518,976,10881,22541,9212,19672
Mitchell,7834,6502,124,75,1287,6423,954,5473
Richmond,23729,20408,511,294,5632,17586,4656,15458
Haywood,38010,32078,1598,1001,8697,27715,7474,23603
Gaston,121642,105239,1981,1125,43268,76393,38792,65322
Craven,68492,60462,10079,7913,16732,41681,14429,38120
Franklin,40548,36061,1404,773,14516,24628,12980,22308
Iredell,102144,90754,2115,1411,42626,57403,38459,50884
Yadkin,19711,17361,188,130,5600,13923,5087,12144
Beaufort,27590,23866,709,444,5737,21144,4919,18503
Harnett,64275,54181,7346,4985,21137,35792,18310,30886
Polk,9170,8274,209,119,1877,7084,1704,6451
Dare,28361,23808,376,162,6048,21937,5485,18161
Forsyth,256311,213236,4196,2333,77284,174831,70949,139954
Onslow,133240,110478,61095,48336,31540,40605,27083,35059
Jones,5756,5046,572,370,1287,3897,1062,3614
Nash,57921,50538,999,663,20260,36662,18216,31659
Jackson,25708,20887,4260,3029,3826,17622,3293,14565
Duplin,29942,25749,2245,1607,8745,18952,7748,16394
Alleghany,6984,5486,68,26,1418,5498,1150,4310
Missing,287940,229721,39798,43499,96063,152079,89830,96392
Cabarrus,129862,115470,4182,2429,49288,76392,45471,67570
Alexander,17859,15843,469,236,3057,14333,2583,13024
Camden,6803,5322,2045,1214,900,3858,779,3329
Mcdowell,25472,22028,617,365,3461,21394,2789,18874
Sampson,35968,30189,658,440,9157,26153,7956,21793
Lenoir,33300,29105,483,307,10856,21961,9472,19326
Rutherford,30383,26657,752,455,6033,23598,5413,20789
Montgomery,12763,11283,295,198,3128,9340,2566,8519
Stokes,22990,19707,350,209,7925,14715,7014,12484
Columbus,25747,22102,472,341,7398,17877,6362,15399
Wilson,46444,40850,647,413,14318,31479,12108,28329
Lincoln,45336,40288,414,249,17537,27385,15127,24912
New hanover,157791,135433,3387,2060,52548,101856,47612,85761
Davie,25960,22437,521,317,8084,17355,7250,14870
Northampton,9366,8330,191,97,1560,7615,1326,6907
Halifax,28958,25589,582,357,5496,22880,4587,20645
Robeson,62231,53987,1526,972,16226,44479,13839,39176
Hoke,26759,21630,6355,4320,7146,13258,5967,11343
Yancey,9729,8596,179,134,1106,8444,917,7545
Lee,37067,32697,718,465,12325,24024,11070,21162
Buncombe,183420,156983,7318,4256,45445,130657,42229,110498
Hyde,3491,3174,11,,180,3300,156,3018
Edgecombe,26924,22823,916,535,7584,18424,6441,15847
Transylvania,19853,15389,386,251,3490,15977,2983,12155
Chatham,47780,41942,4975,3023,13999,28806,12590,26329
Durham,246256,213781,8096,5198,61077,177083,56736,151847
Tyrrell,2077,1812,,,183,1894,143,1669
Moore,63314,56013,5032,3198,17244,41038,15244,37571
Randolph,67373,59535,947,641,23421,43005,20701,38193
Rowan,67314,59222,4227,3167,22869,40218,20278,35777
Ashe,16162,12868,229,131,3468,12465,2939,9798
Henderson,72888,60959,1749,1040,15081,56058,12901,47018
Vance,28393,24954,487,341,7829,20077,6781,17832
Union,139143,125173,1405,756,54848,82890,50992,73425
Washington,6559,5674,66,41,1857,4636,1601,4032
Davidson,88320,76273,2192,1344,26906,59222,23716,51213
Granville,40608,36178,5455,4691,10946,24207,9730,21757
Watauga,33534,25963,223,99,4820,28491,4141,21723
Cleveland,52999,46947,712,388,15980,36307,13828,32731
Graham,4294,3678,452,335,908,2934,743,2600
Gates,4981,4402,147,68,585,4249,494,3840
Carteret,48734,42507,7105,4950,13528,28101,11911,25646
Alamance,106997,95595,2035,1267,28603,76359,25837,68491
Mecklenburg,756147,659964,9791,5417,268669,477687,247166,407381
Brunswick,94779,83463,2994,2004,25784,66001,23065,58394
Stanly,30050,26960,756,543,7591,21703,6643,19774
Perquimans,6678,5703,20,12,1198,5460,983,4708
Madison,12882,10388,233,138,1400,11249,1257,8993
Pasquotank,23193,19794,52,21,5797,17344,4956,14817
Catawba,91319,81979,1176,547,33235,56908,29300,52132
Caldwell,41457,35716,342,187,11920,29195,9642,25887
Wilkes,34568,30434,377,228,10972,23219,9770,20436
Greene,15514,12764,3406,2481,3017,9091,2614,7669
Rockingham,49261,43942,618,380,15462,33181,13456,30106
Out o,121797,99777,,,812,120985,987,98790
Macon,22199,17754,532,326,3196,18471,2595,14833
Wake,864189,767345,12035,7542,285106,567048,265878,493925
Warren,11629,10512,163,122,2663,8803,2386,8004
Guilford,352164,314339,5528,3061,116777,229859,107214,204064
Bladen,24224,19990,6693,4511,4715,12816,3940,11539
