County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13757,11398,1086,655,2243,10428,1848,8895
Anson,12485,11182,226,137,3092,9167,2704,8341
Pender,35007,29925,1522,982,10891,22594,9228,19715
Swain,9665,7861,4152,2912,1334,4179,1138,3811
Mitchell,7856,6508,124,75,1294,6438,957,5476
Richmond,23811,20505,527,320,5649,17635,4666,15519
Haywood,38099,32134,1608,1015,8710,27781,7481,23638
Gaston,122338,105661,2017,1193,43361,76960,38861,65607
Craven,68636,60621,10103,7960,16752,41781,14459,38202
Franklin,40700,36188,1442,823,14547,24711,13005,22360
Iredell,102420,90915,2163,1444,42782,57475,38564,50907
Yadkin,19762,17396,191,131,5623,13948,5110,12155
Beaufort,27646,23914,713,458,5755,21178,4927,18529
Harnett,64481,54360,7424,5051,21200,35857,18375,30934
Polk,9159,8266,210,120,1878,7071,1706,6440
Dare,28378,23835,379,165,6053,21946,5494,18176
Forsyth,257268,213968,4280,2413,77461,175527,71066,140489
Onslow,133543,110762,61244,48483,31600,40699,27148,35131
Jones,5762,5072,578,397,1287,3897,1060,3615
Nash,58012,50627,1009,671,20297,36706,18248,31708
Jackson,25750,20947,4276,3063,3834,17640,3303,14581
Duplin,30026,25810,2256,1616,8760,19010,7761,16433
Alleghany,7001,5505,68,38,1420,5513,1152,4315
Missing,289847,230532,39861,43518,95720,154266,89932,97082
Cabarrus,129977,115517,4251,2501,49387,76339,45506,67510
Camden,6827,5335,2059,1222,901,3867,781,3332
Alexander,17898,15884,493,261,3053,14352,2583,13040
Mcdowell,25529,22080,624,380,3478,21427,2802,18898
Sampson,36067,30293,676,460,9176,26215,7972,21861
Lenoir,33370,29166,490,308,10875,22005,9497,19361
Rutherford,30422,26707,756,469,6046,23620,5424,20814
Montgomery,12796,11296,296,199,3136,9364,2576,8521
Stokes,23040,19742,357,212,7943,14740,7026,12504
Columbus,25787,22143,477,348,7412,17898,6386,15409
Wilson,46562,40939,652,416,14351,31559,12138,28385
Lincoln,45402,40323,415,249,17592,27395,15176,24898
New hanover,158276,135865,3421,2113,52673,102182,47721,86031
Davie,26012,22509,526,326,8092,17394,7272,14911
Northampton,9375,8346,193,97,1562,7620,1333,6916
Halifax,29008,25655,586,376,5513,22909,4602,20677
Robeson,62395,54128,1562,1023,16265,44568,13877,39228
Hoke,26914,21772,6426,4395,7169,13319,5984,11393
Yancey,9740,8607,180,134,1107,8453,919,7554
Lee,37220,32793,722,466,12364,24134,11099,21228
Buncombe,183977,157416,7379,4327,45495,131103,42262,110827
Hyde,3495,3178,11,,178,3306,155,3023
Edgecombe,26996,22880,940,552,7611,18445,6473,15855
Transylvania,19884,15418,391,255,3494,15999,2988,12175
Chatham,47999,42152,5059,3121,14041,28899,12606,26425
Durham,247315,214817,8201,5381,61245,177869,56874,152562
Tyrrell,2078,1811,,,183,1895,142,1669
Moore,63615,56240,5084,3237,17281,41250,15277,37726
Randolph,67472,59618,954,653,23457,43061,20734,38231
Rowan,67446,59344,4300,3243,22934,40212,20327,35774
Ashe,16182,12892,233,136,3466,12483,2934,9822
Henderson,73014,61067,1758,1048,15097,56159,12920,47099
Vance,28504,25026,496,344,7839,20169,6795,17887
Union,139222,125209,1418,775,55023,82781,51133,73301
Washington,6568,5686,66,41,1856,4646,1607,4038
Davidson,88590,76480,2228,1370,26978,59384,23786,51324
Granville,40766,36313,5495,4746,10965,24306,9763,21804
Watauga,33565,26006,223,107,4821,28521,4145,21754
Cleveland,53020,46976,725,404,15993,36302,13854,32718
Graham,4305,3681,455,336,908,2942,746,2599
Gates,4991,4410,147,68,587,4257,497,3845
