First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13486,11129,964,588,Currituck,2187,10335,1768,8773
12110,10796,183,109,Anson,2904,9023,2522,8165
9417,7580,3908,2616,Swain,1288,4221,1083,3881
34257,29231,1450,947,Pender,10513,22294,8805,19479
7640,6322,117,75,Mitchell,1217,6306,910,5337
23053,19703,448,258,Richmond,5390,17215,4382,15063
37304,31442,1488,971,Haywood,8516,27300,7273,23198
118876,102057,1813,1062,Gaston,41825,75238,36868,64127
66783,58688,9979,7868,Craven,16147,40657,13764,37056
39254,34800,1251,712,Franklin,14022,23981,12357,21731
99710,88211,1971,1337,Iredell,41109,56630,36614,50260
19277,16865,172,121,Yadkin,5389,13716,4797,11947
26961,23134,622,416,Beaufort,5477,20862,4600,18118
63122,52540,7186,4737,Harnett,20288,35648,17111,30692
9323,8439,181,108,Polk,1830,7312,1651,6680
27909,23341,289,148,Dare,5858,21762,5261,17932
247573,205326,3884,2174,Forsyth,74468,169221,67334,135818
131248,108560,61606,49047,Onslow,30153,39489,25391,34122
5534,4811,511,320,Jones,1227,3796,1002,3489
56687,49061,917,636,Nash,19464,36306,17179,31246
25235,20340,4097,2780,Jackson,3639,17499,3108,14452
29254,24854,2080,1469,Duplin,8449,18725,7326,16059
6843,5306,52,26,Alleghany,1380,5411,1099,4181
243554,207034,43267,44738,Missing,97809,102478,88597,73699
125979,111435,3857,2268,Cabarrus,47396,74726,43180,65987
17326,15214,425,201,Alexander,2908,13993,2404,12609
6511,5177,1859,1190,Camden,861,3791,732,3255
25011,21517,554,351,Mcdowell,3362,21095,2657,18509
35011,29082,612,414,Sampson,8829,25570,7516,21152
32400,28113,433,291,Lenoir,10400,21567,8956,18866
29731,25978,709,451,Rutherford,5818,23204,5156,20371
12474,11018,261,183,Montgomery,2986,9227,2432,8403
22533,19165,324,196,Stokes,7731,14478,6754,12215
25558,21705,446,311,Columbus,7157,17955,5983,15411
45000,39085,570,386,Wilson,13632,30798,11165,27534
44529,39346,394,243,Lincoln,17049,27086,14495,24608
154669,132351,3117,1923,New hanover,51044,100508,45757,84671
25381,21785,467,297,Davie,7874,17040,6975,14513
9444,8359,171,83,Northampton,1513,7760,1266,7010
28459,24979,539,328,Halifax,5291,22629,4351,20300
60379,51843,1405,894,Robeson,15425,43549,12857,38092
25827,20526,6215,4145,Hoke,6752,12860,5508,10873
9564,8409,175,132,Yancey,1051,8338,864,7413
35894,31410,667,441,Lee,11798,23429,10404,20565
179408,154108,6649,4158,Buncombe,44576,128183,41122,108828
3415,3078,,,Hyde,176,3239,148,2930
26035,21948,807,472,Edgecombe,7208,18020,6015,15461
19515,14959,354,236,Transylvania,3394,15767,2879,11844
46987,41187,4682,2772,Chatham,13784,28521,12204,26211
236958,205952,7434,4941,Durham,58789,170735,53762,147249
2045,1772,,,Tyrrell,177,1868,135,1637
62179,54762,4939,3039,Moore,16765,40475,14630,37093
65741,57571,865,617,Randolph,22523,42353,19439,37515
66027,58025,3947,3063,Rowan,21911,40169,19087,35875
15399,12351,199,120,Ashe,3344,11856,2870,9361
71350,59401,1598,1023,Henderson,14657,55095,12435,45943
27354,23855,442,316,Vance,7544,19368,6444,17095
136935,122499,1271,699,Union,52841,82823,48404,73396
6380,5493,56,38,Washington,1803,4521,1552,3903
86215,74045,1998,1260,Davidson,26064,58153,22568,50217
39557,35229,5089,4493,Granville,10648,23820,9302,21434
33424,25725,207,89,Watauga,4692,28525,3988,21648
51792,45648,661,372,Cleveland,15476,35655,13223,32053
4863,4271,116,66,Gates,555,4192,468,3737
4263,3623,436,310,Graham,888,2939,721,2592
47633,41359,6635,4609,Carteret,13126,27872,11362,25388
104054,92475,1834,1171,Alamance,27369,74851,24237,67067
737958,640361,9041,5022,Mecklenburg,258474,470443,234220,401119
93138,81815,2796,1911,Brunswick,24966,65376,22105,57799
29199,26007,717,529,Stanly,7310,21172,6274,19204
6584,5580,19,12,Perquimans,1149,5416,933,4635
12714,10195,225,136,Madison,1362,11127,1210,8849
22699,19001,48,17,Pasquotank,5568,17083,4634,14350
40545,34834,329,184,Caldwell,11457,28759,9143,25507
89143,79628,1063,518,Catawba,32121,55959,27809,51301
33835,29780,321,207,Wilkes,10577,22937,9343,20230
15086,11994,3354,2231,Greene,2885,8847,2409,7354
48262,42706,560,352,Rockingham,14829,32873,12634,29720
21995,17499,515,321,Macon,3100,18380,2490,14688
111181,90648,,,Out o,,111181,,90648
838636,744303,11162,7047,Wake,275585,551889,253899,483357
11352,10226,151,117,Warren,2560,8641,2266,7843
342236,303357,4977,2838,Guilford,111292,225967,99887,200632
23750,19324,6616,4322,Bladen,4566,12568,3727,11275
228860,183782,91282,64247,Cumberland,57974,79604,49462,70073
8607,7173,181,83,Chowan,1770,6656,1597,5493
7600,6818,203,160,Pamlico,1264,6133,987,5671
18147,15814,262,183,Scotland,5155,12730,4112,11519
119316,102498,3349,1929,Johnston,38626,77341,33816,66753
5538,4967,220,99,Clay,1023,4295,938,3930
13911,12269,683,457,Cherokee,2834,10394,2230,9582
11729,9807,216,134,Martin,2559,8954,2065,7608
115750,102098,1335,896,Orange,25402,89013,23991,77211
43682,38281,738,409,Burke,11410,31534,9655,28217
37930,34098,343,229,Surry,11869,25718,10438,23431
64432,55764,6551,4885,Wayne,19990,37891,16964,33915
9857,8225,165,76,Avery,1593,8099,1361,6788
101351,84775,2087,1259,Pitt,31368,67896,27220,56296
10897,9383,102,59,Bertie,2032,8763,1718,7606
11964,10454,77,33,Hertford,3380,8507,2876,7545
23126,20588,395,292,Person,5986,16745,4898,15398
11375,10119,198,85,Caswell,1726,9451,1359,8675
