second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,46,1652,10228,8548,2049,12205,10110,Currituck
99,129,2341,10283,7843,2733,11563,8701,Anson
2193,3437,1010,6963,3760,1230,8823,4156,Swain
354,518,8216,27539,18969,9929,32496,22049,Pender
75,114,859,6120,5186,1150,7389,6125,Mitchell
211,320,4024,18818,14583,4976,22007,16711,Richmond
850,1325,34291,97413,62272,39403,114529,73801,Gaston
914,1335,6991,30487,22582,8221,36302,26746,Haywood
7084,8191,12822,55499,35593,15130,62747,39426,Craven
397,524,11590,33027,21040,13211,37045,23310,Franklin
1173,1525,33837,83937,48927,38439,95558,55594,Iredell
119,168,4466,16287,11702,5026,18648,13454,Yadkin
298,399,4279,22373,17796,5123,25979,20457,Beaufort
923,1331,15611,47164,30630,18643,55600,35626,Harnett
108,145,1582,8422,6732,1773,9323,7405,Polk
17,23,4774,22453,17662,5460,26933,21450,Dare
1935,3136,62801,194789,130053,69963,237896,164797,Forsyth
47137,56815,22996,102379,32246,27663,122951,38473,Onslow
51,71,933,4387,3403,1153,4913,3689,Jones
563,773,15802,47326,30961,17919,54538,35846,Nash
2401,3659,2931,19439,14107,3457,24339,17223,Jackson
228,284,6781,22224,15215,7879,26073,17910,Duplin
26,34,1055,5129,4048,1309,6610,5267,Alleghany
34916,27171,81333,166172,49923,91417,189770,71182,Missing
1439,2099,39582,104380,63359,44349,118969,72521,Cabarrus
950,877,671,4768,3147,801,5364,3686,Camden
92,133,2249,14577,12236,2724,16335,13478,Alexander
348,507,2498,20784,17938,3184,24284,20593,Mcdowell
317,424,6980,27871,20574,8163,33419,24832,Sampson
285,420,8214,26820,18321,9654,31005,20931,Lenoir
426,645,4852,25019,19741,5511,28766,22610,Rutherford
144,184,2292,10737,8301,2819,12086,9083,Montgomery
162,249,6340,18441,11939,7360,21768,14159,Stokes
278,356,5442,21249,15529,6588,24956,18012,Columbus
354,500,10107,37024,26563,12515,42749,29734,Wilson
1255,1839,42705,126279,82319,48354,149275,99082,New hanover
241,382,13488,37758,24029,16108,43105,26615,Lincoln
251,348,6500,20850,14099,7423,24333,16562,Davie
83,123,1180,8265,7002,1399,9284,7762,Northampton
262,371,3999,24037,19776,4841,27180,21968,Halifax
664,896,11862,49037,36511,14264,57014,41854,Robeson
779,1124,5026,16185,10380,6175,19578,12279,Hoke
130,173,822,8086,7134,1008,9244,8063,Yancey
431,643,9625,30200,20144,10960,34509,22906,Lee
3816,5701,39250,146852,103786,43179,172652,123772,Buncombe
,,139,2902,2763,167,3306,3139,Hyde
295,403,5494,21191,15402,6584,24901,17914,Edgecombe
224,292,2745,14504,11535,3213,18930,15425,Transylvania
272,382,11601,37653,25780,13176,42065,28507,Chatham
4502,6062,50489,194855,139864,55661,228162,166439,Durham
,,129,1714,1585,167,1983,1816,Tyrrell
690,918,13532,51366,37144,15722,57606,40966,Moore
565,744,18018,55419,36836,20912,63174,41518,Randolph
2889,3481,17686,55967,35392,20464,63331,39386,Rowan
99,124,2761,11892,9032,3216,14854,11514,Ashe
979,1436,11813,56870,44078,14048,68755,53271,Henderson
302,403,6036,22607,16269,7055,25873,18415,Vance
574,915,44115,116150,71461,49268,131861,81678,Union
38,56,1476,5229,3715,1738,6127,4333,Washington
949,1271,21039,70394,48406,24433,81729,56025,Davidson
4314,4709,8742,34051,20995,10054,38112,23349,Granville
66,123,3891,25040,21083,4554,32835,28158,Watauga
316,519,12421,43564,30827,14693,49713,34501,Cleveland
299,378,694,3547,2554,864,4140,2898,Graham
,13,444,4095,3651,519,4628,4096,Gates
391,603,10616,35908,24901,12393,40663,27667,Carteret
1043,1418,22360,88170,64767,25467,100123,73238,Alamance
4621,7668,217555,604986,382810,243538,708144,456938,Mecklenburg
1505,1844,20796,79264,56963,23579,90276,64853,Brunswick
390,477,5884,24884,18610,6819,27877,20581,Stanly
11,15,879,5439,4549,1089,6406,5302,Perquimans
136,221,1156,9961,8669,1325,12436,10890,Madison
14,29,4309,18121,13798,5206,21735,16500,Pasquotank
195,259,8787,28883,19901,10052,33094,22783,Wilkes
184,324,8464,33603,24955,10636,39185,28225,Caldwell
401,732,25923,76169,49845,30155,85774,54887,Catawba
80,101,2246,9371,7045,2662,11235,8472,Greene
338,490,11635,41081,29108,13730,46345,32125,Rockingham
,,,82623,82623,,105281,105281,Out o
317,479,2388,17180,14475,2956,21508,18073,Macon
5865,8598,236338,700806,458603,261088,808360,538674,Wake
117,146,2115,9872,7640,2405,10942,8391,Warren
2239,3504,90792,288305,195274,102924,328536,222108,Guilford
166,217,3465,14565,10934,4238,16675,12220,Bladen
75147,93060,44953,188205,68105,53172,223370,77138,Cumberland
,,1500,6845,5345,1674,8168,6494,Chowan
78,93,926,6569,5565,1178,7314,6043,Pamlico
169,239,3808,15304,11327,4759,17416,12418,Scotland
933,1383,31230,96293,64130,35934,112170,74853,Johnston
56,93,916,4767,3795,1009,5290,4188,Clay
422,588,2142,11952,9388,2721,13512,10203,Cherokee
133,183,1885,9819,7801,2309,11653,9161,Martin
844,1177,22933,97718,73941,24369,114205,88659,Orange
339,498,9052,37382,27991,10734,42582,31350,Burke
227,301,9897,33560,23436,11293,37542,25948,Surry
7949,10588,15493,56426,32984,18374,65952,36990,Wayne
65,99,1307,8030,6658,1524,9594,7971,Avery
1017,1501,24755,80961,55189,28786,96928,66641,Pitt
28,42,1572,9103,7503,1856,10499,8601,Bertie
23,50,2649,10046,7374,3141,11518,8327,Hertford
292,386,4531,19827,15004,5520,22297,16391,Person
71,109,1270,9828,8487,1633,10982,9240,Caswell
