Second Doses Administered,First Doses Administered,Total Doses Administered,County
13724,22031,35755,Robeson
2875,3867,6742,Perquimans
25352,43135,68487,Johnston
15109,26869,41978,Randolph
1195,1941,3136,Hyde
2113,3369,5482,Alleghany
6396,10778,17174,Duplin
1570,2867,4437,Gates
10135,16097,26232,Haywood
7147,12286,19433,Stanly
38991,64812,103803,Missing
10672,18280,28952,Wilson
646,1152,1798,Tyrrell
13235,23836,37071,Wayne
3534,6174,9708,Montgomery
8557,13436,21993,Lenoir
5161,8698,13859,Scotland
25536,44297,69833,Alamance
1390,2608,3998,Camden
2874,5350,8224,Greene
15933,22638,38571,Rowan
3273,5843,9116,Northampton
9151,14833,23984,Wilkes
11582,17118,28700,Lincoln
12620,18946,31566,Caldwell
3363,5679,9042,Polk
11502,18513,30015,Surry
7081,12450,19531,Macon
1528,2576,4104,Clay
5383,9301,14684,Yadkin
16229,24526,40755,Onslow
6992,10738,17730,Richmond
37808,72365,110173,Buncombe
30227,43493,73720,Union
23652,37821,61473,Cabarrus
1917,2904,4821,Washington
14022,22675,36697,Harnett
14734,21375,36109,Burke
9494,14842,24336,Granville
28966,43687,72653,Gaston
5964,11216,17180,Edgecombe
8665,16991,25656,Watauga
4451,6946,11397,Hoke
3500,6105,9605,Bertie
5865,10390,16255,Person
9237,15046,24283,Beaufort
23982,34942,58924,Catawba
6321,11494,17815,Jackson
162728,295849,458577,Wake
15741,22039,37780,Cleveland
8582,14374,22956,Sampson
6214,12098,18312,Columbus
3734,5975,9709,Caswell
2630,5121,7751,Yancey
9096,14285,23381,Lee
3061,6035,9096,Hertford
11889,21511,33400,Rockingham
123773,211064,334837,Mecklenburg
13181,21403,34584,Carteret
2201,3191,5392,Swain
3106,5297,8403,Avery
6622,11008,17630,Vance
7549,14545,22094,Halifax
7605,14021,21626,Rutherford
12361,24141,36502,Nash
4079,7626,11705,Ashe
5364,9018,14382,Stokes
1624,2052,3676,Graham
8280,14242,22522,Pender
16946,26981,43927,Craven
71948,146437,218385,Guilford
3659,6485,10144,Madison
14705,22209,36914,Chatham
27632,47976,75608,Pitt
21560,31357,52917,Moore
54168,98669,152837,Forsyth
24129,36780,60909,Iredell
5337,10290,15627,Transylvania
3473,6190,9663,Martin
2951,5402,8353,Warren
1554,2480,4034,Jones
7236,10793,18029,Davie
37691,52439,90130,Cumberland
7272,12018,19290,McDowell
4235,6723,10958,Cherokee
2910,4945,7855,Chowan
31300,52888,84188,Orange
4979,9265,14244,Alexander
57358,96808,154166,Durham
17312,31344,48656,Henderson
8039,11345,19384,Pasquotank
3019,4708,7727,Pamlico
1597,3666,5263,Mitchell
3795,6726,10521,Currituck
31770,47791,79561,Brunswick
19997,32336,52333,Davidson
9351,13801,23152,Franklin
8629,15047,23676,Dare
5203,7945,13148,Bladen
42888,64146,107034,New Hanover
3548,5435,8983,Anson
