First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13691,11378,1072,664,Currituck,2227,10392,1836,8878
12378,11090,203,110,Anson,3037,9138,2658,8322
9494,7750,4037,2802,Swain,1323,4134,1134,3814
34651,29718,1527,998,Pender,10755,22369,9133,19587
7765,6455,122,75,Mitchell,1273,6370,949,5431
23432,20210,481,276,Richmond,5539,17412,4593,15341
37705,31900,1548,986,Haywood,8634,27523,7417,23497
120614,104392,1925,1086,Gaston,42774,75915,38333,64973
68010,60198,10206,8131,Craven,16526,41278,14294,37773
40053,35729,1363,732,Franklin,14347,24343,12876,22121
101338,90227,2048,1368,Iredell,42114,57176,38053,50806
19546,17229,182,124,Yadkin,5519,13845,5013,12092
27382,23692,664,431,Beaufort,5647,21071,4840,18421
64167,54075,7562,5041,Harnett,20854,35751,18060,30974
9238,8368,202,119,Polk,1862,7174,1691,6558
28206,23711,342,167,Dare,5999,21865,5442,18102
253062,211083,4084,2242,Forsyth,76237,172741,70070,138771
134008,111949,62654,50346,Onslow,31112,40242,26751,34852
5695,4977,561,341,Jones,1267,3867,1047,3589
57532,50252,952,649,Nash,20005,36575,17980,31623
25516,20747,4194,2939,Jackson,3776,17546,3256,14552
29743,25556,2218,1585,Duplin,8652,18873,7648,16323
6958,5459,61,26,Alleghany,1414,5483,1140,4293
273651,222695,42091,43415,Missing,94725,136835,89116,90164
128289,114387,4076,2336,Cabarrus,48684,75529,44926,67125
6738,5356,2007,1268,Camden,887,3844,774,3314
17680,15651,458,215,Alexander,3007,14215,2550,12886
25255,21849,582,361,Mcdowell,3422,21251,2761,18727
35695,29961,653,422,Sampson,9056,25986,7892,21647
32940,28836,458,298,Lenoir,10662,21820,9325,19213
30081,26445,733,452,Rutherford,5967,23381,5372,20621
12627,11194,277,184,Montgomery,3076,9274,2543,8467
22836,19575,338,202,Stokes,7859,14639,6966,12407
25602,21975,460,332,Columbus,7303,17839,6280,15363
45945,40444,613,408,Wilson,14092,31240,11886,28150
156452,134578,3286,1981,New hanover,51983,101183,47201,85396
