second_dose_tiberius,first_dose_tiberius,second_dose_federal,Second Dose Administered,second_dose_nc,first_dose_federal,First Dose Administered,first_dose_nc,County
28,48,1727,10463,8708,2148,12485,10289,Currituck
99,131,2478,10615,8038,2864,11935,8940,Anson
2444,3660,1052,7337,3841,1265,9125,4200,Swain
356,521,8645,28121,19120,10367,33148,22260,Pender
75,115,890,6242,5277,1198,7571,6258,Mitchell
214,329,4253,19398,14931,5274,22675,17072,Richmond
922,1350,7175,31066,22969,8430,36932,27152,Haywood
855,1339,36111,100374,63408,41165,117549,75045,Gaston
7258,8472,13447,57271,36566,15827,64593,40294,Craven
397,530,12145,34036,21494,13809,38118,23779,Franklin
1176,1544,35887,87026,49963,40484,98735,56707,Iredell
119,171,4710,16689,11860,5302,19087,13614,Yadkin
299,404,4486,22787,18002,5356,26467,20707,Beaufort
932,1391,16685,48133,30516,19766,56682,35525,Harnett
108,146,1638,8439,6693,1822,9282,7314,Polk
17,23,5115,22954,17822,5781,27483,21679,Dare
1949,3243,66004,202156,134203,73301,244862,168318,Forsyth
47953,57713,24596,105480,32931,29395,126318,39210,Onslow
51,75,975,4493,3467,1208,5047,3764,Jones
567,778,16712,48291,31012,18966,55820,36076,Nash
2650,3857,3051,20064,14363,3572,24838,17409,Jackson
228,289,7142,23163,15793,8295,27124,18540,Duplin
26,34,1087,5255,4142,1356,6766,5376,Alleghany
35446,29826,87095,190432,67891,96723,222087,95538,Missing
1443,2156,42256,108751,65052,46659,122760,73945,Cabarrus
964,889,716,4893,3213,845,5489,3755,Camden
92,134,2357,14887,12438,2855,16828,13839,Alexander
351,516,2620,21247,18276,3316,24744,20912,Mcdowell
319,433,7319,28513,20875,8610,34338,25295,Sampson
290,427,8695,27640,18655,10197,31945,21321,Lenoir
426,650,5079,25721,20216,5729,29476,23097,Rutherford
144,186,2398,10923,8381,2929,12274,9159,Montgomery
162,253,6625,18900,12113,7641,22273,14379,Stokes
279,360,5784,21485,15422,6970,25303,17973,Columbus
356,510,10827,38318,27135,13318,44238,30410,Wilson
242,388,14214,38876,24420,16758,44133,26987,Lincoln
1257,1858,45010,130053,83786,50388,152635,100389,New hanover
252,357,6834,21442,14356,7769,25052,16926,Davie
83,124,1236,8271,6952,1481,9305,7700,Northampton
263,373,4220,24499,20016,5162,27863,22328,Halifax
672,914,12507,50657,37478,15058,58902,42930,Robeson
785,1186,5371,16815,10659,6610,20417,12621,Hoke
131,175,855,8303,7317,1039,9477,8263,Yancey
435,657,10131,30924,20358,11572,35421,23192,Lee
3835,5739,40756,152376,107785,44238,177367,127390,Buncombe
,,144,3034,2890,173,3391,3218,Hyde
295,405,5796,21420,15329,7008,25297,17884,Edgecombe
224,295,2845,14821,11752,3359,19365,15711,Transylvania
272,384,12037,38178,25869,13681,42317,28252,Chatham
4511,6237,52827,202755,145417,57862,234288,170189,Durham
,,132,1748,1616,174,2032,1858,Tyrrell
695,931,14257,51974,37022,16453,58307,40923,Moore
568,754,18985,56733,37180,22089,64848,42005,Randolph
2896,3553,18662,57211,35653,21540,65070,39977,Rowan
99,126,2842,12228,9287,3298,15152,11728,Ashe
982,1443,12262,58686,45442,14530,70688,54715,Henderson
302,408,6336,23454,16816,7404,26901,19089,Vance
576,920,47381,120896,72939,52094,135906,82892,Union
38,56,1524,5390,3828,1783,6280,4441,Washington
953,1284,22068,72656,49635,25594,84538,57660,Davidson
4414,4883,9151,34757,21192,10494,39010,23633,Granville
66,127,3949,25453,21438,4659,33227,28441,Watauga
317,522,12985,44893,31591,15260,51102,35320,Cleveland
,15,459,4155,3696,551,4729,4163,Gates
306,404,714,3601,2581,880,4202,2918,Graham
391,603,11159,36705,25155,12945,41470,27922,Carteret
1046,1453,23703,91115,66366,26884,102827,74490,Alamance
4694,7811,229826,629252,394732,254337,730702,468554,Mecklenburg
1508,1847,21681,80630,57441,24586,91862,65429,Brunswick
390,481,6157,25561,19014,7145,28628,21002,Stanly
12,19,915,5539,4612,1125,6526,5382,Perquimans
136,225,1199,10106,8771,1338,12612,11049,Madison
15,42,4530,18706,14161,5480,22425,16903,Pasquotank
195,260,9172,29464,20097,10469,33542,22813,Wilkes
403,743,27293,78513,50817,31602,88068,55723,Catawba
184,325,8906,34393,25303,11213,40116,28578,Caldwell
82,101,2347,9609,7180,2801,11571,8669,Greene
338,498,12289,42092,29465,14533,47667,32636,Rockingham
,,,88870,88870,,113059,113059,Out o
319,483,2458,17385,14608,3061,21846,18302,Macon
5882,8795,249483,732545,477180,271492,831992,551705,Wake
117,149,2216,10071,7738,2509,11217,8559,Warren
2257,3566,97457,298610,198896,109039,338123,225518,Guilford
166,221,3624,14914,11124,4453,17128,12454,Bladen
75989,94350,48056,193253,69208,56683,229859,78826,Cumberland
,10,1561,6995,5434,1744,8362,6608,Chowan
78,93,964,6700,5658,1243,7462,6126,Pamlico
169,241,3978,15594,11447,5029,17893,12623,Scotland
938,1407,33085,99958,65935,37837,115957,76713,Johnston
56,93,928,4862,3878,1019,5370,4258,Clay
133,185,1987,9823,7703,2457,11710,9068,Martin
425,613,2196,12141,9520,2802,13748,10333,Cherokee
846,1217,23704,101270,76720,25117,115636,89302,Orange
340,503,9458,37917,28119,11218,43118,31397,Burke
228,309,10285,33873,23360,11707,37787,25771,Surry
8217,10838,16479,58210,33514,19482,67929,37609,Wayne
65,102,1344,8135,6726,1576,9744,8066,Avery
1020,1544,26465,83305,55820,30624,99579,67411,Pitt
28,43,1662,9262,7572,1965,10708,8700,Bertie
23,50,2795,10292,7474,3307,11769,8412,Hertford
292,391,4763,20301,15246,5853,22878,16634,Person
71,110,1332,10005,8602,1703,11191,9378,Caswell
