County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13765,11413,1091,665,2248,10426,1852,8896
Anson,12507,11212,228,145,3110,9169,2726,8341
Swain,9681,7878,4191,2969,1346,4144,1141,3768
Pender,35110,30055,1530,996,10918,22662,9257,19802
Mitchell,7871,6531,124,75,1300,6447,961,5495
Richmond,23935,20656,525,345,5672,17738,4700,15611
Haywood,38275,32312,1613,1021,8721,27941,7494,23797
Gaston,122245,105546,2002,1211,43475,76768,38977,65358
Craven,68750,60915,9999,8063,16810,41941,14512,38340
Franklin,40966,36431,1416,858,14599,24951,13045,22528
Iredell,102419,90978,2148,1477,42905,57366,38702,50799
Yadkin,19818,17446,193,132,5652,13973,5139,12175
Beaufort,27761,24027,715,464,5795,21251,4962,18601
Harnett,64577,54497,7422,5177,21291,35864,18464,30856
Polk,9069,8153,213,121,1882,6974,1705,6327
Dare,28427,23928,384,173,6066,21977,5515,18240
Forsyth,258102,214894,4235,2471,77777,176090,71397,141026
Onslow,133394,111677,60765,49084,31769,40860,27298,35295
Jones,5796,5099,582,406,1300,3914,1067,3626
Nash,58099,50690,1016,681,20387,36696,18347,31662
Jackson,25777,20990,4298,3093,3841,17638,3311,14586
Duplin,30105,25907,2242,1633,8788,19075,7789,16485
Alleghany,7005,5519,69,38,1419,5517,1153,4328
Missing,293258,235200,39777,43745,95843,157638,90071,101384
Cabarrus,129572,115138,4181,2581,49577,75814,45702,66855
Camden,6832,5362,2054,1246,909,3869,784,3332
Alexander,18084,16098,475,283,3064,14545,2589,13226
Mcdowell,25437,21987,625,383,3486,21326,2809,18795
Sampson,36042,30294,675,471,9200,26167,7989,21834
Lenoir,33517,29294,493,308,10958,22066,9565,19421
Rutherford,30431,26740,758,471,6057,23616,5441,20828
Montgomery,12801,11297,297,200,3143,9361,2586,8511
Stokes,23151,19873,357,213,7968,14826,7058,12602
Columbus,25850,22223,479,358,7447,17924,6422,15443
Wilson,46795,41155,654,418,14423,31718,12209,28528
Lincoln,45045,39971,416,249,17649,26980,15246,24476
New hanover,158741,136452,3387,2145,52828,102526,47893,86414
Davie,26086,22604,526,329,8119,17441,7297,14978
Northampton,9360,8327,194,98,1563,7603,1339,6890
Halifax,29064,25706,591,386,5529,22944,4619,20701
Robeson,62535,54290,1542,1044,16347,44646,13957,39289
Hoke,26982,21977,6371,4488,7194,13417,6014,11475
Yancey,9765,8636,180,134,1115,8470,925,7577
Lee,37630,33096,723,466,12418,24489,11155,21475
Buncombe,184890,158287,7325,4387,45554,132011,42340,111560
Hyde,3497,3176,12,,179,3306,154,3022
Edgecombe,26995,22878,928,571,7669,18398,6518,15789
Transylvania,19961,15513,393,258,3506,16062,2996,12259
Chatham,48879,43148,4958,3228,14086,29835,12651,27269
Durham,249217,216687,8116,5480,61438,179663,57138,154069
Tyrrell,2080,1818,,,183,1897,143,1675
Moore,63972,56642,5001,3303,17345,41626,15324,38015
Randolph,67684,59773,958,658,23535,43191,20818,38297
Rowan,67588,59384,4238,3289,23057,40293,20436,35659
Ashe,16368,13084,236,141,3467,12665,2933,10010
Henderson,73257,61319,1762,1055,15127,56368,12953,47311
Vance,28675,25151,497,344,7871,20307,6820,17987
Union,138956,124896,1427,783,55253,82276,51370,72743
Washington,6577,5701,66,41,1857,4654,1612,4048
Davidson,88985,76918,2235,1392,27080,59670,23886,51640
Granville,40856,36358,5571,4800,10978,24307,9786,21772
Watauga,33256,25824,223,116,4817,28216,4141,21567
Cleveland,52763,46754,727,405,16034,36002,13894,32455
Graham,4306,3685,457,339,909,2940,746,2600
Gates,4993,4417,149,70,588,4256,498,3849
Carteret,48880,42736,7096,5057,13565,28219,11941,25738
Alamance,107851,96302,2067,1351,28798,76986,26026,68925
Mecklenburg,755177,658736,9810,5753,270418,474949,248794,404189
Brunswick,95158,83863,3030,2021,25952,66176,23245,58597
Stanly,29916,26867,759,592,7639,21518,6701,19574
Perquimans,6723,5740,20,12,1209,5494,990,4738
Madison,12891,10402,247,138,1406,11238,1265,8999
Pasquotank,23266,19845,52,21,5838,17376,4991,14833
Catawba,91768,82376,1195,598,33386,57187,29455,52323
Caldwell,41615,35850,347,189,11993,29275,9708,25953
Wilkes,34781,30583,387,256,11067,23327,9834,20493
Greene,15547,12905,3386,2554,3028,9133,2631,7720
Rockingham,49456,44083,633,387,15575,33248,13566,30130
Macon,22264,17809,538,327,3212,18514,2611,14871
Out o,132388,108079,,,874,131514,1048,107031
Wake,871023,772113,12077,7894,286640,572306,267276,496943
Warren,11680,10538,167,122,2656,8857,2393,8023
Guilford,354352,316285,5571,3397,117700,231081,108045,204843
Bladen,24282,20320,6678,4773,4738,12866,3975,11572
Cumberland,234141,194255,89736,67127,61739,82666,54027,73101
Chowan,8854,7448,246,94,1842,6766,1686,5668
Pamlico,7399,6623,238,176,1324,5837,1048,5399
Scotland,18849,16388,302,197,5410,13137,4351,11840
Johnston,123498,107087,3709,2223,40675,79114,36490,68374
Clay,5659,5091,252,138,1054,4353,959,3994
Martin,11869,10012,247,178,2710,8912,2249,7585
Cherokee,14148,12520,719,472,2917,10512,2318,9730
Orange,120639,106531,1464,929,26611,92564,25414,80188
Burke,44788,39275,801,492,11893,32094,10215,28568
Surry,38597,34744,404,265,12180,26013,10917,23562
Wayne,66400,58423,6428,5245,21173,38799,18381,34797
Avery,10244,8598,193,95,1662,8389,1433,7070
Pitt,104909,88809,2284,1459,32958,69667,29392,57958
Bertie,11023,9661,135,70,2148,8740,1846,7745
Hertford,12346,10907,97,42,3603,8646,3100,7765
Person,23806,21276,441,302,6283,17082,5265,15709
Caswell,11601,10401,234,139,1789,9578,1441,8821
