First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13587,11267,1017,635,Currituck,2208,10362,1814,8818
12204,10963,189,109,Anson,2957,9058,2591,8263
9394,7621,3946,2690,Swain,1305,4143,1113,3818
34393,29491,1470,973,Pender,10617,22306,8994,19524
7713,6386,117,75,Mitchell,1262,6334,928,5383
23202,19942,453,259,Richmond,5454,17295,4504,15179
37482,31647,1491,975,Haywood,8588,27403,7347,23325
119467,103125,1841,1074,Gaston,42183,75443,37633,64418
67223,59470,10067,8081,Craven,16320,40836,14022,37367
39564,35269,1273,722,Franklin,14185,24106,12670,21877
100391,89291,1978,1348,Iredell,41574,56839,37411,50532
19388,17067,175,122,Yadkin,5447,13766,4920,12025
27127,23403,635,425,Beaufort,5547,20945,4735,18243
63559,53375,7330,4919,Harnett,20496,35733,17597,30859
9346,8486,183,108,Polk,1849,7314,1678,6700
28049,23544,301,160,Dare,5939,21809,5373,18011
249379,208020,3909,2203,Forsyth,75240,170230,68833,136984
132312,110425,61994,49967,Onslow,30616,39702,26082,34376
5607,4902,542,334,Jones,1247,3818,1024,3544
57051,49716,924,639,Nash,19632,36495,17590,31487
25387,20542,4133,2827,Jackson,3721,17533,3198,14517
29471,25222,2163,1547,Duplin,8530,18778,7485,16190
6911,5409,55,26,Alleghany,1395,5461,1120,4263
247151,211426,41966,43314,Missing,94027,111158,87996,80116
126570,112540,3912,2296,Cabarrus,47995,74663,44149,66095
17456,15421,434,207,Alexander,2969,14053,2495,12719
6605,5298,1914,1255,Camden,876,3815,760,3283
25138,21694,558,351,Mcdowell,3376,21204,2706,18637
35215,29419,624,413,Sampson,8934,25657,7703,21303
32620,28457,438,292,Lenoir,10496,21686,9134,19031
29884,26195,713,452,Rutherford,5905,23266,5282,20461
12531,11103,264,183,Montgomery,3026,9241,2487,8433
22632,19364,326,198,Stokes,7788,14518,6868,12298
25585,21899,449,324,Columbus,7219,17917,6142,15433
45435,39821,578,396,Wilson,13826,31031,11572,27853
155374,133466,3165,1953,New hanover,51486,100723,46549,84964
44731,39677,398,243,Lincoln,17190,27143,14731,24703
