First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
12112,10804,183,109,Anson,2905,9024,2522,8173
13490,11135,964,588,Currituck,2187,10339,1768,8779
34258,29238,1450,947,Pender,10513,22295,8809,19482
9419,7582,3908,2616,Swain,1289,4222,1083,3883
7642,6323,117,75,Mitchell,1217,6308,910,5338
23060,19712,448,258,Richmond,5394,17218,4386,15068
118889,102081,1813,1062,Gaston,41832,75244,36889,64130
37323,31454,1488,971,Haywood,8516,27319,7276,23207
66798,58718,9979,7868,Craven,16151,40668,13768,37082
39268,34813,1251,712,Franklin,14024,23993,12362,21739
99729,88236,1971,1337,Iredell,41115,56643,36622,50277
19281,16875,172,121,Yadkin,5390,13719,4799,11955
63131,52567,7186,4737,Harnett,20292,35653,17129,30701
26970,23145,622,416,Beaufort,5478,20870,4600,18129
9322,8439,181,108,Polk,1830,7311,1651,6680
27911,23347,289,148,Dare,5859,21763,5263,17936
247584,205379,3884,2174,Forsyth,74491,169209,67350,135855
131269,108598,61606,49047,Onslow,30161,39502,25406,34145
5536,4821,511,320,Jones,1227,3798,1002,3499
56700,49087,917,636,Nash,19469,36314,17188,31263
25239,20349,4097,2780,Jackson,3640,17502,3110,14459
29255,24857,2080,1469,Duplin,8450,18725,7329,16059
6844,5309,52,26,Alleghany,1380,5412,1099,4184
243816,207223,43267,44738,Missing,97822,102727,88611,73874
126013,111477,3857,2268,Cabarrus,47402,74754,43185,66024
17315,15206,425,201,Alexander,2908,13982,2404,12601
6512,5177,1859,1190,Camden,861,3792,732,3255
25019,21527,554,351,Mcdowell,3363,21102,2657,18519
35018,29090,612,414,Sampson,8832,25574,7519,21157
32404,28126,433,291,Lenoir,10398,21573,8960,18875
29728,25979,709,451,Rutherford,5818,23201,5157,20371
12475,11019,261,183,Montgomery,2986,9228,2432,8404
22537,19172,324,196,Stokes,7731,14482,6753,12223
45028,39142,570,386,Wilson,13634,30824,11176,27580
25561,21717,446,311,Columbus,7160,17955,5987,15419
154682,132381,3117,1923,New hanover,51051,100514,45771,84687
44534,39352,394,243,Lincoln,17052,27088,14497,24612
25358,21791,467,297,Davie,7874,17017,6976,14518
9443,8362,171,83,Northampton,1514,7758,1266,7013
28453,24977,539,328,Halifax,5294,22620,4355,20294
25833,20539,6215,4145,Hoke,6752,12866,5512,10882
60394,51873,1405,894,Robeson,15435,43554,12863,38116
9564,8411,175,132,Yancey,1051,8338,864,7415
35904,31456,667,441,Lee,11799,23438,10416,20599
179462,154157,6649,4158,Buncombe,44582,128231,41129,108870
3415,3079,,,Hyde,176,3239,148,2931
26050,21969,807,472,Edgecombe,7211,18032,6023,15474
19516,14965,354,236,Transylvania,3394,15768,2879,11850
46980,41175,4682,2772,Chatham,13777,28521,12195,26208
237057,206071,7434,4941,Durham,58812,170811,53797,147333
2045,1772,,,Tyrrell,177,1868,135,1637
62182,54776,4939,3039,Moore,16768,40475,14642,37095
65758,57601,865,617,Randolph,22526,42367,19444,37540
66050,58066,3947,3063,Rowan,21921,40182,19099,35904
15406,12357,199,120,Ashe,3343,11864,2870,9367
71374,59420,1598,1023,Henderson,14659,55117,12436,45961
