Second Doses Administered,First Doses Administered,Total Doses Administered,County
11417,18640,30057,Robeson
1603,3510,5113,Perquimans
19850,33918,53768,Johnston
11421,21102,32523,Randolph
989,1648,2637,Hyde
1911,2926,4837,Alleghany
4775,8599,13374,Duplin
1297,2519,3816,Gates
7986,13614,21600,Haywood
5648,10034,15682,Stanly
29208,54077,83285,Missing
8024,14933,22957,Wilson
589,933,1522,Tyrrell
8945,19532,28477,Wayne
3061,5165,8226,Montgomery
7120,11411,18531,Lenoir
4296,6755,11051,Scotland
19365,32936,52301,Alamance
1179,2256,3435,Camden
2598,3981,6579,Greene
13239,19035,32274,Rowan
2482,4963,7445,Northampton
7163,12408,19571,Wilkes
8180,14683,22863,Lincoln
10561,15539,26100,Caldwell
2473,4559,7032,Polk
9160,14900,24060,Surry
4078,10103,14181,Macon
1194,2155,3349,Clay
4363,7341,11704,Yadkin
12579,21101,33680,Onslow
5704,8987,14691,Richmond
28727,54653,83380,Buncombe
20212,37490,57702,Union
18257,31116,49373,Cabarrus
1574,2508,4082,Washington
11143,18395,29538,Harnett
11255,17521,28776,Burke
7730,12534,20264,Granville
20677,36961,57638,Gaston
4827,8491,13318,Edgecombe
6311,14535,20846,Watauga
3549,5812,9361,Hoke
2599,4888,7487,Bertie
4856,7928,12784,Person
6917,12616,19533,Beaufort
18084,29117,47201,Catawba
4011,9388,13399,Jackson
122570,222023,344593,Wake
9426,18880,28306,Cleveland
6880,11867,18747,Sampson
4847,9217,14064,Columbus
2734,4933,7667,Caswell
2247,4189,6436,Yancey
6587,11447,18034,Lee
2210,5171,7381,Hertford
8288,16957,25245,Rockingham
91160,170900,262060,Mecklenburg
9342,17193,26535,Carteret
1596,2771,4367,Swain
2685,4221,6906,Avery
5312,9278,14590,Vance
5672,11788,17460,Halifax
5523,11153,16676,Rutherford
9590,19305,28895,Nash
2765,6466,9231,Ashe
4619,7239,11858,Stokes
1244,1865,3109,Graham
6829,11351,18180,Pender
11915,21518,33433,Craven
52331,105547,157878,Guilford
3039,5228,8267,Madison
13372,19132,32504,Chatham
23362,38273,61635,Pitt
16503,26510,43013,Moore
43466,74719,118185,Forsyth
18099,29589,47688,Iredell
3506,8486,11992,Transylvania
2944,5214,8158,Martin
2113,4543,6656,Warren
1090,2068,3158,Jones
6316,8953,15269,Davie
30221,44851,75072,Cumberland
6152,9764,15916,McDowell
3121,5491,8612,Cherokee
2528,4290,6818,Chowan
26026,40744,66770,Orange
4023,7045,11068,Alexander
45191,74799,119990,Durham
13719,24864,38583,Henderson
7063,10339,17402,Pasquotank
2385,3848,6233,Pamlico
1367,2746,4113,Mitchell
3444,5454,8898,Currituck
24618,39556,64174,Brunswick
15256,25458,40714,Davidson
6890,11245,18135,Franklin
7695,12169,19864,Dare
4132,6714,10846,Bladen
34352,53808,88160,New Hanover
2728,4298,7026,Anson
