First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13480,11123,958,585,Currituck,2187,10335,1765,8773
12105,10781,181,99,Anson,2902,9022,2520,8162
9413,7574,3903,2612,Swain,1288,4222,1082,3880
34239,29213,1444,944,Pender,10511,22284,8803,19466
7640,6321,117,75,Mitchell,1216,6307,910,5336
23030,19687,448,258,Richmond,5389,17193,4375,15054
37295,31427,1487,971,Haywood,8511,27297,7268,23188
118803,102010,1807,1061,Gaston,41806,75190,36843,64106
66753,58650,9966,7858,Craven,16139,40648,13746,37046
39233,34785,1242,711,Franklin,14015,23976,12347,21727
99685,88167,1965,1337,Iredell,41094,56626,36580,50250
19255,16856,171,121,Yadkin,5385,13699,4795,11940
26952,23126,620,415,Beaufort,5475,20857,4595,18116
63072,52484,7163,4723,Harnett,20276,35633,17096,30665
9320,8438,180,108,Polk,1830,7310,1651,6679
27901,23329,288,148,Dare,5856,21757,5250,17931
247438,205196,3877,2172,Forsyth,74428,169133,67292,135732
131125,108458,61530,49000,Onslow,30120,39475,25343,34115
5530,4805,509,320,Jones,1226,3795,1000,3485
56655,49018,915,634,Nash,19456,36284,17155,31229
25222,20334,4092,2777,Jackson,3636,17494,3109,14448
29234,24847,2068,1468,Duplin,8442,18724,7323,16056
6841,5305,51,26,Alleghany,1379,5411,1099,4180
243459,206975,43259,44742,Missing,97799,102401,88607,73626
125917,111371,3847,2268,Cabarrus,47363,74707,43137,65966
6506,5175,1854,1189,Camden,861,3791,731,3255
17314,15190,425,201,Alexander,2909,13980,2403,12586
25004,21512,553,351,Mcdowell,3362,21089,2657,18504
34968,29056,611,414,Sampson,8824,25533,7507,21135
32393,28087,433,291,Lenoir,10397,21563,8941,18855
29725,25973,708,451,Rutherford,5816,23201,5153,20369
12472,11016,259,182,Montgomery,2986,9227,2432,8402
22531,19159,323,194,Stokes,7729,14479,6750,12215
25549,21686,446,311,Columbus,7153,17950,5972,15403
44983,39076,569,386,Wilson,13622,30792,11159,27531
154634,132295,3111,1921,New hanover,51029,100494,45723,84651
44516,39336,394,242,Lincoln,17039,27083,14488,24606
25361,21774,465,297,Davie,7869,17027,6971,14506
9437,8354,170,83,Northampton,1513,7754,1264,7007
28440,24950,539,328,Halifax,5290,22611,4344,20278
60358,51805,1400,894,Robeson,15418,43540,12842,38069
25803,20501,6195,4136,Hoke,6750,12858,5502,10863
9562,8406,175,132,Yancey,1051,8336,864,7410
35879,31389,666,441,Lee,11791,23422,10400,20548
179378,154085,6636,4156,Buncombe,44569,128173,41113,108816
3415,3078,,,Hyde,176,3239,148,2930
26015,21922,803,470,Edgecombe,7203,18009,5998,15454
19509,14954,353,236,Transylvania,3394,15762,2879,11839
46938,41170,4655,2766,Chatham,13773,28510,12199,26205
236881,205879,7418,4940,Durham,58760,170703,53729,147210
2045,1771,,,Tyrrell,177,1868,135,1636
62127,54733,4912,3033,Moore,16751,40464,14616,37084
65722,57553,865,617,Randolph,22514,42343,19424,37512
66004,57985,3947,3063,Rowan,21904,40153,19067,35855
15392,12349,198,120,Ashe,3343,11851,2870,9359
71331,59386,1596,1022,Henderson,14648,55087,12431,45933
27347,23850,442,316,Vance,7541,19364,6444,17090
136902,122453,1270,698,Union,52814,82818,48372,73383
6370,5475,56,38,Washington,1803,4511,1550,3887
86184,73994,1993,1260,Davidson,26052,58139,22534,50200
39545,35220,5087,4493,Granville,10646,23812,9297,21430
33412,25698,207,89,Watauga,4692,28513,3987,21622
51777,45632,661,371,Cleveland,15466,35650,13217,32044
4262,3623,436,310,Graham,888,2938,721,2592
4858,4267,116,66,Gates,554,4188,467,3734
47608,41339,6612,4598,Carteret,13126,27870,11356,25385
104018,92444,1827,1171,Alamance,27365,74826,24227,67046
737708,640064,9009,5019,Mecklenburg,258346,470353,234051,400994
93103,81788,2784,1910,Brunswick,24954,65365,22089,57789
29194,25993,717,529,Stanly,7309,21168,6267,19197
6584,5579,19,12,Perquimans,1149,5416,932,4635
12713,10196,225,136,Madison,1361,11127,1210,8850
22687,18994,48,17,Pasquotank,5564,17075,4629,14348
89114,79599,1060,518,Catawba,32104,55950,27789,51292
33825,29765,320,207,Wilkes,10574,22931,9334,20224
40527,34817,329,184,Caldwell,11450,28748,9131,25502
15058,11961,3342,2226,Greene,2885,8831,2404,7331
48248,42685,559,352,Rockingham,14822,32867,12624,29709
111147,90596,,,Out o,,111147,,90596
21991,17500,515,321,Macon,3100,18376,2490,14689
838414,744006,11131,7044,Wake,275468,551815,253720,483242
11348,10224,151,117,Warren,2560,8637,2267,7840
342097,303197,4971,2836,Guilford,111199,225927,99773,200588
23720,19306,6593,4315,Bladen,4564,12563,3725,11266
228676,183612,91192,64190,Cumberland,57958,79526,49433,69989
8599,7156,178,83,Chowan,1769,6652,1593,5480
7596,6817,203,160,Pamlico,1263,6130,986,5671
18139,15806,262,183,Scotland,5153,12724,4110,11513
119251,102413,3338,1927,Johnston,38593,77320,33784,66702
5538,4961,218,99,Clay,1023,4297,937,3925
11718,9805,215,134,Martin,2555,8948,2065,7606
13907,12260,683,456,Cherokee,2834,10390,2228,9576
115734,102072,1331,896,Orange,25393,89010,23974,77202
43649,38272,736,409,Burke,11409,31504,9651,28212
37936,34105,343,229,Surry,11863,25730,10433,23443
64402,55713,6549,4877,Wayne,19979,37874,16948,33888
9857,8223,165,76,Avery,1593,8099,1361,6786
101306,84733,2084,1259,Pitt,31350,67872,27198,56276
10892,9378,100,59,Bertie,2031,8761,1714,7605
11957,10446,76,33,Hertford,3379,8502,2877,7536
23127,20577,395,292,Person,5986,16746,4888,15397
11368,10118,193,85,Caswell,1723,9452,1357,8676
