County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Currituck,13764,11417,1090,665,2253,10421,1862,8890
Anson,12499,11213,228,146,3117,9154,2737,8330
Swain,9699,7900,4209,2990,1345,4145,1144,3766
Pender,35180,30103,1531,997,10944,22705,9281,19825
Mitchell,7879,6548,124,75,1302,6453,964,5509
Richmond,23984,20727,525,345,5691,17768,4711,15671
Haywood,38310,32349,1613,1021,8744,27953,7511,23817
Gaston,122235,105492,2007,1212,43571,76657,39042,65238
Craven,68910,61091,10013,8080,16849,42048,14549,38462
Franklin,41215,36633,1416,859,14652,25147,13084,22690
Iredell,102434,90999,2151,1482,42991,57292,38776,50741
Yadkin,19826,17465,193,132,5661,13972,5152,12181
Beaufort,27791,24057,715,464,5803,21273,4971,18622
Harnett,64725,54594,7439,5203,21365,35921,18529,30862
Polk,9091,8160,213,121,1881,6997,1705,6334
Dare,28459,23969,384,173,6074,22001,5518,18278
Forsyth,258543,215316,4235,2473,77952,176356,71546,141297
Onslow,133638,111918,60832,49163,31878,40928,27402,35353
Jones,5813,5116,583,406,1305,3925,1071,3639
Nash,58015,50616,1019,684,20448,36548,18372,31560
Jackson,25791,21001,4310,3104,3845,17636,3319,14578
Duplin,30152,25941,2248,1635,8820,19084,7808,16498
Alleghany,7012,5530,69,38,1422,5521,1153,4339
Missing,295425,238132,39846,43838,95769,159810,89951,104343
Cabarrus,129185,114579,4185,2585,49663,75337,45783,66211
Camden,6840,5372,2058,1248,913,3869,788,3336
Alexander,18148,16160,475,283,3066,14607,2591,13286
Mcdowell,25399,21958,625,383,3490,21284,2814,18761
Sampson,35868,30118,675,472,9215,25978,8001,21645
Lenoir,33588,29369,494,309,10989,22105,9592,19468
Rutherford,30429,26723,759,471,6067,23603,5444,20808
Montgomery,12779,11274,297,201,3139,9343,2582,8491
Stokes,23218,19935,357,213,7988,14873,7068,12654
Wilson,46897,41242,654,418,14459,31784,12228,28596
Columbus,25874,22242,479,359,7465,17930,6431,15452
Lincoln,44820,39755,416,249,17679,26725,15285,24221
New hanover,158983,136738,3388,2151,52937,102658,47997,86590
Davie,26138,22677,527,329,8138,17473,7318,15030
Northampton,9347,8306,194,98,1567,7586,1337,6871
Halifax,29050,25698,592,387,5538,22920,4629,20682
Robeson,62627,54422,1543,1046,16395,44689,14004,39372
Hoke,27072,22069,6391,4516,7208,13473,6030,11523
Yancey,9782,8647,180,134,1114,8488,924,7589
Lee,37807,33240,725,466,12444,24638,11178,21596
Buncombe,185454,158751,7329,4391,45587,132538,42370,111990
Hyde,3495,3179,12,,179,3304,154,3025
Edgecombe,26947,22856,929,571,7702,18316,6542,15743
Transylvania,19953,15538,393,258,3506,16054,2999,12281
Chatham,49420,43610,4966,3235,14123,30331,12678,27697
Durham,250286,217592,8118,5485,61603,180565,57308,154799
Tyrrell,2082,1821,,,183,1899,143,1678
Moore,64285,56864,5030,3311,17391,41864,15353,38200
Randolph,67813,59830,959,660,23601,43253,20861,38309
Rowan,67584,59308,4241,3290,23115,40228,20503,35515
Ashe,16470,13180,236,141,3476,12758,2940,10099
Henderson,73455,61483,1762,1055,15132,56561,12961,47467
Vance,28735,25192,497,345,7887,20351,6831,18016
Union,138740,124677,1431,787,55425,81884,51525,72365
Washington,6584,5706,67,42,1855,4662,1612,4052
Davidson,89277,77172,2237,1394,27130,59910,23951,51827
Granville,40965,36446,5595,4827,10994,24376,9807,21812
Watauga,33088,25802,223,116,4821,28044,4143,21543
Cleveland,52530,46544,727,407,16046,35757,13913,32224
Graham,4301,3677,457,339,909,2935,746,2592
Gates,4996,4422,149,70,590,4257,501,3851
Carteret,48964,42819,7116,5076,13590,28258,11958,25785
Alamance,108192,96599,2072,1355,28871,77249,26102,69142
Mecklenburg,752350,655867,9815,5765,270941,471594,249280,400822
Brunswick,95294,84032,3032,2023,25992,66270,23294,58715
Stanly,29771,26723,760,593,7664,21347,6718,19412
Perquimans,6729,5747,20,12,1209,5500,991,4744
Madison,12887,10406,247,138,1408,11232,1267,9001
Pasquotank,23279,19853,52,21,5844,17383,5000,14832
Wilkes,34854,30621,387,256,11086,23381,9847,20518
Catawba,91921,82492,1195,598,33438,57288,29509,52385
Caldwell,41703,35936,350,189,12026,29327,9731,26016
Greene,15601,12974,3403,2578,3034,9164,2642,7754
Rockingham,49474,44104,633,387,15621,33220,13609,30108
Macon,22278,17839,539,327,3220,18519,2615,14897
Out o,139913,114779,,,947,138966,1126,113653
Wake,873252,773698,12072,7902,287155,574025,267804,497992
Warren,11687,10550,167,122,2661,8859,2398,8030
Guilford,354946,316781,5576,3402,117998,231372,108375,205004
Bladen,24301,20348,6691,4786,4744,12866,3984,11578
Cumberland,234690,194760,89864,67261,61901,82925,54178,73321
Chowan,8858,7450,246,94,1847,6765,1689,5667
Pamlico,7391,6613,239,177,1330,5822,1051,5385
Scotland,18919,16455,304,197,5432,13183,4365,11893
Johnston,123933,107475,3719,2236,40780,79434,36603,68636
Clay,5665,5097,252,138,1053,4360,959,4000
Martin,11851,9997,247,178,2719,8885,2253,7566
Cherokee,14143,12520,719,472,2918,10506,2319,9729
Orange,121143,107090,1465,930,26689,92989,25475,80685
Burke,44805,39312,801,492,11894,32110,10221,28599
Surry,38669,34802,404,266,12190,26075,10925,23611
Wayne,66479,58517,6438,5252,21230,38811,18451,34814
Avery,10275,8633,193,95,1667,8415,1434,7104
Pitt,105127,89047,2289,1462,33051,69787,29478,58107
Bertie,11014,9654,135,70,2148,8731,1845,7739
Hertford,12354,10927,97,42,3604,8653,3101,7784
Person,23855,21325,441,302,6303,17111,5285,15738
Caswell,11630,10432,234,139,1790,9606,1441,8852
