First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13710,11367,1059,639,Currituck,2237,10414,1842,8886
12437,11157,221,119,Anson,3067,9149,2693,8345
9580,7824,4076,2880,Swain,1330,4174,1136,3808
34870,29819,1512,974,Pender,10866,22492,9196,19649
7828,6496,124,75,Mitchell,1285,6419,954,5467
23686,20375,507,294,Richmond,5623,17556,4642,15439
37942,32042,1582,1001,Haywood,8690,27670,7460,23581
121461,105087,1971,1119,Gaston,43190,76300,38717,65251
68349,60348,10048,7895,Craven,16704,41597,14405,38048
40444,35995,1389,769,Franklin,14486,24569,12957,22269
101967,90641,2098,1396,Iredell,42530,57339,38390,50855
19689,17331,186,126,Yadkin,5586,13917,5078,12127
27563,23837,703,440,Beaufort,5732,21128,4909,18488
64121,54094,7297,4954,Harnett,21097,35727,18269,30871
9179,8284,208,118,Polk,1876,7095,1700,6466
28331,23787,368,161,Dare,6039,21924,5478,18148
255684,212746,4182,2322,Forsyth,77134,174368,70802,139622
133006,110327,60989,48249,Onslow,31478,40539,27049,35029
5744,5038,567,366,Jones,1287,3890,1060,3612
57847,50488,994,658,Nash,20224,36629,18184,31646
25655,20873,4232,3020,Jackson,3820,17603,3288,14565
29904,25707,2235,1600,Duplin,8737,18932,7732,16375
6981,5485,67,26,Alleghany,1416,5498,1147,4312
285872,228826,39795,43483,Missing,95712,150365,89696,95647
129526,115268,4141,2408,Cabarrus,49187,76198,45389,67471
6789,5320,2033,1213,Camden,900,3856,778,3329
17840,15821,465,231,Alexander,3050,14325,2570,13020
25439,22001,613,365,Mcdowell,3457,21369,2785,18851
35909,30149,654,437,Sampson,9145,26110,7949,21763
33224,29051,480,304,Lenoir,10828,21916,9439,19308
30344,26627,750,454,Rutherford,6027,23567,5404,20769
12737,11263,290,197,Montgomery,3123,9324,2560,8506
22954,19682,348,204,Stokes,7915,14691,7008,12470
25724,22099,470,339,Columbus,7377,17877,6354,15406
46366,40786,641,412,Wilson,14290,31435,12070,28304
45270,40250,414,249,Lincoln,17517,27339,15110,24891
157544,135251,3366,2053,New hanover,52451,101727,47545,85653
25935,22402,518,317,Davie,8071,17346,7238,14847
9391,8361,191,97,Northampton,1558,7642,1326,6938
28936,25590,577,354,Halifax,5489,22870,4585,20651
62108,53921,1518,967,Robeson,16180,44410,13799,39155
26684,21572,6325,4305,Hoke,7129,13230,5957,11310
9720,8589,179,134,Yancey,1105,8436,916,7539
36980,32622,712,461,Lee,12293,23975,11039,21122
183015,156637,7287,4248,Buncombe,45409,130319,42185,110204
3490,3171,11,,Hyde,180,3299,153,3018
26868,22807,907,532,Edgecombe,7555,18406,6428,15847
19838,15367,385,248,Transylvania,3487,15966,2980,12139
47664,41844,4945,2997,Chatham,13984,28735,12566,26281
245545,212984,8064,5170,Durham,60968,176513,56632,151182
2076,1812,,,Tyrrell,183,1893,143,1669
63192,55891,5002,3180,Moore,17229,40961,15229,37482
67269,59446,939,638,Randolph,23390,42940,20661,38147
67211,59192,4205,3160,Rowan,22817,40189,20230,35802
16099,12844,227,131,Ashe,3466,12406,2937,9776
72810,60893,1744,1035,Henderson,15068,55998,12886,46972
28304,24898,482,338,Vance,7816,20006,6768,17792
139038,125154,1395,750,Union,54753,82890,50936,73468
6548,5673,64,40,Washington,1852,4632,1600,4033
88187,76193,2175,1337,Davidson,26866,59146,23685,51171
40505,36136,5410,4680,Granville,10932,24163,9726,21730
33365,25921,223,98,Watauga,4817,28325,4135,21688
52928,46913,711,388,Cleveland,15957,36260,13805,32720
4294,3678,451,335,Graham,907,2936,743,2600
4973,4398,146,67,Gates,582,4245,493,3838
48663,42456,7070,4923,Carteret,13517,28076,11901,25632
106777,95509,2013,1257,Alamance,28549,76215,25794,68458
755017,659422,9731,5391,Mecklenburg,268150,477136,246745,407286
94687,83396,2978,1994,Brunswick,25748,65961,23045,58357
29999,26928,753,543,Stanly,7574,21672,6628,19757
6665,5695,20,12,Perquimans,1195,5450,980,4703
12858,10367,233,138,Madison,1398,11227,1255,8974
23158,19774,52,21,Pasquotank,5792,17314,4945,14808
91191,81882,1168,545,Catawba,33181,56842,29250,52087
41403,35683,341,187,Caldwell,11893,29169,9623,25873
34488,30384,373,228,Wilkes,10954,23161,9757,20399
15462,12712,3391,2466,Greene,3011,9060,2610,7636
49216,43919,611,378,Rockingham,15441,33164,13438,30103
22175,17739,531,326,Macon,3188,18456,2590,14823
120753,99067,,,Out o,791,119962,963,98104
861463,765386,11938,7501,Wake,284623,564902,265394,492491
11601,10490,163,121,Warren,2661,8777,2381,7988
351463,313907,5483,3042,Guilford,116470,229510,106993,203872
24162,19947,6660,4485,Bladen,4706,12796,3936,11526
233035,190765,90219,64927,Cumberland,61113,81703,53455,72383
8807,7401,240,93,Chowan,1826,6741,1674,5634
7421,6646,233,171,Pamlico,1308,5880,1028,5447
18692,16237,292,190,Scotland,5365,13035,4317,11730
122376,106065,3640,2083,Johnston,40269,78467,36059,67923
5641,5052,249,112,Clay,1051,4341,952,3988
11816,9969,242,156,Martin,2686,8888,2223,7590
14111,12475,709,467,Cherokee,2910,10492,2306,9702
119026,104784,1451,920,Orange,26413,91162,25164,78700
44683,39130,802,431,Burke,11818,32063,10139,28560
38297,34518,392,243,Surry,12126,25779,10853,23422
66195,57879,6673,5043,Wayne,20948,38574,18169,34667
10107,8479,187,92,Avery,1655,8265,1425,6962
103795,87887,2239,1352,Pitt,32657,68899,29098,57437
10999,9651,127,63,Bertie,2131,8741,1830,7758
12268,10838,91,41,Hertford,3571,8606,3065,7732
23641,21158,436,300,Person,6233,16972,5224,15634
11554,10331,230,109,Caswell,1782,9542,1431,8791
