First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13521,11150,977,589,Currituck,2189,10355,1776,8785
12130,10840,185,109,Anson,2907,9038,2522,8209
9448,7628,3932,2648,Swain,1290,4226,1088,3892
34284,29280,1454,951,Pender,10521,22309,8826,19503
7650,6345,117,75,Mitchell,1217,6316,910,5360
23099,19765,449,259,Richmond,5408,17242,4401,15105
37372,31514,1490,971,Haywood,8527,27355,7285,23258
119050,102272,1819,1065,Gaston,41888,75343,36974,64233
66902,58891,10002,7881,Craven,16172,40728,13793,37217
39322,34888,1257,713,Franklin,14037,24028,12389,21786
99833,88396,1976,1340,Iredell,41159,56698,36695,50361
19312,16930,173,122,Yadkin,5396,13743,4812,11996
27011,23210,623,416,Beaufort,5483,20905,4610,18184
63266,52722,7251,4770,Harnett,20320,35695,17176,30776
9333,8454,182,108,Polk,1830,7321,1651,6695
27934,23389,291,149,Dare,5863,21780,5270,17970
248214,206149,3904,2183,Forsyth,74568,169742,67516,136450
131576,108886,61748,49148,Onslow,30235,39593,25483,34255
5549,4848,515,321,Jones,1229,3805,1003,3524
56781,49212,922,636,Nash,19501,36358,17252,31324
25278,20396,4116,2794,Jackson,3646,17516,3119,14483
29311,24980,2092,1475,Duplin,8455,18764,7349,16156
6874,5322,54,26,Alleghany,1384,5436,1102,4194
245616,208943,43274,44763,Missing,97903,104439,88715,75465
126202,111773,3878,2272,Cabarrus,47453,74871,43272,66229
6547,5196,1883,1195,Camden,862,3802,733,3268
17347,15233,427,201,Alexander,2912,14008,2406,12626
25056,21564,556,351,Mcdowell,3362,21138,2658,18555
35087,29200,613,415,Sampson,8845,25629,7543,21242
32470,28210,435,292,Lenoir,10420,21615,8994,18924
29755,26020,711,451,Rutherford,5822,23222,5166,20403
12492,11038,261,183,Montgomery,2988,9243,2432,8423
22552,19216,324,197,Stokes,7730,14498,6758,12261
25613,21782,447,311,Columbus,7180,17986,6016,15455
45194,39328,575,386,Wilson,13656,30963,11215,27727
44572,39412,397,243,Lincoln,17066,27109,14515,24654
154854,132583,3141,1928,New hanover,51107,100606,45842,84813
25418,21865,469,299,Davie,7892,17057,6994,14572
