Second Doses Administered,First Doses Administered,Total Doses Administered,County
10619,17071,27690,Robeson
1486,3327,4813,Perquimans
17044,31493,48537,Johnston
10628,18282,28910,Randolph
920,1557,2477,Hyde
1844,2649,4493,Alleghany
4358,7902,12260,Duplin
1216,2383,3599,Gates
7808,12763,20571,Haywood
5127,9312,14439,Stanly
27054,47381,74435,Missing
7386,13325,20711,Wilson
548,902,1450,Tyrrell
8078,17493,25571,Wayne
2476,4723,7199,Montgomery
6723,10454,17177,Lenoir
3553,6098,9651,Scotland
17419,29405,46824,Alamance
1125,2186,3311,Camden
2545,3434,5979,Greene
12080,17257,29337,Rowan
2231,4477,6708,Northampton
6113,11036,17149,Wilkes
7572,13104,20676,Lincoln
10041,14333,24374,Caldwell
2370,3877,6247,Polk
8940,12903,21843,Surry
3197,9301,12498,Macon
1081,2015,3096,Clay
3954,6632,10586,Yadkin
10921,19234,30155,Onslow
5094,8555,13649,Richmond
25664,45977,71641,Buncombe
19065,33688,52753,Union
16436,26987,43423,Cabarrus
1460,2394,3854,Washington
10232,17118,27350,Harnett
10318,15991,26309,Burke
6830,11433,18263,Granville
19796,32479,52275,Gaston
4093,7580,11673,Edgecombe
6064,12215,18279,Watauga
3274,5365,8639,Hoke
2409,4617,7026,Bertie
4499,7133,11632,Person
6216,11522,17738,Beaufort
16463,27063,43526,Catawba
3015,8222,11237,Jackson
109336,195652,304988,Wake
8848,17848,26696,Cleveland
6402,10590,16992,Sampson
4337,8118,12455,Columbus
2598,4685,7283,Caswell
2095,3756,5851,Yancey
6275,11004,17279,Lee
2135,4741,6876,Hertford
6901,15051,21952,Rockingham
84887,144026,228913,Mecklenburg
8586,15077,23663,Carteret
1449,2593,4042,Swain
2570,3648,6218,Avery
4978,8430,13408,Vance
5044,10195,15239,Halifax
5047,10079,15126,Rutherford
8516,16738,25254,Nash
2607,5819,8426,Ashe
4400,6482,10882,Stokes
1115,1798,2913,Graham
6320,9976,16296,Pender
11182,19819,31001,Craven
48971,84431,133402,Guilford
2654,4368,7022,Madison
12179,17924,30103,Chatham
22792,33301,56093,Pitt
14993,25558,40551,Moore
40716,63677,104393,Forsyth
16118,26493,42611,Iredell
3074,7327,10401,Transylvania
2758,4846,7604,Martin
1947,4105,6052,Warren
1000,1957,2957,Jones
6129,8415,14544,Davie
28098,42857,70955,Cumberland
5065,8576,13641,Mcdowell
2855,5073,7928,Cherokee
2364,3926,6290,Chowan
23197,36511,59708,Orange
3497,6213,9710,Alexander
41705,65909,107614,Durham
12311,21744,34055,Henderson
6636,9872,16508,Pasquotank
2138,3604,5742,Pamlico
1319,2383,3702,Mitchell
3397,5117,8514,Currituck
22429,35977,58406,Brunswick
14345,22416,36761,Davidson
6496,10417,16913,Franklin
7383,10205,17588,Dare
3913,6132,10045,Bladen
31812,46131,77943,New Hanover
2479,4071,6550,Anson
