First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,County,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
13706,11365,1058,637,Currituck,2233,10415,1842,8886
12427,11160,221,119,Anson,3059,9147,2691,8350
34823,29790,1509,972,Pender,10846,22468,9189,19629
9521,7807,4068,2871,Swain,1329,4124,1135,3801
7814,6491,123,75,Mitchell,1279,6412,954,5462
23649,20359,504,292,Richmond,5605,17540,4640,15427
37908,32024,1578,997,Haywood,8675,27655,7453,23574
121367,104994,1966,1115,Gaston,43153,76248,38691,65188
68282,60301,10038,7884,Craven,16685,41559,14392,38025
40392,35962,1385,768,Franklin,14463,24544,12951,22243
101898,90600,2093,1393,Iredell,42478,57327,38359,50848
19674,17320,186,125,Yadkin,5579,13909,5071,12124
27533,23820,700,439,Beaufort,5716,21117,4905,18476
64068,54074,7284,4945,Harnett,21075,35709,18252,30877
9183,8294,207,118,Polk,1876,7100,1700,6476
28315,23774,368,159,Dare,6033,21914,5475,18140
255334,212507,4169,2315,Forsyth,77045,174120,70743,139449
132857,110227,60934,48204,Onslow,31431,40492,27020,35003
5738,5033,566,366,Jones,1284,3888,1057,3610
57782,50479,990,657,Nash,20181,36611,18170,31652
25602,20851,4227,3008,Jackson,3802,17573,3286,14557
29870,25684,2232,1596,Duplin,8725,18913,7728,16360
6981,5480,67,26,Alleghany,1415,5499,1146,4308
284700,228348,39747,43430,Missing,95472,149481,89624,95294
129330,115145,4130,2404,Cabarrus,49128,76072,45350,67391
6787,5317,2031,1211,Camden,899,3857,778,3328
17811,15803,465,230,Alexander,3043,14303,2569,13004
25420,21994,610,365,Mcdowell,3449,21361,2783,18846
35874,30122,651,436,Sampson,9131,26092,7946,21740
33175,29033,476,303,Lenoir,10798,21901,9433,19297
30334,26612,748,454,Rutherford,6023,23563,5402,20756
12718,11258,290,197,Montgomery,3111,9317,2560,8501
22945,19674,348,204,Stokes,7907,14690,7004,12466
46315,40751,636,410,Wilson,14271,31408,12051,28290
25702,22088,469,339,Columbus,7365,17868,6349,15400
45231,40214,414,249,Lincoln,17503,27314,15104,24861
157442,135158,3354,2050,New hanover,52395,101693,47521,85587
25910,22388,516,316,Davie,8063,17331,7237,14835
9390,8365,191,97,Northampton,1554,7645,1325,6943
28920,25586,575,352,Halifax,5474,22871,4581,20653
62024,53870,1514,966,Robeson,16161,44349,13787,39117
26657,21553,6310,4291,Hoke,7121,13226,5954,11308
9710,8588,179,134,Yancey,1105,8426,915,7539
36931,32596,712,460,Lee,12280,23939,11027,21109
182817,156491,7281,4245,Buncombe,45383,130153,42151,110095
3491,3172,11,,Hyde,180,3300,153,3019
26844,22813,904,529,Edgecombe,7532,18408,6417,15867
19827,15346,386,238,Transylvania,3479,15962,2977,12131
47581,41763,4936,2982,Chatham,13971,28674,12553,26228
245007,212278,8046,5165,Durham,60886,176075,56553,150560
2076,1811,,,Tyrrell,183,1893,143,1668
63117,55834,4990,3174,Moore,17207,40920,15221,37439
67222,59428,938,637,Randolph,23365,42919,20648,38143
67170,59177,4192,3158,Rowan,22795,40183,20210,35809
16073,12828,227,130,Ashe,3454,12392,2937,9761
72744,60840,1741,1035,Henderson,15045,55958,12878,46927
28273,24882,480,336,Vance,7804,19989,6762,17784
138949,125154,1391,749,Union,54675,82883,50902,73503
6539,5664,64,40,Washington,1848,4627,1596,4028
88109,76161,2158,1336,Davidson,26847,59104,23667,51158
40444,36116,5405,4680,Granville,10916,24123,9718,21718
33376,25920,223,98,Watauga,4812,28341,4134,21688
52890,46895,708,387,Cleveland,15939,36243,13799,32709
4969,4397,145,67,Gates,579,4245,493,3837
4294,3678,451,335,Graham,907,2936,742,2601
48638,42430,7063,4914,Carteret,13498,28077,11885,25631
