Second Doses Administered,First Doses Administered,Total Doses Administered,County
22083,26133,48216,Robeson
3541,4153,7694,Perquimans
44151,56729,100880,Johnston
27948,32462,60410,Randolph
2074,2396,4470,Hyde
3273,3892,7165,Alleghany
10379,12774,23153,Duplin
2591,3167,5758,Gates
15959,20841,36800,Haywood
12532,15742,28274,Stanly
65216,89564,154780,Missing
17918,22088,40006,Wilson
1096,1258,2354,Tyrrell
23679,28526,52205,Wayne
6322,7466,13788,Montgomery
13439,15838,29277,Lenoir
8776,10154,18930,Scotland
47371,57061,104432,Alamance
2357,2886,5243,Camden
5195,6283,11478,Greene
24954,30136,55090,Rowan
5676,6531,12207,Northampton
14952,17006,31958,Wilkes
17875,22568,40443,Lincoln
19069,22962,42031,Caldwell
5859,6569,12428,Polk
19118,21023,40141,Surry
11146,14271,25417,Macon
2565,2972,5537,Clay
9393,10746,20139,Yadkin
26152,29957,56109,Onslow
10908,12465,23373,Richmond
73783,94078,167861,Buncombe
48676,64010,112686,Union
40651,55229,95880,Cabarrus
2685,3221,5906,Washington
23007,27853,50860,Harnett
22271,25481,47752,Burke
15690,19180,34870,Granville
45553,57091,102644,Gaston
10367,13411,23778,Edgecombe
14504,21589,36093,Watauga
6772,8455,15227,Hoke
5541,6787,12328,Bertie
10581,12846,23427,Person
14069,16735,30804,Beaufort
37336,45399,82735,Catawba
11126,14125,25251,Jackson
323617,425847,749464,Wake
23010,26217,49227,Cleveland
13756,17128,30884,Sampson
11997,13974,25971,Columbus
6310,7335,13645,Caswell
5028,5858,10886,Yancey
15290,18147,33437,Lee
5538,6767,12305,Hertford
22191,26306,48497,Rockingham
236967,339239,576206,Mecklenburg
21619,24238,45857,Carteret
3207,3615,6822,Swain
5140,6298,11438,Avery
11167,13466,24633,Vance
14218,16684,30902,Halifax
13821,16346,30167,Rutherford
22379,29051,51430,Nash
6913,8878,15791,Ashe
8854,11182,20036,Stokes
1989,2243,4232,Graham
14629,17996,32625,Pender
27771,31308,59079,Craven
149115,182954,332069,Guilford
6181,8232,14413,Madison
22298,26464,48762,Chatham
44305,55516,99821,Pitt
32056,35992,68048,Moore
95027,126862,221889,Forsyth
36744,45881,82625,Iredell
9091,12248,21339,Transylvania
5817,7116,12933,Martin
5489,6894,12383,Warren
2498,2859,5357,Jones
10321,13380,23701,Davie
53716,62144,115860,Cumberland
12446,14741,27187,McDowell
6838,7954,14792,Cherokee
4068,5169,9237,Chowan
55622,70054,125676,Orange
9209,10841,20050,Alexander
101212,130092,231304,Durham
31261,39159,70420,Henderson
10351,12596,22947,Pasquotank
4669,5238,9907,Pamlico
3392,4386,7778,Mitchell
6250,7956,14206,Currituck
48799,57129,105928,Brunswick
34185,41136,75321,Davidson
15543,18728,34271,Franklin
14697,18326,33023,Dare
7849,8981,16830,Bladen
67157,82601,149758,New Hanover
5521,6712,12233,Anson
