Second Doses Administered,First Doses Administered,Total Doses Administered,County
14538,22552,37090,Robeson
3056,3929,6985,Perquimans
26301,44053,70354,Johnston
16715,27231,43946,Randolph
1279,1948,3227,Hyde
2219,3420,5639,Alleghany
6540,10841,17381,Duplin
1711,2918,4629,Gates
10301,16272,26573,Haywood
8336,12609,20945,Stanly
40914,66461,107375,Missing
11601,18695,30296,Wilson
650,1165,1815,Tyrrell
14798,24151,38949,Wayne
4091,6330,10421,Montgomery
9352,13911,23263,Lenoir
5341,8784,14125,Scotland
27032,45916,72948,Alamance
1546,2644,4190,Camden
3062,5426,8488,Greene
16627,22841,39468,Rowan
3589,5897,9486,Northampton
10281,14921,25202,Wilkes
12267,17508,29775,Lincoln
13148,19890,33038,Caldwell
3402,5699,9101,Polk
12158,18628,30786,Surry
7132,12655,19787,Macon
1698,2599,4297,Clay
5474,9353,14827,Yadkin
16389,25240,41629,Onslow
7534,11002,18536,Richmond
40651,73821,114472,Buncombe
32154,44346,76500,Union
24723,38575,63298,Cabarrus
1966,2960,4926,Washington
14941,23047,37988,Harnett
15005,22433,37438,Burke
9901,15090,24991,Granville
30231,44730,74961,Gaston
6376,11520,17896,Edgecombe
9167,17363,26530,Watauga
4616,7148,11764,Hoke
3832,6173,10005,Bertie
6115,10716,16831,Person
9819,15390,25209,Beaufort
24998,36344,61342,Catawba
7111,11519,18630,Jackson
171436,309094,480530,Wake
16606,22505,39111,Cleveland
9139,14666,23805,Sampson
6858,12397,19255,Columbus
3905,6181,10086,Caswell
2775,5143,7918,Yancey
9557,15628,25185,Lee
3263,6142,9405,Hertford
12661,21695,34356,Rockingham
131974,217507,349481,Mecklenburg
14163,21595,35758,Carteret
2338,3194,5532,Swain
3127,5410,8537,Avery
6979,11243,18222,Vance
8106,14687,22793,Halifax
8202,14199,22401,Rutherford
13311,24692,38003,Nash
4353,7682,12035,Ashe
5668,9189,14857,Stokes
1637,2056,3693,Graham
8629,14613,23242,Pender
18027,27811,45838,Craven
76776,147944,224720,Guilford
3813,6620,10433,Madison
15147,22626,37773,Chatham
30633,48817,79450,Pitt
22930,31515,54445,Moore
57051,101230,158281,Forsyth
24623,37191,61814,Iredell
5400,10527,15927,Transylvania
3748,6276,10024,Martin
3413,5492,8905,Warren
1730,2535,4265,Jones
7417,11030,18447,Davie
39222,53671,92893,Cumberland
7292,12099,19391,McDowell
4427,6852,11279,Cherokee
3205,4995,8200,Chowan
32431,54930,87361,Orange
5367,9462,14829,Alexander
60076,100204,160280,Durham
18302,31748,50050,Henderson
8551,11556,20107,Pasquotank
3169,4801,7970,Pamlico
1927,3727,5654,Mitchell
3982,7014,10996,Currituck
32223,49306,81529,Brunswick
21133,32761,53894,Davidson
9843,14267,24110,Franklin
8666,15111,23777,Dare
5591,7985,13576,Bladen
43315,65795,109110,New Hanover
3646,5545,9191,Anson
