Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37133,50457,47698,646,41540,15265,122048,Robeson,360,883,12628,1886,41522,13019,11467,130625,646,56391,50428,2020,893,13958,20565,13957,13488,39437,52948,98425,15923,663,109195,12649,37144,35585,883,12650,56362,415
4844,5817,5653,0,5277,2803,12861,Perquimans,0,0,1014,204,5274,2599,911,13463,0,6353,5804,217,15,1061,3671,1061,2775,5131,6145,10957,2992,11,11854,960,4846,4742,0,960,6335,0
69065,102512,95503,1109,74264,24374,196283,Johnston,502,1368,30897,3527,74228,20345,28673,209339,1109,110852,102471,3658,1380,35208,28558,35207,20948,69461,101726,156585,25156,1120,175612,32297,69094,65721,1368,32298,110803,550
38997,58670,55955,550,41244,19537,135556,Randolph,425,744,18821,3682,41208,15430,17730,143667,550,62428,58634,3624,744,20440,26060,20439,15747,39500,59065,111702,19865,565,123257,19087,39017,37675,744,19088,62391,494
2927,3076,2952,,3099,1017,4753,Hyde,,,156,44,3096,973,141,4937,,3264,3076,52,,165,1114,165,987,2946,3102,4098,1039,,4410,149,2927,2811,,149,3261,
4855,6073,5902,0,5193,2539,10626,Alleghany,0,0,1225,315,5184,2224,1149,11137,0,6501,6040,332,34,1274,3116,1274,2311,5068,6293,9249,2643,26,9915,1185,4862,4753,0,1185,6458,0
16106,23513,22274,216,17766,7458,55126,Duplin,161,267,6919,1432,17751,5865,6494,58741,216,25750,23492,1419,284,7700,11405,7700,6040,16944,24130,44760,7640,228,49644,7170,16115,15564,267,7170,25718,181
3808,4284,4163,,4077,1716,11027,Gates,,0,468,120,4072,1596,437,11562,,4598,4283,119,12,509,2418,509,1700,3968,4436,9230,1819,,10120,475,3809,3726,0,475,4581,0
25452,33825,32520,867,26499,13529,59266,Haywood,508,1287,7683,1773,26491,11248,7032,62317,867,35943,33771,1906,1319,8125,15572,8125,11356,25277,34247,50968,13869,914,54941,7452,25459,24621,1287,7452,35903,607
19209,25761,24742,358,20422,9349,59178,Stanly,284,465,6331,1239,20417,7826,5869,62806,358,27574,25727,1271,477,6675,12123,6675,8116,19551,26347,49282,9715,390,54008,6160,19211,18515,465,6160,27557,328
50909,175558,164827,37910,61340,32370,,Missing,9096,24549,80760,7613,61274,15661,78954,,37933,175713,174472,6985,25750,88623,,88609,18961,56313,161572,,33425,38813,,85630,51113,47963,24499,85632,174432,7479
27913,39364,37367,330,29491,12506,76972,Wilson,221,495,10878,1702,29482,10583,9990,81801,330,42176,39327,1731,499,12186,15337,12183,10845,28291,39664,63224,12837,354,69710,11084,27924,27047,495,11086,42160,261
1721,1861,1772,,1806,655,3827,Tyrrell,,,159,36,1804,619,135,4016,,1972,1860,36,,166,810,166,632,1714,1873,3288,668,,3533,139,1722,1637,,139,1970,
34257,58724,56056,7905,36817,15927,115046,Wayne,1062,10464,15912,2895,36783,11970,14788,123131,8063,65168,58673,3004,10483,17868,20802,17868,12331,35604,61719,94031,16898,8093,103693,16353,34278,33363,10203,16353,65115,1563
8535,11237,10877,122,9033,4321,25757,Montgomery,94,150,2592,467,9032,3760,2412,27173,122,11983,11215,496,184,2766,5743,2766,3848,8797,11539,21266,4449,144,23512,2558,8535,8343,150,2558,11948,105
19507,28454,27222,273,20799,10010,52801,Lenoir,194,405,8438,1570,20795,8246,7790,55949,273,30622,28423,1619,420,9403,11303,9403,8436,20335,29178,43423,10288,301,47933,8643,19510,19159,405,8643,30603,233
11642,16048,15395,158,12372,5708,32530,Scotland,99,203,4166,790,12369,4819,3787,34823,158,17270,16012,866,239,4659,6531,4659,4943,12123,16492,26793,5932,194,29381,4212,11642,11450,203,4212,17231,123
68784,92767,87525,1035,72410,25849,159560,Alamance,654,1386,22884,3965,72388,21230,21270,169509,1035,98755,92742,4293,1412,24933,29035,24932,21785,67747,92017,132145,26807,1043,145046,22923,68801,65220,1386,22923,98706,729
3308,5121,4928,1063,3667,1353,10327,Camden,0,840,745,107,3658,1246,705,10867,1063,5327,5107,120,875,785,1833,785,1352,3467,5052,8407,1472,1075,9354,736,3310,3160,840,736,5283,0
7963,10433,10024,66,8398,2881,20022,Greene,53,84,2273,350,8395,2478,2102,21069,66,11100,10418,366,101,2601,3592,2601,2523,8244,10601,16884,2949,80,18372,2389,7964,7856,84,2389,11080,60
37230,58384,55768,2866,39340,19149,133830,Rowan,1479,3402,18782,3181,39323,14489,17246,142088,2866,62839,58334,3317,3451,20048,25371,20048,14863,37422,59606,110729,19803,2905,122048,18238,37240,35656,3402,18239,62773,1623
7225,8566,8285,70,7770,3888,18570,Northampton,57,107,1237,289,7767,3542,1148,19483,70,9258,8550,316,123,1365,5256,1365,3637,7534,8878,16132,4020,83,17363,1255,7228,7067,107,1255,9239,67
20883,30314,29078,184,22784,10743,64946,Wilkes,160,233,9345,1884,22772,8699,8729,68412,184,32908,30284,2006,259,9865,15162,9865,8942,21733,31311,54628,11128,206,59783,9217,20891,20165,233,9217,32870,180
25345,40051,38250,239,26455,12947,81663,Lincoln,199,363,14149,2088,26448,10660,13120,86111,239,42666,40017,2127,382,15829,15456,15829,10857,25787,40299,67981,13218,269,74647,14433,25349,24891,363,14433,42640,234
