Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37175,50524,47761,646,41587,15287,122048,Robeson,360,884,12650,1891,41569,13036,11491,130625,646,56465,50495,2025,894,13984,20565,13983,13504,39475,53009,98425,15944,663,109195,12674,37186,35624,884,12675,56436,415
4847,5820,5656,0,5284,2805,12861,Perquimans,0,0,1016,204,5281,2601,911,13463,0,6362,5807,217,15,1063,3671,1063,2777,5133,6149,10957,2994,11,11854,960,4849,4745,0,960,6344,0
69138,102641,95633,1109,74441,24387,196283,Johnston,502,1371,30935,3531,74405,20354,28735,209339,1109,111104,102600,3659,1383,35280,28558,35279,20962,69503,101809,156585,25171,1120,175612,32353,69167,65789,1371,32354,111055,550
38989,58681,55968,550,41254,19526,135556,Randolph,425,744,18853,3687,41218,15414,17750,143667,550,62475,58645,3627,744,20477,26060,20476,15728,39488,59085,111702,19849,565,123257,19106,39009,37668,744,19107,62438,494
2929,3078,2954,,3123,1017,4753,Hyde,,,156,44,3120,973,141,4937,,3289,3078,52,,166,1114,166,987,2947,3103,4098,1039,,4410,149,2929,2813,,149,3286,
4854,6073,5902,0,5202,2538,10626,Alleghany,0,0,1229,315,5193,2223,1150,11137,0,6513,6040,332,34,1277,3116,1277,2310,5070,6299,9249,2642,26,9915,1186,4861,4752,0,1186,6470,0
16118,23541,22302,216,17781,7461,55126,Duplin,161,267,6925,1434,17766,5866,6512,58741,216,25772,23520,1420,284,7707,11405,7707,6041,16956,24148,44760,7642,228,49644,7186,16127,15574,267,7186,25740,181
3810,4286,4165,,4078,1717,11027,Gates,,0,468,120,4073,1597,437,11562,,4599,4285,119,12,509,2418,509,1701,3969,4437,9230,1820,,10120,475,3811,3728,0,475,4582,0
25516,33898,32592,867,26581,13549,59266,Haywood,508,1293,7689,1774,26572,11267,7041,62317,867,36040,33844,1908,1326,8133,15572,8133,11369,25326,34308,50968,13886,914,54941,7461,25523,24684,1293,7461,35998,609
19252,25815,24795,358,20485,9357,59178,Stanly,284,465,6342,1239,20480,7834,5880,62806,358,27648,25781,1271,477,6686,12123,6686,8120,19587,26394,49282,9719,390,54008,6171,19254,18557,465,6171,27631,328
