Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37564,37447,51262,48319,647,41939,15365,122048,Robeson,360,886,41922,12933,1920,41526,13021,13085,11797,130625,647,57144,51094,2051,896,14309,20565,14243,14308,13559,39698,53517,98425,886,16025,664,109195,13000,37576,647,35875,886,13022,56655,415
4876,4866,5875,5701,0,5305,2816,12861,Perquimans,0,0,5302,1043,206,5268,986,2610,937,13463,0,6414,5852,221,15,1094,3671,1090,1094,2783,5145,6188,10957,0,3004,11,11854,986,4878,0,4764,0,986,6358,0
69984,69554,104457,96598,1109,74982,24501,196283,Johnston,502,1374,74943,31378,3577,73698,33321,20422,29333,209339,1109,112402,103664,3707,1386,36034,28558,35236,36033,21026,69773,102525,156585,1374,25283,1120,175612,33001,70012,1109,66156,1374,33325,110308,550
39225,39106,59444,56461,550,41525,19580,135556,Randolph,425,744,41489,19226,3749,41057,19632,15406,18135,143667,550,63232,59183,3676,744,20963,26060,20731,20962,15728,39578,59548,111702,744,19898,565,123257,19527,39245,550,37776,744,19634,62532,494
2936,2934,3088,2960,,3139,1019,4753,Hyde,,,3136,156,44,3080,152,975,143,4937,,3306,3085,52,,167,1114,164,167,991,2955,3111,4098,,1043,,4410,151,2936,,2817,,152,3244,
4900,4895,6154,5972,0,5270,2558,10626,Alleghany,0,0,5261,1262,322,5196,1221,2236,1182,11137,0,6616,6114,337,34,1312,3116,1308,1312,2313,5084,6346,9249,0,2650,26,9915,1219,4907,0,4790,0,1221,6504,0
16254,16180,23865,22519,216,17988,7495,55126,Duplin,161,267,17972,7094,1452,17680,7371,5882,6671,58741,216,26173,23763,1440,284,7901,11405,7854,7901,6057,17024,24385,44760,267,7678,228,49644,7367,16266,216,15632,267,7371,25801,181
3829,3826,4322,4199,,4097,1725,11027,Gates,,0,4091,478,121,4084,492,1604,456,11562,,4629,4318,120,13,519,2418,518,519,1705,3980,4458,9230,0,1825,,10120,492,3830,,3743,0,492,4602,0
25895,25645,34372,32790,870,26792,13602,59266,Haywood,508,1302,26782,7766,1794,26302,7547,11300,7113,62317,870,36355,34051,1923,1335,8228,15572,8196,8228,11373,25411,34479,50968,1302,13905,917,54941,7536,25908,870,24807,1302,7547,35800,609
19381,19348,26109,25016,358,20603,9399,59178,Stanly,284,465,20598,6467,1256,20441,6336,7859,6020,62806,358,27916,26023,1287,477,6836,12123,6790,6836,8144,19658,26590,49282,465,9759,390,54008,6317,19383,358,18638,465,6336,27696,328
