At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
9841,21042,21353,21352,21366,14678,14677,14511,7182,6561,6561,6417,2595,6561,14678,61060,55206,Robeson,114,114,114,64,127,1376,895,122048,15877,51096,54143,55289,16580,56281,59700,61133,1376,895,1427,1376,529,961,895,394,98425,20565,130625,ROBESON COUNTY,109195,14093,2204,15763,15500,15762,43943,43922,42824,13847,40812,13073,14574,14573,14370,2074,38878,39738,39754,13409,37128
1995,3177,3205,3204,3205,2426,2425,2405,1570,779,779,772,425,779,2426,6601,6100,Perquimans,,,,,,0,0,12861,2897,5863,6031,6115,3086,6318,6506,6624,0,0,20,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1104,235,1165,1154,1165,5439,5436,5352,2851,5214,1013,1070,1070,1064,217,4967,5030,5033,2680,4850
17820,49710,51212,51209,51247,23458,23455,22891,9785,27698,27698,26763,8025,27700,23464,120480,112652,Johnston,56,56,56,10,83,3369,2234,196283,25227,101394,109145,112721,26211,107872,116329,120592,3338,2221,3437,3164,894,2266,2095,614,156585,28558,209339,JOHNSTON COUNTY,175612,33595,3945,39368,37707,39367,77787,77744,75284,21372,71113,31792,37279,37275,35734,3843,71190,73143,73176,20770,67507
13077,28132,28531,28530,28553,13521,13521,13359,6856,14963,14962,14726,6199,14963,13525,66333,62913,Randolph,47,47,47,22,65,802,557,135556,19943,58742,61689,63007,20318,61655,64867,66444,802,557,876,802,515,629,557,429,111702,26060,143667,RANDOLPH COUNTY,123257,20736,3951,22912,22347,22912,42656,42619,41718,15852,40117,19829,21833,21831,21327,3981,39805,40525,40545,15533,38356
719,1779,1829,1829,1829,1770,1770,1723,701,59,59,56,18,59,1770,3430,3309,Hyde,,,,,,,,4753,1047,3077,3215,3309,1063,3191,3333,3433,,,,,,,,,4098,1114,4937,HYDE COUNTY,4410,163,49,176,173,176,3257,3254,3160,1014,3028,150,163,163,159,42,3056,3146,3146,1005,2927
1777,3273,3302,3302,3303,1884,1884,1859,1045,1418,1418,1414,732,1418,1885,6898,6467,Alleghany,,,,,,20,0,10626,2665,6212,6379,6500,2757,6602,6782,6942,20,0,55,20,20,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1347,359,1398,1392,1398,5489,5480,5370,2378,5235,1254,1298,1298,1290,342,5089,5169,5176,2323,4958
4908,10167,10290,10290,10320,5557,5557,5501,2768,4733,4733,4666,2140,4734,5559,29464,26956,Duplin,0,0,0,0,27,2123,1577,55126,7845,24770,26343,27011,8122,26928,28711,29540,2090,1567,2183,1879,428,1620,1389,302,44760,11405,58741,DUPLIN COUNTY,49644,7623,1529,8557,8420,8557,18800,18784,18201,6165,17426,7327,8189,8189,8071,1551,16705,17190,17202,5992,16054
1131,2068,2092,2091,2093,1815,1814,1802,1036,277,277,266,95,277,1816,4843,4561,Gates,,,,,,68,49,11027,1779,4357,4507,4591,1863,4607,4777,4909,68,49,125,68,0,77,49,0,9230,2418,11562,GATES COUNTY,10120,512,125,565,561,565,4219,4210,4148,1738,4027,491,532,532,530,128,3928,3980,3982,1651,3817
9815,19319,19671,19671,19707,12176,12176,11948,6246,7420,7420,7296,3556,7420,12177,37452,35486,Haywood,75,75,75,13,110,1419,897,59266,13757,33395,34717,35579,14170,35241,36638,37549,1419,897,1506,1419,629,976,897,509,50968,15572,62317,HAYWOOD COUNTY,54941,8094,2020,8593,8541,8593,27450,27440,26678,11521,25728,7471,7962,7961,7911,1881,25909,26628,26641,11367,25027
6515,13190,13378,13378,13379,7436,7436,7325,3771,5900,5900,5823,2717,5900,7436,29450,27700,Stanly,42,42,42,27,43,667,474,59178,9642,26183,27278,27781,10001,27767,28950,29509,667,474,720,667,329,551,474,284,49282,12123,62806,STANLY COUNTY,54008,6950,1364,7427,7295,7427,21362,21356,20988,8308,20150,6557,6990,6990,6880,1342,19924,20236,20240,8016,19152
