COVID Suspected Race Other,COVID Confirmed 50-59,Date Filter,COVID Suspected Hispanic,COVID Confirmed 60-69,COVID Confirmed 80-,COVID Suspected Alaskan Native American Indian,COVID Confirmed Race Not Disclosed,COVID Suspected 18-19,COVID Confirmed White,COVID Suspected Black African American,COVID Suspected Race Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Alaskan Native American Indian,COVID Suspected Age Unknown,COVID Confirmed Black African American,COVID Suspected Ethnicity Missing,COVID Suspected 20-29,COVID Confirmed Asian,COVID Suspected 70-79,COVID Suspected Asian,COVID Suspected Gender Not Disclosed,Max Date,COVID Confirmed 0-17,COVID Suspected White,COVID Suspected Female,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Hispanic,COVID Suspected Ethnicity Not Disclosed,COVID Confirmed Age Missing,COVID Suspected 40-49,COVID Suspected Gender Unknown,COVID Confirmed Female,COVID Confirmed 20-29,COVID Confirmed Native Hawaiian Pacific Islander,COVID Confirmed Race Missing,COVID Suspected Non-Hispanic,COVID Confirmed Gender Not Disclosed,COVID Suspected 80-,COVID Suspected 50-59,today,COVID Confirmed 30-39,COVID Confirmed Male,COVID Suspected Male,COVID Confirmed Race Other,COVID Suspected Native Hawaiian Pacific Islander,COVID Confirmed Non-Hispanic,COVID Suspected 60-69,COVID Confirmed 70-79,COVID Confirmed Gender Unknown,COVID Suspected Race Not Disclosed,Date,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed 40-49,COVID Suspected 0-17,COVID Confirmed Age Unknown,COVID Suspected 30-39,COVID Confirmed 18-19,COVID Suspected Age Missing
14,27,T,12,64,43,2,7,0,149,67,1,6,2,0,64,1,21,1,52,3,23,2021-02-15,2,178,121,1,6,12,12,6,32,0,118,9,0,4,246,0,56,31,2021-02-19,11,114,126,11,1,196,40,60,0,5,2020-11-21,24,14,15,0,24,2,0
12,50,T,13,84,92,6,7,0,235,69,0,0,13,0,101,0,13,7,72,2,37,2021-02-15,6,193,132,0,0,25,15,0,26,0,185,11,2,0,258,3,62,47,2021-02-19,16,194,117,17,1,319,46,93,0,3,2020-12-29,38,25,6,3,14,2,0
16,49,T,13,67,83,4,5,1,221,68,0,22,5,2,104,0,7,2,59,3,24,2021-02-15,3,155,117,0,22,15,16,22,20,1,164,7,0,22,225,2,52,28,2021-02-19,17,188,112,17,0,318,63,96,0,8,2020-12-25,21,30,12,2,10,0,0
13,26,T,19,29,30,0,2,3,73,89,63,32,3,1,42,63,28,3,60,3,1,2021-02-15,2,190,178,57,32,13,17,20,22,0,69,10,0,31,273,3,54,51,2021-02-19,7,60,136,8,0,102,62,30,0,14,2020-10-10,15,7,26,0,28,1,36
21,43,T,12,70,84,3,4,3,203,88,0,0,9,0,101,0,7,6,70,1,24,2021-02-15,7,158,135,0,0,14,11,0,23,0,188,8,1,0,252,0,41,43,2021-02-19,22,154,116,18,1,311,57,84,0,3,2021-02-02,17,24,12,0,19,0,0
16,17,T,14,25,21,2,0,6,61,81,63,25,1,3,34,67,21,1,63,5,0,2021-02-15,1,203,166,63,25,9,25,19,25,2,55,7,0,25,277,0,52,43,2021-02-19,7,50,152,8,0,88,58,23,0,13,2020-10-07,8,9,28,0,33,1,48
25,27,T,19,38,31,1,3,1,101,86,0,0,0,3,42,0,16,0,68,0,0,2021-02-15,3,210,158,8,0,11,34,1,28,22,84,9,0,2,277,0,55,62,2021-02-19,4,75,142,11,3,138,69,32,0,5,2020-11-03,10,14,5,0,23,0,0
11,48,T,12,101,92,3,22,4,264,87,1,7,8,0,132,4,16,7,65,3,27,2021-02-15,5,178,149,1,7,22,14,0,21,0,247,21,0,3,259,16,53,43,2021-02-19,16,193,112,23,1,395,55,118,0,5,2021-01-07,35,35,13,21,18,2,1
15,18,T,13,30,17,3,2,1,75,86,33,19,3,0,30,43,17,3,56,1,0,2021-02-15,2,156,132,38,19,6,22,14,21,1,55,6,0,14,220,4,42,46,2021-02-19,10,61,127,4,0,92,51,27,1,4,2020-10-14,14,7,14,0,26,0,24
21,60,T,11,92,84,5,24,0,272,74,0,4,10,0,101,2,17,2,48,7,24,2021-02-15,4,171,125,3,4,22,15,1,22,1,212,13,0,5,257,13,52,50,2021-02-19,32,210,132,26,1,373,61,97,1,6,2021-01-08,41,36,14,21,21,0,0
14,67,T,15,99,76,4,15,1,253,78,0,0,3,0,115,0,17,3,57,1,22,2021-02-15,3,151,118,0,0,25,18,0,20,0,188,8,1,0,224,4,47,36,2021-02-19,17,215,117,17,1,347,51,97,0,8,2020-12-24,35,33,12,5,16,2,0
12,43,T,13,64,73,0,3,1,187,70,0,0,5,0,94,0,11,3,45,2,22,2021-02-15,2,142,106,0,0,12,5,0,18,0,146,12,1,0,211,0,44,34,2021-02-19,15,158,101,11,0,274,43,71,0,3,2021-01-18,18,21,14,1,19,2,0
13,23,T,14,40,26,3,6,2,95,107,0,1,1,0,39,0,20,3,60,3,18,2021-02-15,1,194,141,2,1,12,21,1,31,0,74,5,0,1,292,2,57,41,2021-02-19,10,76,166,8,0,134,76,38,0,8,2020-11-07,6,8,14,1,28,0,0
9,47,T,15,83,55,2,4,1,202,74,2,1,8,0,109,2,19,4,50,3,22,2021-02-15,5,179,137,2,1,17,12,1,28,0,182,18,0,1,248,0,50,37,2021-02-19,15,158,116,13,0,301,56,90,0,8,2021-01-28,22,26,14,0,20,1,2
18,46,T,15,80,86,4,7,1,220,79,2,9,6,0,114,2,13,5,57,1,11,2021-02-15,5,159,126,12,9,25,16,1,19,0,197,15,0,6,235,0,48,38,2021-02-19,22,180,119,25,0,330,61,95,0,5,2021-01-27,19,30,13,0,17,3,1
20,37,T,13,46,39,2,4,1,130,65,0,0,2,0,65,0,15,2,39,2,21,2021-02-15,3,139,117,0,0,11,16,0,27,1,108,9,0,0,208,0,37,39,2021-02-19,15,107,98,12,2,186,49,52,0,7,2021-02-11,18,14,13,0,17,0,0
10,43,T,15,81,93,1,8,0,246,66,0,0,3,1,107,0,19,4,48,2,33,2021-02-15,5,179,145,0,0,20,11,0,27,1,208,15,0,0,237,3,48,37,2021-02-19,15,177,84,20,1,343,60,102,0,4,2020-12-23,25,33,6,0,17,1,0
18,11,T,14,17,27,4,5,4,60,74,49,28,2,3,30,49,19,0,49,2,2,2021-02-15,3,175,177,48,28,7,26,20,22,1,54,1,1,28,247,3,45,42,2021-02-19,7,42,108,2,0,76,51,23,1,14,2020-10-05,17,15,23,3,34,1,41
11,12,T,13,15,24,1,4,6,37,72,59,34,2,2,27,60,29,4,57,1,0,2021-02-15,0,168,144,57,34,6,12,22,24,1,38,6,0,34,237,2,44,30,2021-02-19,4,38,120,3,0,66,49,19,0,10,2020-10-01,5,5,11,2,24,2,44
11,50,T,8,74,68,2,6,0,210,101,0,0,2,0,89,0,24,2,63,7,26,2021-02-15,1,187,151,0,0,15,20,0,25,0,155,10,1,0,286,0,58,48,2021-02-19,15,169,137,15,1,285,64,80,0,5,2020-12-16,24,24,12,0,20,2,0
