Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
33532,44019,41845,165,39168,14317,Robeson,70,202,11389,1581,39155,12666,9339,130625,165,52026,43978,1794,238,12620,20565,12610,13236,37509,49100,98425,15111,197,109195,10281,33541,32341,202,10281,51967,81
4531,5293,5173,,5044,2714,Perquimans,,,903,181,5043,2533,724,13463,,5991,5291,200,,947,3671,947,2724,4930,5833,10957,2924,,11854,760,4533,4449,,760,5990,
65930,93482,87082,,71272,23068,Johnston,,,27642,3072,71245,19996,24145,209339,,102779,93455,3287,,31507,28558,31442,20649,67580,95222,156585,23936,,175612,27525,65956,62937,,27526,102687,
37368,53504,51149,,39931,18451,Randolph,,,17108,3185,39902,15266,14957,143667,,58474,53486,3249,,18543,26060,18528,15675,38523,55631,111702,18924,,123257,16118,37385,36192,,16119,58430,
2818,2952,2847,,3017,983,Hyde,,,148,37,3017,946,128,4937,,3174,2952,44,,157,1114,157,969,2899,3047,4098,1013,,4410,134,2818,2719,,134,3174,
4580,5670,5551,,4923,2469,Alleghany,,,1180,284,4916,2185,1049,11137,,6150,5665,299,,1227,3116,1226,2280,4821,6001,9249,2579,,9915,1085,4585,4502,,1085,6142,
15037,21151,20122,,16931,6955,Duplin,,,6315,1231,16923,5724,5518,58741,,23964,21147,1288,,7033,11405,7029,5947,16337,22652,44760,7235,,49644,6110,15041,14604,,6110,23952,
3564,3971,3880,,3966,1656,Gates,,,424,110,3961,1546,373,11562,,4429,3970,112,,463,2418,463,1680,3866,4290,9230,1792,,10120,406,3565,3507,,406,4424,
24298,30884,29718,,25442,12487,Haywood,,,6872,1560,25435,10927,6175,62317,,32742,30878,1694,,7300,15572,7297,11148,24577,31449,50968,12842,,54941,6580,24304,23543,,6580,32732,
18146,23284,22436,,19544,8783,Stanly,,,5712,1106,19541,7677,4891,62806,,25550,23282,1171,,6006,12123,6002,8004,18838,24550,49282,9175,,54008,5136,18148,17545,,5136,25543,
27249,101829,92894,79,32223,10594,Missing,0,30,73112,6469,32169,4125,67985,,79,112044,101433,6033,461,79360,,79206,4494,28981,102123,,10527,272,,74105,27450,24830,30,74107,111405,0
26191,35528,33864,,28001,11874,Wilson,,,9649,1508,27997,10366,8378,81801,,38814,35519,1559,,10813,15337,10792,10659,27152,36801,63224,12218,,69710,9328,26198,25486,,9330,38789,
1598,1720,1653,,1738,627,Tyrrell,,,147,34,1737,593,117,4016,,1891,1719,33,,153,810,153,611,1659,1806,3288,644,,3533,121,1599,1536,,121,1890,
32842,52609,50352,6355,35773,15221,Wayne,796,9297,14100,2543,35749,11882,11945,123131,6504,60815,52557,2735,9350,15692,20802,15671,12258,34768,57917,94031,16220,6541,103693,13211,32857,32052,9049,13211,60717,1227
8155,10299,10001,,8787,4102,Montgomery,,,2347,406,8787,3696,2018,27173,,11281,10299,452,,2494,5743,2492,3804,8578,10925,21266,4256,,23512,2144,8155,7983,,2144,11279,
18385,25680,24726,,19964,9466,Lenoir,,,7769,1390,19960,8076,6600,55949,,28620,25676,1448,,8656,11303,8646,8303,19620,27389,43423,9751,,47933,7291,18389,18126,,7291,28606,
11082,15018,14457,312,11969,5574,Scotland,120,314,3847,685,11968,4769,3213,34823,312,16655,14978,788,368,4318,6531,4306,4920,11764,15925,26793,5830,352,29381,3584,11082,10932,314,3584,16588,122
66150,86041,81333,,69231,24456,Alamance,,0,21073,3549,69216,20907,18482,169509,,91925,86027,3978,16,22678,29035,22649,21294,65518,86591,132145,25272,,145046,19877,66164,62851,0,19877,91865,0
3060,4485,4326,834,3459,1300,Camden,0,740,641,86,3454,1214,559,10867,834,4892,4474,105,759,674,1833,674,1325,3295,4676,8407,1430,845,9354,580,3060,2933,740,580,4868,0
7486,9415,9112,,8076,2722,Greene,,,2037,294,8073,2428,1683,21069,,10417,9414,320,,2341,3592,2338,2488,7965,10002,16884,2808,,18372,1928,7487,7429,,1928,10411,
36020,65686,63433,14201,38405,24275,Rowan,6863,14913,17147,2726,38397,14686,14565,142088,14201,71545,65660,2978,14939,18201,25371,18189,15051,36829,68889,110729,25155,14220,122048,15439,36026,34667,14913,15440,71499,7126
7088,8154,7913,,7667,3845,Northampton,,,1105,257,7665,3588,965,19483,,8897,8152,287,,1230,5256,1230,3703,7496,8601,16132,3990,,17363,1064,7090,6948,,1064,8895,
19487,27064,26067,,22077,10344,Wilkes,,,8625,1644,22069,8700,7180,68412,,31180,27057,1847,,9103,15162,9097,9062,21301,29926,54628,10909,,59783,7570,19494,18887,,7570,31166,
24652,36953,35311,,25776,12354,Lincoln,,,12655,1742,25770,10612,11059,86111,,39902,36946,1838,,14126,15456,14113,10808,25288,37943,67981,12646,,74647,12294,24657,24252,,12296,39883,
26003,33635,32434,,27249,12690,Caldwell,,,8648,1055,27242,11635,7124,82178,,36573,33630,1182,,9324,16769,9319,11874,26447,35095,65842,13056,,71809,7627,26008,25310,,7627,36561,
