Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
36942,50184,47447,646,41356,15236,Robeson,360,881,12566,1874,41338,13002,11394,130625,646,56131,50156,2010,891,13884,20565,13883,13467,39351,52798,98425,15891,663,109195,12568,36953,35407,881,12568,56102,414
4828,5791,5627,0,5256,2798,Perquimans,0,0,1011,204,5253,2594,901,13463,0,6328,5778,217,15,1057,3671,1057,2770,5117,6128,10957,2987,11,11854,950,4830,4726,0,950,6310,0
68922,102160,95170,1109,74091,24344,Johnston,502,1367,30741,3514,74053,20328,28476,209339,1109,110389,102116,3646,1379,34919,28558,34918,20940,69386,101494,156585,25136,1120,175612,32085,68954,65585,1367,32086,110338,550
38927,58506,55798,550,41095,19525,Randolph,425,744,18718,3668,41059,15432,17638,143667,550,62124,58470,3613,744,20285,26060,20284,15753,39448,58910,111702,19860,565,123257,18993,38947,37610,744,18994,62087,494
2917,3066,2943,,3064,1014,Hyde,,,156,44,3061,970,141,4937,,3229,3066,52,,165,1114,165,986,2928,3084,4098,1038,,4410,149,2917,2802,,149,3226,
4841,6056,5885,0,5177,2535,Alleghany,0,0,1224,315,5168,2220,1146,11137,0,6484,6023,332,34,1273,3116,1273,2309,5062,6286,9249,2641,26,9915,1182,4848,4739,0,1182,6441,0
16058,23423,22196,216,17657,7444,Duplin,161,267,6879,1423,17642,5860,6456,58741,216,25573,23402,1411,284,7632,11405,7632,6036,16901,24047,44760,7628,228,49644,7128,16067,15524,267,7128,25541,181
3795,4268,4149,,4073,1713,Gates,,0,466,119,4068,1594,435,11562,,4592,4267,118,12,507,2418,507,1700,3966,4432,9230,1818,,10120,472,3796,3714,0,472,4575,0
25378,33724,32423,867,26392,13487,Haywood,508,1287,7653,1764,26384,11215,7006,62317,867,35795,33670,1900,1319,8084,15572,8084,11332,25209,34149,50968,13839,914,54941,7425,25385,24550,1287,7425,35755,607
19154,25674,24664,358,20364,9341,Stanly,284,465,6308,1232,20360,7825,5839,62806,358,27470,25640,1268,477,6629,12123,6629,8114,19514,26287,49282,9710,390,54008,6128,19156,18467,465,6128,27454,328
48844,173138,162420,37838,58535,31353,Missing,9077,24357,80558,7577,58470,14699,78669,,37861,172361,172054,6958,25554,88272,,88247,17739,53802,158668,,32080,38740,,85349,49047,45913,24308,85351,171074,7383
27822,39217,37232,330,29400,12490,Wilson,221,495,10818,1695,29392,10574,9938,81801,330,42002,39180,1724,499,12103,15337,12100,10834,28235,39548,63224,12819,354,69710,11028,27833,26964,495,11030,41987,261
1717,1857,1768,,1800,654,Tyrrell,,,158,36,1798,618,135,4016,,1965,1856,36,,165,810,165,630,1708,1866,3288,666,,3533,139,1718,1633,,139,1963,
