Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
31221,40587,38851,157,37753,14008,Robeson,68,201,10589,1500,37740,12440,8379,130625,157,49670,40548,1721,236,11681,20565,11671,13108,36217,47007,98425,14909,186,109195,9170,31231,30315,201,9170,49612,80
4395,5090,4992,,4934,2675,Perquimans,,,850,167,4933,2508,661,13463,,5823,5088,196,,889,3671,889,2707,4833,5683,10957,2903,,11854,693,4397,4331,,693,5822,
64135,89826,83974,,70032,22844,Johnston,,,26323,2978,70005,19866,22532,209339,,100038,89799,3223,,30006,28558,29941,20532,66487,92810,156585,23755,,175612,25664,64161,61442,,25665,99946,
36488,51482,49371,,39230,18232,Randolph,,,16218,3084,39201,15148,13957,143667,,56785,51463,3169,,17555,26060,17540,15545,37874,54092,111702,18714,,123257,14975,36506,35414,,14976,56741,
2760,2884,2787,,2967,975,Hyde,,,142,37,2967,938,120,4937,,3118,2884,44,,151,1114,151,964,2858,3000,4098,1008,,4410,124,2760,2667,,124,3118,
4473,5511,5405,,4841,2451,Alleghany,,,1153,276,4836,2175,1000,11137,,6041,5507,297,,1200,3116,1199,2275,4748,5901,9249,2572,,9915,1034,4477,4405,,1034,6035,
14483,20066,19235,,16541,6858,Duplin,,,6005,1190,16533,5668,5084,58741,,23218,20062,1253,,6677,11405,6673,5900,15994,21999,44760,7153,,49644,5579,14487,14151,,5579,23206,
3474,3861,3782,,3868,1633,Gates,,,410,105,3864,1528,353,11562,,4316,3860,112,,448,2418,448,1662,3787,4197,9230,1774,,10120,386,3475,3429,,386,4312,
23821,30165,29068,,25066,12399,Haywood,,,6658,1541,25059,10858,5956,62317,,32143,30160,1661,,7077,15572,7074,11091,24241,30899,50968,12752,,54941,6339,23826,23112,,6339,32133,
17524,22345,21603,,19047,8681,Stanly,,,5368,1076,19044,7605,4591,62806,,24692,22343,1135,,5645,12123,5641,7934,18403,23771,49282,9069,,54008,4819,17526,17012,,4819,24685,
