People Fully Vaccinated,County,People Vaccinated with at Least One Dose
22481,Robeson,26133
3582,Perquimans,4153
47051,Johnston,56729
28772,Randolph,32462
2092,Hyde,2396
3544,Alleghany,3892
10868,Duplin,12774
2639,Gates,3167
17582,Haywood,20841
13036,Stanly,15742
10065,Missing County,12656
18608,Wilson,22088
1140,Tyrrell,1258
24219,Wayne,28526
6481,Montgomery,7466
14084,Lenoir,15838
0,,0
8866,Scotland,10154
50056,Alamance,57061
2397,Camden,2886
5585,Greene,6283
25752,Rowan,30136
5822,Northampton,6531
15376,Wilkes,17006
18648,Lincoln,22568
20789,Caldwell,22962
5930,Polk,6569
19552,Surry,21023
13237,Macon,14271
2593,Clay,2972
9956,Yadkin,10746
27300,Onslow,29957
11271,Richmond,12465
80527,Buncombe,94078
52423,Union,64010
43409,Cabarrus,55229
2794,Washington,3221
24545,Harnett,27853
22787,Burke,25481
62366,Out of State,76908
16060,Granville,19180
48812,Gaston,57091
11005,Edgecombe,13411
18919,Watauga,21589
7103,Hoke,8455
5707,Bertie,6787
10912,Person,12846
15208,Beaufort,16735
38752,Catawba,45399
12610,Jackson,14125
354526,Wake,425847
23574,Cleveland,26217
14278,Sampson,17128
12801,Columbus,13974
6459,Caswell,7335
5207,Yancey,5858
15611,Lee,18147
5765,Hertford,6767
22881,Rockingham,26306
261137,Mecklenburg,339239
22136,Carteret,24238
3332,Swain,3615
5544,Avery,6298
11263,Vance,13466
14670,Halifax,16684
13978,Rutherford,16346
23633,Nash,29051
7872,Ashe,8878
9603,Stokes,11182
2031,Graham,2243
15638,Pender,17996
28429,Craven,31308
157137,Guilford,182954
7383,Madison,8232
23011,Chatham,26464
51217,Pitt,55516
32934,Moore,35992
110709,Forsyth,126862
39326,Iredell,45881
11492,Transylvania,12248
6264,Martin,7116
5530,Warren,6894
2540,Jones,2859
11723,Davie,13380
55400,Cumberland,62144
13037,McDowell,14741
6979,Cherokee,7954
4220,Chowan,5169
62602,Orange,70054
9411,Alexander,10841
112297,Durham,130092
35180,Henderson,39159
10663,Pasquotank,12596
4742,Pamlico,5238
3667,Mitchell,4386
6355,Currituck,7956
52200,Brunswick,57129
36475,Davidson,41136
16175,Franklin,18728
16705,Dare,18326
8027,Bladen,8981
74577,New hanover,82601
5591,Anson,6712
