Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37663,37497,51421,48406,647,42016,15382,122048,Robeson,360,886,41999,12975,1924,41586,13080,13098,11840,130625,647,57279,51199,2054,896,14367,20565,14290,14366,13568,39749,53610,98425,886,16037,664,109195,13055,37676,647,35919,886,13081,56762,415
4882,4869,5883,5706,0,5308,2817,12861,Perquimans,0,0,5305,1044,207,5270,988,2610,939,13463,0,6418,5857,222,15,1095,3671,1091,1095,2784,5147,6191,10957,0,3006,11,11854,988,4884,0,4767,0,988,6361,0
70185,69698,104897,96848,1109,75125,24533,196283,Johnston,502,1375,75086,31485,3588,73807,33560,20443,29463,209339,1109,112712,103952,3712,1387,36200,28558,35355,36199,21045,69855,102715,156585,1375,25307,1120,175612,33145,70213,1109,66276,1375,33564,110537,550
39315,39123,59648,56556,550,41562,19587,135556,Randolph,425,746,41526,19302,3749,41065,19746,15413,18212,143667,550,63368,59287,3682,746,21060,26060,20819,21059,15733,39586,59634,111702,746,19909,565,123257,19614,39335,550,37794,746,19748,62630,494
2938,2936,3090,2963,,3139,1019,4753,Hyde,,,3136,156,44,3080,152,975,143,4937,,3306,3087,52,,167,1114,164,167,990,2956,3112,4098,,1042,,4410,151,2938,,2820,,152,3244,
4916,4909,6172,5987,0,5282,2557,10626,Alleghany,0,0,5273,1264,322,5202,1223,2235,1183,11137,0,6632,6129,337,34,1316,3116,1312,1316,2313,5090,6354,9249,0,2650,26,9915,1220,4923,0,4804,0,1223,6514,0
16267,16191,23915,22551,216,17997,7505,55126,Duplin,161,267,17981,7122,1458,17690,7408,5886,6693,58741,216,26222,23800,1446,284,7941,11405,7885,7941,6059,17033,24422,44760,267,7686,228,49644,7393,16279,216,15642,267,7408,25842,181
3832,3829,4326,4203,,4102,1725,11027,Gates,,0,4096,479,121,4086,493,1604,457,11562,,4635,4322,120,13,520,2418,519,520,1706,3982,4461,9230,0,1826,,10120,493,3833,,3746,0,493,4605,0
25951,25680,34443,32834,870,26828,13614,59266,Haywood,508,1305,26818,7777,1797,26328,7562,11309,7124,62317,870,36405,34097,1928,1338,8239,15572,8207,8239,11379,25437,34519,50968,1305,13917,917,54941,7547,25964,870,24840,1305,7562,35840,610
19410,19354,26174,25046,358,20616,9405,59178,Stanly,284,465,20611,6490,1257,20446,6372,7864,6045,62806,358,27956,26058,1289,477,6863,12123,6815,6863,8145,19660,26615,49282,465,9762,390,54008,6346,19412,358,18643,465,6372,27726,328
