Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56473,ROBESON COUNTY,2776,2786,1660,2725,2787,1613,1603,1567,984,1614,1173,1173,1173,1158,676,11929,16709,8380,16709,16583,16296,8212,8380,8369,8184,3619,8380,16709,24697,25169,25306,25363,62351,16479,52288,55310,56575,17300,57566,60949,62532,Robeson,217,217,217,98,274,25089,24952,24480,11831,1497,1004,122048,1497,1004,1543,1497,605,1069,1004,407,98425,20565,130625,109195,ROBESON COUNTY,25089,14729,2387,16356,16089,16354,44633,44500,43363,14308,41340,13686,15161,15160,14955,2252,39351,40309,40345,13820,37598
6192,PERQUIMANS COUNTY,777,777,569,768,777,402,402,394,293,402,375,375,375,374,276,2359,2609,1097,2609,2602,2576,1689,1097,1096,1087,670,1097,2609,3663,3698,3706,3706,6687,2979,5936,6107,6207,3179,6397,6585,6723,Perquimans,,,,,,3706,3698,3663,2359,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3706,1146,257,1209,1197,1207,5494,5480,5388,2922,5251,1042,1102,1102,1094,234,5013,5090,5093,2745,4894
115275,JOHNSTON COUNTY,12600,12659,6079,12229,12662,5475,5442,5277,3117,5478,7184,7184,7158,6952,2962,22117,26620,34090,26610,26241,25394,10923,34088,33874,32846,11058,34090,26620,58736,60611,61194,61270,122938,26275,103978,111547,115413,27333,110401,118679,123555,Johnston,496,496,496,136,560,60698,60115,58240,21981,3694,2480,196283,3641,2457,3713,3450,1050,2496,2325,707,156585,28558,209339,175612,JOHNSTON COUNTY,60710,34991,4277,40695,39028,40638,79147,78606,76010,22006,71960,33226,38642,38633,37077,4149,72013,74162,74275,21419,68427
64007,RANDOLPH COUNTY,5936,5958,3536,5845,5960,2535,2522,2477,1706,2537,3423,3423,3414,3368,1830,15780,14802,18256,14797,14710,14465,7493,18256,18226,17970,8205,18256,14802,32558,33059,33176,33191,67521,20726,59868,62725,64151,21195,62963,66045,67722,Randolph,123,123,123,82,133,33053,32936,32435,15698,892,575,135556,892,575,958,892,560,668,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33058,21472,4266,23549,23009,23544,43215,43085,42144,16369,40599,20552,22505,22502,22011,4290,40139,40930,40978,15992,38741
3368,HYDE COUNTY,419,421,222,407,422,405,403,392,215,406,16,16,16,15,7,783,1860,86,1860,1851,1799,752,86,84,81,31,86,1860,1880,1935,1946,1946,3471,1065,3142,3282,3368,1086,3243,3385,3492,Hyde,,,,,,1946,1935,1880,783,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1946,165,53,179,177,179,3301,3292,3208,1033,3078,153,167,167,164,44,3118,3201,3201,1021,2989
6529,ALLEGHANY COUNTY,970,972,698,967,972,414,412,409,310,414,558,558,558,558,388,2170,2209,1867,2208,2193,2162,1110,1867,1865,1862,1060,1867,2209,4024,4058,4075,4076,6947,2739,6267,6436,6578,2827,6650,6827,7005,Alleghany,,,,,,4075,4058,4024,2170,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4076,1376,383,1421,1415,1421,5515,5491,5377,2419,5239,1279,1320,1320,1313,368,5123,5209,5220,2371,4988
27535,DUPLIN COUNTY,1942,1944,1223,1920,1944,965,963,952,602,965,979,979,979,968,621,6048,6246,5940,6242,6190,6082,3044,5940,5923,5831,2911,5940,6246,12250,12461,12530,12575,30019,8220,25359,26898,27600,8529,27490,29255,30112,Duplin,348,348,337,93,389,12182,12113,11913,5955,2193,1650,55126,2157,1632,2242,1936,472,1691,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12186,7919,1655,8795,8661,8792,19075,19034,18437,6402,17635,7639,8449,8448,8324,1674,16942,17437,17460,6215,16268
4617,GATES COUNTY,418,420,268,411,420,342,340,334,224,342,78,78,78,77,44,1285,2006,349,2005,1993,1976,1155,349,349,336,130,349,2006,2312,2342,2354,2366,4924,1867,4404,4552,4646,1958,4686,4854,4993,Gates,0,0,0,0,11,2354,2342,2312,1285,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2355,538,132,588,581,588,4256,4246,4183,1815,4058,509,547,547,543,136,3966,4027,4029,1731,3852
36101,HAYWOOD COUNTY,7218,7259,4639,7103,7259,4513,4473,4381,2914,4513,2746,2746,2745,2722,1725,11986,13012,9859,13011,12858,12541,6658,9859,9848,9713,5314,9859,13012,22356,22808,22972,23020,38074,14258,33958,35274,36223,14737,35827,37208,38303,Haywood,102,102,102,14,149,22870,22706,22254,11972,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22871,8254,2157,8725,8663,8717,27965,27824,27012,11879,26040,7635,8094,8092,8037,2022,26306,27078,27098,11725,25392
28131,STANLY COUNTY,2476,2489,1476,2448,2489,868,862,852,539,868,1621,1621,1614,1596,937,8137,8533,7321,8533,8476,8306,4402,7321,7314,7236,3661,7321,8533,15639,15887,15951,15961,29775,9902,26591,27661,28197,10276,28073,29233,29896,Stanly,97,97,97,74,107,15854,15790,15542,8063,706,556,59178,706,556,759,706,357,613,556,298,49282,12123,62806,54008,STANLY COUNTY,15854,7174,1458,7645,7513,7642,21492,21427,21014,8461,20193,6789,7216,7214,7108,1431,19997,20361,20368,8173,19246
260831,MISSING COUNTY,59616,59912,27712,58515,59934,28131,28058,27584,16825,28153,31781,31781,31558,30931,10887,83135,73322,114855,73299,72844,70807,33563,114851,113945,111342,30383,114855,73322,217179,221819,223180,224106,291420,60046,238798,251826,262403,80744,268347,281800,293703,Missing,35030,35030,35030,19189,35929,188150,186789,182149,63946,38001,47640,,37984,47640,39841,37841,9850,48894,47546,9797,,,,,MISSING COUNTY,188177,84136,7641,95784,90950,95586,158078,157833,152866,63253,146370,85062,97378,97346,92495,8369,111691,115845,116131,41880,106190
44150,WILSON COUNTY,4967,4980,2906,4895,4982,3540,3530,3503,2197,3542,1440,1440,1437,1392,709,11141,15638,8419,15634,15570,15378,7899,8419,8389,8144,3208,8419,15638,23608,24045,24139,24176,46634,13571,40896,43148,44225,13900,43055,45495,46799,Wilson,86,86,86,34,119,24053,23959,23522,11107,609,371,76972,609,371,654,609,316,418,371,237,63224,15337,81801,69710,WILSON COUNTY,24057,12626,2038,14421,13926,14411,31724,31614,30960,11546,29820,11916,13578,13574,13130,2026,29647,30205,30229,11308,28609
1995,TYRRELL COUNTY,187,187,118,186,187,170,170,169,111,170,17,17,17,17,7,510,909,95,909,905,893,470,95,95,94,40,95,909,987,1000,1004,1004,2077,701,1870,1958,1996,714,1944,2035,2080,Tyrrell,,,,,,1004,1000,987,510,,,3827,,,,,,,,,3288,810,4016,3533,TYRRELL COUNTY,1004,174,40,183,181,183,1897,1894,1854,674,1770,150,155,155,155,39,1803,1840,1841,662,1720
61762,WAYNE COUNTY,4137,4141,2260,4077,4145,1632,1629,1617,918,1636,2509,2509,2508,2460,1342,14092,14330,15448,14325,14261,14057,6459,15448,15412,15165,7352,15448,14330,30831,31292,31392,31455,66181,16801,57672,60470,61837,17494,61566,64652,66411,Wayne,1619,1619,1609,281,1677,29773,29673,29222,13811,6376,5499,115046,6322,5462,6429,6209,985,5526,5367,753,94031,20802,123131,103693,WAYNE COUNTY,29778,18518,3483,21183,20438,21174,38799,38631,37892,13026,36839,17500,19916,19906,19263,3356,35745,36357,36395,12692,34805
