Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
30079,38754,37262,152,36547,13847,Robeson,68,200,9990,1452,36533,12327,7812,130625,152,47783,38716,1667,235,11001,20565,10991,12982,35141,45331,98425,14729,180,109195,8485,30089,29298,200,8485,47724,80
4339,4996,4909,,4862,2652,Perquimans,,,811,160,4861,2492,624,13463,,5711,4994,191,,849,3671,849,2697,4768,5579,10957,2888,,11854,655,4341,4285,,655,5710,
63103,87563,82139,,68907,22674,Johnston,,,25363,2911,68879,19763,21534,209339,,97799,87535,3173,,28892,28558,28827,20409,65464,90827,156585,23582,,175612,24432,63130,60605,,24433,97706,
35928,50173,48248,,38648,18068,Randolph,,,15545,3011,38619,15057,13300,143667,,55466,50154,3080,,16818,26060,16803,15466,37351,52896,111702,18546,,123257,14226,35947,34948,,14226,55422,
2713,2832,2742,,2928,971,Hyde,,,139,37,2928,934,115,4937,,3076,2832,43,,148,1114,148,958,2825,2964,4098,1001,,4410,119,2713,2627,,119,3076,
4414,5429,5333,,4755,2435,Alleghany,,,1101,271,4751,2164,978,11137,,5898,5426,289,,1143,3116,1142,2257,4675,5776,9249,2546,,9915,1012,4417,4355,,1012,5893,
14279,19449,18705,,15981,6773,Duplin,,,5781,1138,15973,5635,4738,58741,,22392,19446,1224,,6411,11405,6407,5854,15475,21256,44760,7078,,49644,5167,14282,13967,,5167,22380,
3412,3777,3703,,3798,1611,Gates,,,391,102,3794,1509,333,11562,,4226,3776,111,,428,2418,428,1651,3725,4116,9230,1762,,10120,364,3413,3370,,364,4222,
23473,29610,28598,,24819,12323,Haywood,,,6507,1516,24812,10807,5779,62317,,31734,29605,1646,,6915,15572,6912,11041,24016,30523,50968,12687,,54941,6132,23478,22819,,6132,31724,
17273,21842,21157,,18802,8621,Stanly,,,5138,1049,18799,7572,4362,62806,,24200,21840,1117,,5398,12123,5394,7898,18179,23317,49282,9015,,54008,4567,17275,16795,,4567,24193,
22378,89269,81589,79,26747,9206,Missing,0,30,67246,6006,26691,3200,61073,,79,100094,88876,5720,441,72906,,72752,3460,24005,91281,,9180,264,,66419,22584,20437,30,66421,99473,0
25253,33494,32108,,27046,11661,Wilson,,,8720,1429,27041,10232,7458,81801,,36765,33484,1499,,9719,15337,9698,10532,26274,34994,63224,12031,,69710,8231,25261,24650,,8233,36739,
1470,1579,1541,,1649,610,Tyrrell,,,135,33,1648,577,106,4016,,1790,1578,33,,141,810,141,596,1584,1719,3288,629,,3533,108,1471,1435,,108,1789,
31180,48933,47058,5950,34459,14885,Wayne,787,7705,12551,2399,34434,11699,10604,123131,6087,56130,48881,2612,7773,13898,20802,13877,12101,33544,53575,94031,15863,6124,103693,11614,31195,30504,7480,11614,56016,1150
7830,9727,9514,,8520,4026,Montgomery,,,2158,379,8520,3647,1803,27173,,10809,9727,423,,2289,5743,2287,3756,8329,10487,21266,4179,,23512,1897,7830,7711,,1897,10807,
17586,24015,23269,,19238,9277,Lenoir,,,6938,1324,19234,7953,5896,55949,,26894,24011,1403,,7656,11303,7646,8192,18943,25881,43423,9595,,47933,6425,17590,17373,,6425,26880,
