Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37829,37627,51676,48622,647,42153,15416,122048,Robeson,360,887,42136,13071,1938,41686,13169,13118,11927,130625,647,57523,51418,2067,897,14473,20565,14391,14472,13590,39842,53800,98425,887,16072,664,109195,13144,37842,647,36048,887,13170,56964,415
4900,4884,5905,5724,0,5327,2825,12861,Perquimans,0,0,5324,1049,208,5286,992,2617,943,13463,0,6442,5876,225,15,1100,3671,1096,1100,2788,5161,6210,10957,0,3013,11,11854,992,4902,0,4781,0,992,6382,0
70514,69852,105541,97164,1109,75333,24555,196283,Johnston,502,1377,75294,31634,3604,73910,33874,20449,29639,209339,1109,113133,104288,3726,1389,36411,28558,35512,36410,21045,69938,102949,156585,1377,25321,1120,175612,33327,70543,1109,66416,1377,33878,110799,550
39315,39088,59797,56636,550,41542,19578,135556,Randolph,425,746,41506,19389,3764,41017,19895,15389,18330,143667,550,63465,59376,3693,746,21177,26060,20914,21176,15706,39530,59665,111702,746,19893,565,123257,19738,39335,550,37756,746,19897,62677,494
2998,2954,3152,2980,,3171,1021,4753,Hyde,,,3168,156,44,3091,154,977,144,4937,,3338,3106,52,,167,1114,164,167,991,2967,3123,4098,,1043,,4410,152,2998,,2836,,154,3255,
4947,4935,6212,6021,0,5302,2566,10626,Alleghany,0,0,5293,1267,325,5220,1232,2241,1191,11137,0,6655,6163,338,34,1319,3116,1315,1319,2316,5108,6375,9249,0,2654,26,9915,1228,4954,0,4830,0,1232,6535,0
16387,16257,24089,22653,216,18100,7510,55126,Duplin,161,267,18084,7159,1463,17746,7461,5886,6739,58741,216,26372,23914,1454,284,7988,11405,7925,7988,6062,17072,24498,44760,267,7697,228,49644,7441,16400,216,15698,267,7461,25938,181
3839,3836,4335,4207,,4107,1729,11027,Gates,,0,4101,484,121,4087,495,1608,459,11562,,4645,4331,120,13,525,2418,524,525,1708,3982,4466,9230,0,1828,,10120,495,3840,,3748,0,495,4611,0
26113,25774,34637,32947,870,26904,13649,59266,Haywood,508,1307,26894,7799,1798,26389,7594,11343,7148,62317,870,36508,34216,1928,1340,8264,15572,8232,8264,11404,25494,34600,50968,1307,13942,917,54941,7572,26126,870,24929,1307,7594,35928,610
19497,19405,26298,25125,358,20668,9418,59178,Stanly,284,465,20663,6521,1263,20474,6409,7871,6080,62806,358,28036,26143,1297,477,6891,12123,6844,6891,8150,19686,26672,49282,465,9775,390,54008,6380,19499,358,18687,465,6409,27783,328
64255,62913,194960,180140,38787,78371,37411,,Missing,9384,27376,78293,82964,7813,75507,90772,20214,81746,,38811,199614,190354,7152,28618,92625,,89497,92609,25031,71454,181742,,27376,41087,39703,,88630,64482,38811,59607,27324,90775,192380,8904
28426,28222,40440,38075,331,29905,12602,76972,Wilson,221,496,29895,11252,1740,29540,11646,10641,10403,81801,331,43120,40080,1769,500,12715,15337,12500,12712,10888,28554,40302,63224,496,12918,355,69710,11527,28437,331,27341,496,11648,42536,261
1752,1747,1894,1801,,1830,658,3827,Tyrrell,,,1828,163,36,1816,141,622,137,4016,,2000,1888,36,,170,810,170,170,637,1732,1895,3288,,673,,3533,141,1753,,1664,,141,1986,
34669,34535,60178,57068,8068,37163,16096,115046,Wayne,1104,10590,37128,16504,2958,36852,17186,12034,15373,123131,8229,66547,59757,3064,10720,18664,20802,18302,18663,12401,35816,62645,94031,10697,17062,8296,103693,16993,34692,8265,33627,10325,17190,65744,1597
8605,8593,11394,10987,122,9107,4340,25757,Montgomery,94,150,9105,2662,472,9070,2645,3774,2475,27173,122,12137,11348,500,184,2846,5743,2820,2846,3865,8847,11659,21266,150,4470,144,23512,2633,8605,122,8390,150,2645,12040,105
19744,19694,29053,27697,273,21068,10094,52801,Lenoir,194,405,21064,8728,1607,20940,9004,8293,8082,55949,273,31283,28922,1650,420,9795,11303,9656,9795,8482,20514,29647,43423,405,10365,301,47933,8955,19748,273,19342,405,9004,31001,233
11703,11683,16248,15553,158,12439,5730,32530,Scotland,99,203,12436,4288,809,12390,4351,4822,3909,34823,158,17488,16181,885,239,4810,6531,4764,4810,4953,12162,16653,26793,203,5961,194,29381,4340,11703,158,11486,203,4351,17357,123
70141,69205,95208,88576,1035,73563,25994,159560,Alamance,654,1400,73541,23497,4046,71951,24006,21294,21952,169509,1035,100782,93881,4347,1426,25793,29035,25228,25792,21849,67996,92893,132145,1400,26926,1043,145046,23641,70159,1035,65589,1400,24006,98579,730
