At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - NC
11858,16723,8374,16723,16600,16311,8172,8374,8363,8174,3588,8374,16723,24700,25178,25312,25365,62306,16372,52172,55198,56474,17186,57478,60882,62507,Robeson,215,215,215,98,268,25097,24963,24485,11760,1496,985,122048,1496,985,1574,1496,606,1048,985,408,98425,20565,130625,109195,ROBESON COUNTY,25097,14656,2354,16307,16032,16305,44626,44505,43354,14226,41326,13617,15107,2220,15106,14892,40288,39321,13744,37570,40319
2340,2606,1097,2606,2598,2572,1674,1097,1096,1086,666,1097,2606,3658,3694,3703,3703,6685,2961,5928,6096,6199,3161,6392,6580,6718,Perquimans,,,,,,3703,3694,3658,2340,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3703,1143,257,1208,1195,1206,5490,5479,5385,2904,5249,1039,1099,234,1099,1091,5085,5005,2727,4889,5088
21994,26551,34073,26541,26178,25314,10877,34071,33855,32794,10981,34073,26551,58592,60517,61096,61187,122755,26137,103636,111280,115154,27202,110147,118489,123389,Johnston,484,484,484,136,563,60612,60033,58108,21858,3715,2418,196283,3663,2396,3820,3476,1062,2434,2275,702,156585,28558,209339,175612,JOHNSTON COUNTY,60624,34837,4217,40602,38904,40544,78967,78496,75922,21923,71834,33064,38544,4102,38535,36961,74069,71923,21333,68297,74176
15745,14817,18272,14813,14726,14481,7483,18272,18241,17978,8180,18272,14817,32582,33090,33208,33222,67419,20637,59758,62635,64065,21084,62822,65932,67602,Randolph,123,123,123,82,133,33085,32967,32459,15663,892,575,135556,892,575,958,892,560,664,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33089,21386,4229,23489,22936,23484,43155,43043,42104,16295,40544,20469,22446,4255,22443,21938,40909,40122,15938,38714,40955
785,1872,86,1872,1863,1807,754,86,84,81,31,86,1872,1888,1947,1958,1958,3483,1069,3143,3286,3374,1086,3250,3395,3504,Hyde,,,,,,1958,1947,1888,785,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1958,164,51,178,175,178,3314,3305,3220,1035,3086,154,168,44,168,164,3206,3122,1025,2989,3206
2158,2220,1862,2219,2204,2173,1109,1862,1860,1857,1049,1862,2220,4030,4064,4081,4082,6955,2732,6265,6437,6579,2821,6654,6834,7009,Alleghany,,,,,,4081,4064,4030,2158,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4082,1372,379,1418,1412,1418,5522,5502,5387,2417,5247,1276,1318,364,1318,1311,5212,5126,2368,4989,5223
6004,6248,5918,6245,6191,6083,3032,5917,5900,5807,2881,5918,6248,12220,12432,12503,12546,29972,8165,25298,26847,27549,8469,27437,29210,30085,Duplin,341,341,330,91,380,12162,12091,11890,5913,2196,1639,55126,2160,1622,2268,1938,472,1677,1447,332,44760,11405,58741,49644,DUPLIN COUNTY,12166,7886,1634,8773,8638,8770,19044,19006,18412,6363,17613,7609,8433,1652,8432,8306,17416,16919,6181,16242,17439
1279,2007,347,2006,1995,1978,1150,347,347,334,129,347,2007,2312,2342,2353,2366,4920,1851,4396,4549,4643,1943,4678,4850,4988,Gates,0,0,0,0,12,2353,2342,2312,1279,90,43,11027,90,43,149,90,11,69,43,0,9230,2418,11562,10120,GATES COUNTY,2354,535,129,586,579,586,4253,4244,4181,1803,4053,506,545,132,545,541,4027,3965,1719,3847,4029
11923,13031,9854,13030,12876,12554,6631,9854,9843,9707,5278,9854,13031,22362,22820,22985,23033,38001,14145,33851,35169,36124,14615,35747,37128,38234,Haywood,101,101,101,14,148,22884,22719,22261,11909,1532,931,59266,1532,931,1627,1532,700,1036,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22885,8241,2128,8717,8654,8708,27890,27761,26942,11787,25974,7619,8082,1998,8080,8025,26985,26213,11636,25301,27006
8183,8654,7315,8654,8595,8425,4473,7315,7308,7228,3636,7315,8654,15750,16000,16066,16076,29946,9966,26705,27780,28320,10339,28231,29398,30067,Stanly,97,97,97,74,107,15969,15903,15653,8109,716,537,59178,716,537,774,716,357,594,537,298,49282,12123,62806,54008,STANLY COUNTY,15969,7145,1441,7620,7487,7617,21673,21613,21195,8541,20370,6758,7185,1417,7183,7078,20535,20165,8251,19410,20541
