At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
11473,24053,24502,24456,24547,16303,16263,16043,8006,8005,7999,7816,3376,8005,16303,61877,55997,Robeson,194,194,194,91,239,1451,913,122048,16151,51773,54837,56087,16931,57047,60478,61971,1451,913,1509,1451,583,986,913,403,98425,20565,130625,ROBESON COUNTY,109195,14458,2287,16137,15866,16135,44325,44291,43161,14061,41138,13442,14967,14966,14748,2160,39176,40118,40134,13588,37418
2253,3546,3583,3581,3583,2551,2549,2524,1642,1032,1032,1022,611,1032,2551,6631,6139,Perquimans,,,,,,0,0,12861,2912,5887,6059,6154,3106,6345,6533,6657,0,0,20,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1127,243,1188,1178,1188,5449,5443,5355,2863,5218,1030,1091,1091,1083,225,4976,5048,5051,2687,4857
21010,56653,58683,58408,58754,25631,25473,24762,10516,32638,32521,31477,10376,32640,25639,121824,114094,Johnston,414,414,414,118,475,3558,2317,196283,25711,102677,110405,114157,26712,109194,117626,122102,3515,2300,3614,3333,1008,2340,2183,677,156585,28558,209339,JOHNSTON COUNTY,175612,34383,4083,40177,38507,40156,78311,78110,75604,21621,71478,32591,38141,38136,36548,3999,71557,73641,73676,21035,67903
15147,31620,32141,32094,32153,14386,14354,14149,7288,17648,17633,17364,7790,17648,14390,67049,63624,Randolph,107,107,107,69,115,872,568,135556,20315,59388,62337,63724,20724,62384,65575,67171,872,568,936,872,549,646,568,438,111702,26060,143667,RANDOLPH COUNTY,123257,21188,4109,23349,22789,23347,42886,42830,41914,16066,40324,20283,22300,22298,21781,4144,39988,40758,40778,15733,38537
770,1876,1935,1931,1935,1857,1855,1803,741,78,76,73,29,78,1857,3471,3357,Hyde,,,,,,0,,4753,1064,3118,3266,3358,1080,3229,3380,3488,0,,11,0,0,,,,4098,1114,4937,HYDE COUNTY,4410,166,51,180,177,180,3297,3291,3203,1029,3063,152,166,166,162,44,3104,3191,3192,1020,2966
2092,3937,3982,3971,3983,2205,2194,2163,1092,1777,1777,1774,1000,1777,2206,6932,6507,Alleghany,,,,,,34,0,10626,2700,6243,6415,6540,2787,6635,6813,6979,34,0,67,34,24,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1364,368,1415,1409,1415,5497,5483,5370,2395,5237,1268,1312,1312,1305,351,5110,5195,5202,2349,4975
5747,11748,11951,11920,11996,5969,5951,5865,2944,5670,5657,5571,2717,5671,5971,29758,27301,Duplin,312,312,312,86,354,2164,1612,55126,8039,25095,26660,27351,8324,27224,29010,29851,2129,1596,2227,1913,456,1646,1426,327,44760,11405,58741,DUPLIN COUNTY,49644,7793,1583,8717,8580,8715,18907,18879,18301,6285,17518,7518,8378,8378,8251,1606,16813,17311,17327,6106,16151
1239,2255,2284,2283,2296,1949,1948,1933,1110,335,335,322,129,335,1950,4892,4597,Gates,0,0,0,0,11,77,41,11027,1822,4383,4538,4625,1906,4653,4826,4969,77,41,145,77,0,67,41,0,9230,2418,11562,GATES COUNTY,10120,526,128,579,572,579,4245,4236,4177,1778,4050,500,541,541,538,130,3959,4015,4017,1692,3842
11536,21810,22276,22219,22307,12766,12716,12440,6521,9414,9407,9274,5002,9414,12767,37772,35802,Haywood,96,96,96,13,126,1508,919,59266,13967,33675,34991,35894,14418,35555,36932,37894,1508,919,1576,1508,688,997,919,509,50968,15572,62317,HAYWOOD COUNTY,54941,8188,2082,8671,8613,8665,27647,27599,26811,11648,25859,7567,8042,8041,7987,1955,26085,26842,26855,11503,25189
7873,15332,15597,15559,15605,8467,8434,8291,4368,7043,7038,6954,3439,7043,8467,29875,28163,Stanly,87,87,87,66,95,698,490,59178,9865,26586,27688,28238,10248,28152,29336,29945,698,490,751,698,351,561,490,285,49282,12123,62806,STANLY COUNTY,54008,7082,1399,7557,7422,7554,21637,21623,21216,8498,20372,6701,7132,7132,7022,1383,20176,20541,20545,8197,19395
