Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37477,37405,51126,48236,647,41854,15354,122048,Robeson,360,886,41837,12887,1918,41461,12972,13076,11755,130625,647,57014,51009,2045,896,14264,20565,14200,14263,13544,39637,53410,98425,886,16004,664,109195,12957,37489,647,35834,886,12973,56547,415
4871,4865,5869,5700,0,5302,2814,12861,Perquimans,0,0,5299,1040,206,5265,985,2608,936,13463,0,6406,5850,221,15,1089,3671,1085,1089,2781,5142,6182,10957,0,3002,11,11854,985,4873,0,4764,0,985,6350,0
69685,69421,103942,96409,1109,74853,24487,196283,Johnston,502,1371,74815,31314,3575,73612,33105,20410,29255,209339,1109,112170,103453,3701,1383,35934,28558,35168,35933,21010,69697,102382,156585,1371,25261,1120,175612,32923,69713,1109,66045,1371,33109,110151,550
39229,39128,59350,56425,550,41518,19588,135556,Randolph,425,744,41482,19188,3742,41062,19534,15421,18079,143667,550,63174,59136,3674,744,20912,26060,20688,20911,15737,39586,59518,111702,744,19905,565,123257,19458,39249,550,37796,744,19536,62494,494
2935,2934,3087,2960,,3139,1019,4753,Hyde,,,3136,156,44,3080,152,975,143,4937,,3306,3085,52,,167,1114,164,167,991,2955,3111,4098,,1043,,4410,151,2935,,2817,,152,3244,
4893,4890,6144,5967,0,5267,2557,10626,Alleghany,0,0,5258,1259,321,5194,1218,2236,1181,11137,0,6610,6108,336,34,1309,3116,1305,1309,2313,5082,6341,9249,0,2649,26,9915,1218,4900,0,4786,0,1218,6499,0
16164,16158,23756,22486,216,17910,7486,55126,Duplin,161,267,17895,7072,1450,17661,7354,5875,6656,58741,216,26073,23724,1439,284,7879,11405,7833,7879,6050,17007,24346,44760,267,7670,228,49644,7350,16174,216,15614,267,7354,25761,181
3826,3824,4318,4196,,4096,1725,11027,Gates,,0,4090,478,121,4083,491,1604,455,11562,,4628,4315,120,13,519,2418,518,519,1704,3979,4457,9230,0,1824,,10120,491,3827,,3741,0,491,4601,0
25719,25624,34173,32759,867,26746,13606,59266,Haywood,508,1302,26736,7759,1793,26296,7527,11305,7103,62317,867,36302,34014,1920,1335,8221,15572,8189,8221,11380,25406,34467,50968,1302,13909,914,54941,7523,25732,867,24789,1302,7527,35787,609
19336,19322,26049,24979,358,20581,9386,59178,Stanly,284,465,20576,6452,1253,20421,6321,7849,6009,62806,358,27877,25985,1285,477,6819,12123,6773,6819,8137,19637,26554,49282,465,9750,390,54008,6305,19338,358,18612,465,6321,27659,328
58094,57750,186103,173769,38377,71182,35272,,Missing,9230,25946,71108,82195,7731,68959,88492,18311,80830,,38400,189770,183765,7098,27171,91417,,88680,91401,22601,64988,173077,,25946,37920,39290,,87615,58318,38400,54562,25894,88495,183585,8221
28124,28104,39899,37808,330,29734,12565,76972,Wilson,221,496,29725,11101,1728,29434,11408,10616,10249,81801,330,42749,39787,1755,500,12515,15337,12336,12512,10874,28464,40061,63224,496,12890,354,69710,11353,28135,330,27229,496,11410,42266,261
1736,1733,1877,1786,,1816,656,3827,Tyrrell,,,1814,160,36,1805,140,620,136,4016,,1983,1873,36,,167,810,167,167,634,1721,1881,3288,,670,,3533,140,1737,,1650,,140,1972,
