Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
38022,37736,48914,42444,ROBESON COUNTY,14301,360,42426,13263,41868,13153,,12139,647,14260,,98425,,14301,109195,36128,889,13412,57353,415,,7815,52111,647,15474,122048,ROBESON,889,1961,13411,130625,,58046,51748,2092,899,14703,20565,14596,14702,13624,39993,54145,889,14301,16131,664,13365,38035,647
4926,4898,5750,5347,PERQUIMANS COUNTY,2641,0,5344,1058,5299,2632,,957,0,2641,,10957,,2641,11854,4793,0,1009,6403,0,,1797,5948,0,2841,12861,PERQUIMANS,0,209,1009,13463,,6473,5906,226,16,1110,3671,1104,1110,2804,5171,6229,0,2641,3030,11,1008,4928,0
70850,69886,97510,75884,JOHNSTON COUNTY,35813,502,75844,31978,74221,20475,,29973,1109,35567,,156585,,35814,175612,66428,1382,34514,111491,550,,14859,106514,1109,24617,196283,JOHNSTON,1382,3640,34510,209339,,114231,104683,3768,1394,36953,28558,35888,36952,21088,70201,103561,1382,35813,25406,1120,33688,70880,1109
39391,39034,56835,41584,RANDOLPH COUNTY,20829,425,41548,19673,40998,15356,,18606,550,20768,,111702,,20829,123257,37679,747,20238,62949,494,,10852,60214,550,19587,135556,RANDOLPH,747,3806,20236,143667,,63861,59609,3740,747,21530,26060,21204,21529,15692,39487,59907,747,20829,19926,565,20025,39411,550
3018,2968,2993,3188,HYDE COUNTY,1194,,3185,157,3107,980,,144,,1192,,4098,,1194,4410,2849,,156,3273,,,579,3174,,1024,4753,HYDE,,44,156,4937,,3357,3120,52,,169,1114,166,169,994,2980,3137,,1194,1046,,152,3018,
4956,4914,6002,5334,ALLEGHANY COUNTY,2606,0,5325,1287,5239,2238,,1199,0,2600,,9249,,2607,9915,4803,0,1243,6574,0,,1531,6232,0,2563,10626,ALLEGHANY,0,325,1243,11137,,6707,6151,344,34,1339,3116,1335,1339,2320,5125,6412,0,2606,2664,26,1237,4963,0
16480,16290,22812,18267,DUPLIN COUNTY,7500,161,18251,7295,17884,5903,,6868,216,7485,,44760,,7500,49644,15728,268,7617,26222,182,,4051,24338,216,7544,55126,DUPLIN,268,1480,7617,58741,,26709,24084,1477,285,8157,11405,8070,8157,6080,17203,24766,268,7500,7739,228,7578,16493,216
3854,3850,4222,4130,GATES COUNTY,1572,,4124,484,4100,1614,,461,,1572,,9230,,1572,10120,3761,0,499,4629,0,,949,4354,,1735,11027,GATES,0,121,499,11562,,4673,4348,120,13,530,2418,529,530,1713,3991,4475,0,1572,1833,,498,3855,
26086,25645,32879,27023,HAYWOOD COUNTY,15748,508,27013,7852,26441,11244,0,7215,870,15704,37,50968,37,15748,54941,24794,1312,7670,36042,610,37,8671,34686,870,13573,59266,HAYWOOD,1312,1821,7670,62317,37,36694,34155,1951,1345,8326,15572,8289,8326,11401,25542,34706,1312,15748,13962,917,7640,26099,870
19665,19531,25342,20866,STANLY COUNTY,9807,284,20860,6605,20627,7888,,6188,358,9790,,49282,,9807,54008,18796,465,6536,28024,328,,5439,26595,358,9450,59178,STANLY,465,1278,6536,62806,,28342,26387,1309,477,6999,12123,6932,6999,8178,19833,26903,465,9807,9815,390,6498,19669,358
