Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
30693,39695,38108,154,37284,13939,Robeson,68,201,10328,1479,37271,12392,8088,130625,154,48904,39658,1703,236,11384,20565,11374,13062,35807,46336,98425,14845,182,109195,8811,30702,29866,201,8811,48846,80
4371,5050,4957,,4903,2665,Perquimans,,,839,163,4902,2502,645,13463,,5781,5048,195,,878,3671,878,2702,4806,5645,10957,2897,,11854,677,4373,4312,,677,5780,
63474,88519,82888,,69346,22750,Johnston,,,25869,2948,69319,19802,22006,209339,,98816,88492,3203,,29470,28558,29405,20452,65842,91711,156585,23655,,175612,25018,63500,60882,,25019,98724,
36105,50720,48716,,39047,18124,Randolph,,,15881,3047,39018,15077,13632,143667,,56227,50701,3131,,17180,26060,17165,15501,37697,53578,111702,18632,,123257,14596,36123,35084,,14597,56183,
2748,2871,2776,,2961,975,Hyde,,,140,37,2961,938,119,4937,,3110,2871,44,,149,1114,149,964,2852,2992,4098,1008,,4410,123,2748,2657,,123,3110,
4433,5456,5358,,4786,2440,Alleghany,,,1113,272,4781,2168,985,11137,,5945,5452,291,,1159,3116,1158,2260,4700,5813,9249,2551,,9915,1019,4437,4373,,1019,5939,
14368,19731,18944,,16390,6812,Duplin,,,5896,1164,16382,5648,4900,58741,,22936,19727,1239,,6546,11405,6542,5876,15851,21747,44760,7115,,49644,5359,14372,14044,,5359,22924,
3451,3826,3749,,3847,1623,Gates,,,396,104,3843,1519,343,11562,,4280,3825,112,,433,2418,433,1657,3771,4167,9230,1769,,10120,374,3452,3406,,374,4276,
23578,29810,28771,,24920,12353,Haywood,,,6577,1529,24913,10824,5862,62317,,31907,29805,1655,,6987,15572,6984,11058,24100,30677,50968,12713,,54941,6227,23583,22909,,6227,31897,
17343,22026,21319,,18893,8651,Stanly,,,5240,1061,18890,7590,4464,62806,,24402,22024,1124,,5509,12123,5505,7913,18264,23504,49282,9037,,54008,4681,17345,16855,,4681,24395,
23033,91250,83398,79,27485,9473,Missing,0,30,68326,6132,27430,3341,62288,,79,102001,90858,5777,446,74070,,73916,3606,24688,93044,,9383,264,,67746,23238,21031,30,67748,101376,0
25434,33850,32416,,27236,11700,Wilson,,,8918,1448,27231,10252,7604,81801,,37186,33840,1515,,9950,15337,9929,10553,26441,35359,63224,12068,,69710,8406,25442,24812,,8408,37160,
1508,1617,1567,,1667,613,Tyrrell,,,138,33,1666,580,106,4016,,1811,1616,33,,144,810,144,599,1602,1740,3288,632,,3533,108,1509,1461,,108,1810,
