At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
2464,4556,4583,4583,4595,2725,2725,2708,1530,1847,1847,1837,934,1847,2725,11718,10888,Martin,11,11,11,0,23,176,125,21211,4077,10304,10730,10903,4246,11010,11508,11766,176,125,218,176,125,134,125,107,17917,5372,22440,MARTIN COUNTY,19455,2360,526,2567,2504,2567,8981,8975,8828,3595,8474,2198,2368,2368,2323,501,8282,8395,8401,3469,7981
2672,5339,5396,5396,5406,3608,3608,3589,1844,1788,1788,1750,828,1788,3608,11369,10714,Warren,0,0,0,0,10,141,111,18843,3797,10030,10486,10730,3881,10538,11079,11388,141,111,151,141,95,117,111,83,16200,5173,19731,WARREN COUNTY,17477,2285,493,2572,2528,2572,8665,8656,8410,3293,8112,2208,2466,2466,2426,508,7949,8137,8147,3206,7711
1288,2318,2349,2349,2364,1606,1606,1586,924,743,743,732,364,743,1606,5519,5010,Jones,0,0,0,0,15,483,283,8956,1884,4729,4934,5077,1982,5172,5422,5579,483,283,541,459,115,350,283,65,7704,2257,9419,JONES COUNTY,8314,1134,242,1229,1212,1229,3809,3807,3727,1625,3579,1016,1111,1111,1090,227,3561,3616,3616,1592,3430
5761,12034,12296,12296,12316,5436,5436,5349,2785,6860,6860,6685,2976,6860,5436,25343,24217,Davie,0,0,0,0,20,394,239,40760,8108,22286,23615,24289,8294,23279,24665,25433,394,239,470,394,183,300,239,164,33901,9279,42846,DAVIE COUNTY,37262,7046,1664,7896,7688,7896,17067,17053,16583,6447,15839,6729,7538,7538,7339,1639,16037,16440,16451,6305,15318
21363,54957,56139,56139,56154,21927,21927,21473,9216,33248,33248,32520,11853,33250,21932,229404,198075,Cumberland,964,964,964,294,972,91377,69461,310252,36123,183178,193788,198190,39004,211798,223715,229568,90701,69137,91418,88485,7543,69519,67323,5408,252655,40937,335509,CUMBERLAND COUNTY,277878,49940,6360,58226,55744,58223,79924,79804,77270,25101,73373,46917,54278,54277,52250,6224,72401,74337,74393,24491,68938
4619,9448,9537,9537,9564,6879,6879,6804,3234,2658,2658,2644,1385,2658,6880,25018,23482,Mcdowell,0,0,0,0,26,512,338,43474,8013,22164,23130,23500,8315,23524,24596,25077,512,338,557,512,275,351,338,218,36617,9517,45756,MCDOWELL COUNTY,39943,3191,629,3363,3331,3363,21157,21143,20753,7411,19821,2833,2972,2972,2951,551,19841,20172,20177,7244,18993
3992,6317,6350,6350,6392,4632,4632,4602,3031,1630,1630,1627,907,1630,4633,13811,12973,Cherokee,88,88,88,54,129,570,429,27420,6292,12604,12882,13084,6512,13394,13700,13930,570,429,684,570,218,528,429,181,23877,8723,28612,CHEROKEE COUNTY,25640,2816,849,2837,2834,2837,10409,10404,10296,5445,10008,2541,2555,2555,2554,798,9899,9989,10001,5313,9634
2244,3859,3892,3892,3894,2715,2715,2699,1638,1177,1177,1160,606,1177,2717,8560,7678,Chowan,,,,,,122,57,13243,3048,7273,7592,7740,3374,8108,8451,8634,122,57,190,122,27,117,57,0,11164,3521,13943,CHOWAN COUNTY,12171,1660,406,1772,1768,1772,6672,6666,6561,2941,6326,1601,1704,1704,1701,434,5834,5917,5919,2614,5615
17764,64538,68067,68067,68099,33018,33018,31015,8342,35035,35035,33509,9422,35036,33036,115701,111968,Orange,14,14,14,0,27,1242,844,142010,22713,97070,105219,112095,22997,100004,108447,115897,1242,844,1332,1242,396,921,844,344,119925,21654,148476,ORANGE COUNTY,130842,22530,3008,25450,24629,25443,89115,89016,82576,19593,76232,22315,25216,25216,24362,3081,80013,85908,85958,19288,73911
3754,7735,7835,7835,7835,5782,5782,5712,2791,2053,2053,2023,963,2053,5782,17252,16156,Alexander,,,,,,332,143,35620,5525,15379,15936,16263,5742,16391,17000,17361,332,143,431,332,122,245,143,59,30040,7667,37497,ALEXANDER COUNTY,32781,2662,354,2914,2865,2914,14016,14006,13803,5266,13397,2457,2674,2674,2633,337,13160,13339,13344,5129,12779
31829,124636,128322,128322,128326,68031,68031,65996,16295,60117,60117,58466,15467,60117,68035,237481,224723,Durham,174,174,174,67,174,7394,5034,301307,41950,202028,214871,224839,43061,212727,226277,237693,7382,5034,7485,7323,1824,5089,4997,1436,255829,43764,321488,DURHAM COUNTY,275950,51759,5927,58933,56477,58926,171275,171161,162418,35310,153645,49965,56782,56782,54510,5841,155327,162907,162968,34673,147066
