Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
38416,37994,49353,42859,ROBESON COUNTY,16310,361,42841,13490,42107,13191,11,12347,653,16231,27,98425,27,16310,109195,36353,902,13652,57868,419,27,8377,52753,653,15537,122048,ROBESON,902,1985,13651,130625,27,58783,52230,2113,912,15012,20565,14859,15011,13663,40181,54573,902,16310,16195,672,13583,38429,653
4949,4913,5779,5377,PERQUIMANS COUNTY,2850,0,5374,1069,5315,2642,,972,0,2846,,10957,,2850,11854,4807,0,1024,6430,0,,1886,5987,0,2854,12861,PERQUIMANS,0,212,1024,13463,,6518,5936,227,19,1122,3671,1115,1122,2816,5182,6251,0,2850,3043,12,1023,4951,0
71492,70286,98239,76582,JOHNSTON COUNTY,41850,505,76542,32481,74619,20525,0,30381,1115,41325,0,156585,0,41858,175612,66743,1392,35109,112471,553,0,15962,107758,1115,24720,196283,JOHNSTON,1392,3690,35105,209339,0,115750,105527,3814,1404,37764,28558,36460,37763,21145,70495,104368,1392,41850,25512,1126,34126,71523,1115
39666,39217,57282,41918,RANDOLPH COUNTY,23903,426,41883,20061,41218,15403,,18889,553,23759,,111702,,23904,123257,37840,754,20595,63592,497,,11680,60849,553,19671,135556,RANDOLPH,754,3842,20593,143667,,64711,60095,3773,754,22039,26060,21620,22038,15737,39685,60500,754,23903,20007,568,20325,39686,553
3056,2986,3010,3213,HYDE COUNTY,1373,,3210,161,3124,986,,144,,1345,,4098,,1373,4410,2866,,157,3294,,,627,3213,,1030,4753,HYDE,,44,157,4937,,3386,3139,52,,173,1114,170,173,999,2996,3157,,1373,1051,,153,3056,
4991,4936,6030,5362,ALLEGHANY COUNTY,2841,0,5353,1299,5258,2242,,1207,0,2828,,9249,,2842,9915,4823,0,1251,6604,0,,1617,6275,0,2568,10626,ALLEGHANY,0,326,1251,11137,,6748,6180,349,34,1352,3116,1346,1352,2324,5139,6438,0,2841,2673,26,1244,4998,0
16712,16405,23030,18516,DUPLIN COUNTY,8497,161,18499,7392,18018,5922,,6982,216,8468,,44760,,8499,49644,15832,269,7757,26465,183,,4356,24710,216,7575,55126,DUPLIN,269,1492,7757,58741,,27091,24322,1487,289,8286,11405,8178,8286,6091,17288,24949,269,8497,7761,228,7701,16725,216
3873,3857,4233,4163,GATES COUNTY,1736,,4155,493,4115,1624,,468,,1733,,9230,,1736,10120,3765,0,507,4656,0,,1002,4381,,1745,11027,GATES,0,121,507,11562,,4723,4363,121,15,545,2418,541,545,1724,4002,4495,0,1736,1845,,506,3874,
26174,25649,32942,27117,HAYWOOD COUNTY,17404,508,27107,7926,26451,11247,0,7279,874,17258,37,50968,37,17404,54941,24789,1316,7743,36138,612,37,9135,34851,874,13590,59266,HAYWOOD,1316,1835,7743,62317,37,36880,34233,1968,1349,8414,15572,8371,8414,11403,25531,34773,1316,17404,13983,921,7710,26187,874
19787,19604,25490,20977,STANLY COUNTY,11075,284,20971,6703,20696,7913,0,6269,358,11017,0,49282,0,11075,54008,18863,468,6631,28203,329,0,5844,26812,358,9492,59178,STANLY,468,1295,6631,62806,0,28589,26546,1325,480,7132,12123,7039,7132,8209,19889,27060,468,11075,9863,390,6584,19791,358
77147,74539,193535,94288,MISSING COUNTY,124606,9474,94198,85085,90339,23958,,83704,39083,123012,,,,124610,,70772,28517,94331,210825,9414,,38094,211700,39059,41426,,MISSING,28569,7994,94328,,,220559,204379,7354,29833,96438,,91917,96422,29728,85685,199287,28582,124602,46496,39987,90757,77382,39083
28697,28392,38563,30359,WILSON COUNTY,16321,222,30344,11596,29848,10703,0,10750,332,16200,13,63224,13,16323,69710,27481,504,12148,43241,266,13,8194,41214,332,12707,76972,WILSON,504,1782,12146,81801,13,44144,40642,1811,508,13277,15337,12889,13274,10962,28825,40925,504,16321,13039,356,11918,28710,332
1773,1756,1813,1858,TYRRELL COUNTY,718,,1856,165,1823,629,,139,,718,,3288,,718,3533,1674,,144,1996,,,402,1918,,665,3827,TYRRELL,,36,144,4016,,2031,1900,36,,173,810,173,173,643,1738,1903,,718,679,,144,1774,
34981,34722,57844,37601,WAYNE COUNTY,19869,1125,37565,16997,37121,12083,13,15896,8323,19758,26,94031,26,19870,103693,33793,10411,17919,66680,1616,26,9532,61350,8155,16229,115046,WAYNE,10686,3021,17915,123131,26,67870,60626,3124,10826,19443,20802,18873,19442,12483,36054,63462,10803,19869,17223,8426,17581,35005,8394
8667,8635,11108,9146,MONTGOMERY COUNTY,4260,94,9144,2732,9096,3795,,2560,122,4246,,21266,,4260,23512,8426,150,2738,12139,105,,2267,11550,122,4372,25757,MONTGOMERY,150,483,2738,27173,,12259,11469,515,186,2927,5743,2893,2927,3890,8871,11753,150,4260,4510,144,2712,8668,122
19942,19847,28099,21301,LENOIR COUNTY,11406,196,21297,8965,21109,8345,0,8351,276,11358,0,43423,0,11407,47933,19472,412,9384,31442,237,0,6077,29636,276,10183,52801,LENOIR,412,1642,9384,55949,0,31909,29365,1685,427,10181,11303,9921,10181,8540,20658,30035,412,11406,10462,306,9242,19946,276
11807,11756,15725,12617,SCOTLAND COUNTY,5959,99,12614,4421,12527,4835,,4015,158,5922,,26793,,5959,29381,11552,205,4488,17642,124,,3084,16489,158,5768,32530,SCOTLAND,205,834,4488,34823,,17874,16360,912,241,5016,6531,4910,5016,4968,12280,16906,205,5959,6004,194,4446,11807,158
70887,69418,89350,74385,ALAMANCE COUNTY,38481,654,74363,24164,72340,21345,0,22558,1037,38104,0,132145,0,38483,145046,65755,1431,24909,99747,734,0,15947,96859,1037,26098,159560,ALAMANCE,1431,4099,24909,169509,0,102657,94747,4413,1449,26823,29035,25976,26822,21938,68312,93907,1431,38481,27085,1046,24292,70904,1037
3393,3350,5048,3752,CAMDEN COUNTY,1618,0,3743,784,3665,1268,,766,1084,1614,,8407,,1618,9354,3198,852,814,5340,0,,814,5305,1084,1384,10327,CAMDEN,852,116,814,10867,,5486,5234,129,889,845,1833,823,845,1374,3495,5131,852,1618,1503,1096,800,3395,1084
8128,8049,10221,8659,GREENE COUNTY,3765,54,8655,2412,8523,2497,,2227,68,3741,,16884,,3765,18372,7926,84,2562,11349,60,,1770,10773,68,2918,20022,GREENE,84,367,2562,21069,,11557,10655,386,101,2797,3592,2742,2797,2541,8376,10872,84,3765,2987,82,2538,8129,68
37701,37339,56898,39973,ROWAN COUNTY,21815,1480,39955,19881,39373,14442,58,18292,2886,21666,81,110729,81,21815,122048,35720,3518,19652,63959,1628,81,10775,60286,2886,19216,133830,ROWAN,3518,3294,19650,142088,81,65002,59577,3440,3551,21478,25371,21068,21478,14804,37621,61020,3518,21815,19872,2918,19352,37716,2886
7143,7100,8245,7695,NORTHAMPTON COUNTY,3432,57,7692,1330,7588,3460,,1244,70,3421,,16132,,3432,17363,6931,108,1360,9157,68,,2128,8589,70,3820,18570,NORTHAMPTON,108,303,1360,19483,,9298,8523,328,124,1479,5256,1461,1479,3554,7384,8822,108,3432,3950,83,1353,7146,70
21097,20785,29445,22808,WILKES COUNTY,11643,160,22799,9838,22384,8530,,9217,184,11555,,54628,,11643,59783,20044,234,9776,32991,180,,5936,31087,184,10638,64946,WILKES,234,1948,9776,68412,,33515,30702,2072,260,10447,15162,10373,10447,8776,21564,31636,234,11643,11028,206,9733,21105,184
25860,25573,39076,26970,LINCOLN COUNTY,17590,199,26963,14740,26556,10699,,13772,239,17440,,67981,,17592,74647,25065,366,15542,43166,236,,8097,41676,239,13077,81663,LINCOLN,366,2179,15542,86111,,44092,40957,2211,387,16735,15456,16244,16735,10890,25975,41081,366,17590,13337,271,15145,25863,239
27562,27348,36126,28545,CALDWELL COUNTY,16168,149,28533,10297,28239,11951,,9374,202,16057,,65842,,16168,71809,26550,317,10098,39563,183,,8613,37887,202,13473,78015,CALDWELL,317,1373,10098,82178,,40054,37525,1439,325,11184,16769,11007,11184,12141,27390,38004,317,16168,13763,219,9975,27570,202
