At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
11002,23104,23482,23476,23505,15728,15725,15533,7724,7606,7603,7423,3196,7606,15728,61411,55629,Robeson,148,148,148,82,171,1426,905,122048,15955,51399,54471,55713,16673,56567,60020,61488,1426,905,1481,1426,557,972,905,398,98425,20565,130625,ROBESON COUNTY,109195,14299,2242,15992,15724,15991,44015,43994,42870,13874,40842,13296,14832,14831,14609,2114,38957,39893,39909,13443,37198
2199,3456,3488,3487,3488,2514,2513,2490,1627,974,974,966,572,974,2514,6630,6133,Perquimans,,,,,,0,0,12861,2904,5881,6056,6148,3098,6344,6536,6653,0,0,20,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1124,239,1185,1174,1185,5448,5445,5362,2859,5220,1026,1087,1087,1079,221,4977,5046,5049,2683,4855
20154,54432,56071,56049,56101,24759,24751,24132,10252,31190,31176,30178,9854,31192,24767,121336,113528,Johnston,122,122,122,48,142,3527,2266,196283,25471,102089,109853,113597,26505,108700,117161,121451,3494,2252,3595,3317,979,2298,2126,632,156585,28558,209339,JOHNSTON COUNTY,175612,34102,4024,39881,38226,39879,77975,77930,75441,21502,71281,32291,37838,37834,36240,3929,71361,73428,73461,20910,67672
14533,30529,30974,30967,30994,14064,14062,13878,7140,16826,16821,16567,7344,16826,14068,66767,63350,Randolph,84,84,84,49,100,851,561,135556,20147,59100,62074,63446,20544,62077,65296,66866,851,561,913,851,534,635,561,433,111702,26060,143667,RANDOLPH COUNTY,123257,20996,4040,23176,22615,23176,42777,42740,41830,15970,40230,20085,22120,22118,21600,4070,39913,40671,40691,15644,38454
758,1855,1908,1908,1908,1839,1839,1789,733,69,69,66,25,69,1839,3451,3334,Hyde,,,,,,0,,4753,1056,3098,3244,3334,1070,3209,3359,3465,0,,11,0,0,,,,4098,1114,4937,HYDE COUNTY,4410,162,50,176,173,176,3278,3275,3186,1020,3047,152,166,166,162,44,3082,3168,3168,1012,2946
1997,3721,3751,3751,3752,2065,2065,2038,1067,1686,1686,1683,930,1686,2066,6908,6486,Alleghany,,,,,,21,0,10626,2676,6225,6395,6519,2763,6614,6791,6958,21,0,62,21,21,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1363,363,1414,1408,1414,5482,5473,5362,2379,5230,1264,1308,1308,1301,345,5094,5178,5185,2331,4961
5422,11029,11176,11176,11191,5813,5813,5742,2885,5339,5339,5263,2524,5340,5815,29682,27205,Duplin,24,24,24,13,36,2166,1608,55126,7953,24987,26569,27254,8250,27149,28932,29760,2132,1595,2227,1919,451,1642,1413,312,44760,11405,58741,DUPLIN COUNTY,49644,7738,1559,8660,8523,8660,18873,18856,18277,6240,17492,7448,8313,8313,8185,1580,16789,17284,17299,6061,16126
1196,2188,2215,2214,2216,1886,1885,1872,1070,329,329,316,126,329,1887,4874,4592,Gates,,,,,,69,49,11027,1802,4379,4531,4623,1886,4635,4808,4948,69,49,134,69,0,78,49,0,9230,2418,11562,GATES COUNTY,10120,524,128,578,572,578,4236,4227,4167,1758,4042,498,540,540,537,130,3945,4003,4005,1672,3832
11122,21159,21543,21538,21572,12513,12508,12257,6420,8936,8936,8808,4689,8936,12514,37628,35675,Haywood,94,94,94,13,122,1470,904,59266,13873,33540,34868,35771,14315,35409,36800,37722,1470,904,1553,1470,666,986,904,509,50968,15572,62317,HAYWOOD COUNTY,54941,8152,2058,8643,8591,8642,27526,27516,26739,11591,25787,7531,8015,8014,7962,1926,26002,26757,26770,11438,25105
7431,14593,14802,14799,14809,8036,8036,7912,4139,6691,6688,6606,3237,6691,8036,29735,28021,Stanly,75,75,75,55,82,687,476,59178,9778,26444,27549,28103,10155,28015,29200,29791,687,476,737,687,345,554,476,284,49282,12123,62806,STANLY COUNTY,54008,7035,1384,7510,7378,7510,21544,21538,21135,8426,20293,6649,7085,7085,6974,1366,20099,20460,20464,8128,19319
