People Fully Vaccinated,County,People Vaccinated with at Least One Dose
22587,Robeson,26179
3584,Perquimans,4154
47214,Johnston,56854
29094,Randolph,32507
2112,Hyde,2397
3547,Alleghany,3905
11005,Duplin,12800
2642,Gates,3170
17677,Haywood,20881
13057,Stanly,15759
10201,Missing County,12691
18754,Wilson,22122
1140,Tyrrell,1258
24276,Wayne,28647
6482,Montgomery,7467
14167,Lenoir,15853
0,,0
8876,Scotland,10161
50188,Alamance,57106
2405,Camden,2889
5605,Greene,6299
25813,Rowan,30182
5844,Northampton,6555
15391,Wilkes,17035
18851,Lincoln,22611
20869,Caldwell,22976
5931,Polk,6575
19598,Surry,21057
13289,Macon,14274
2632,Clay,2975
9965,Yadkin,10754
27407,Onslow,29999
11279,Richmond,12475
82219,Buncombe,94335
52645,Union,64083
43927,Cabarrus,55522
2803,Washington,3222
24694,Harnett,27908
22851,Burke,25502
62725,Out of State,76969
16118,Granville,19211
49139,Gaston,57271
11099,Edgecombe,13455
19081,Watauga,21605
7131,Hoke,8467
5709,Bertie,6788
10929,Person,12852
15226,Beaufort,16748
39555,Catawba,45483
12631,Jackson,14148
357610,Wake,426750
23688,Cleveland,26236
14325,Sampson,17144
12875,Columbus,14045
6484,Caswell,7345
5210,Yancey,5860
15640,Lee,18170
5765,Hertford,6769
23032,Rockingham,26354
262951,Mecklenburg,340034
22289,Carteret,24262
3333,Swain,3615
5547,Avery,6308
11279,Vance,13517
14765,Halifax,16701
14111,Rutherford,16379
23988,Nash,29083
7939,Ashe,8900
9797,Stokes,11206
2031,Graham,2243
15673,Pender,18017
28528,Craven,31339
158943,Guilford,183280
7412,Madison,8241
23049,Chatham,26505
51304,Pitt,55728
32968,Moore,36007
111308,Forsyth,127033
39505,Iredell,45991
11506,Transylvania,12257
6306,Martin,7157
5545,Warren,6913
2554,Jones,2860
11767,Davie,13416
55480,Cumberland,62204
13065,McDowell,14750
7103,Cherokee,7992
4244,Chowan,5183
62828,Orange,70113
9439,Alexander,10852
113164,Durham,130386
35392,Henderson,39215
10747,Pasquotank,12666
4748,Pamlico,5240
3687,Mitchell,4420
6486,Currituck,7967
52264,Brunswick,57203
36767,Davidson,41231
16355,Franklin,18775
16724,Dare,18336
8035,Bladen,8997
74889,New hanover,82828
5596,Anson,6713
