Second Doses Administered,First Doses Administered,Total Doses Administered,County
801,2774,3575,Ashe 
1387,7381,8768,Beaufort 
587,3756,4343,Bertie 
5154,20705,25859,Brunswick 
7401,16628,24029,Cabarrus 
676,1731,2407,Camden 
790,2670,3460,Caswell 
213,1153,1366,Clay 
15781,26953,42734,Cumberland 
649,1960,2609,Gates 
19423,46001,65424,Guilford 
4637,12585,17222,Henderson 
373,1177,1550,Jones 
4436,10373,14809,Randolph 
1639,5272,6911,Vance 
296,1692,1988,Washington 
2698,6446,9144,Watauga 
3100,8610,11710,Wayne 
1900,6392,8292,Wilkes 
1534,3750,5284,Alexander 
483,2586,3069,Anson 
850,2821,3671,Avery 
5031,10725,15756,Burke 
8608,16900,25508,Catawba 
4294,12221,16515,Chatham 
927,3480,4407,Chowan 
4338,11615,15953,Craven 
3367,6072,9439,Davie 
17528,40313,57841,Durham 
2461,6366,8827,Lee 
489,3502,3991,Macon 
828,2855,3683,Madison 
706,3068,3774,Montgomery 
2149,6301,8450,Pender 
706,2279,2985,Polk 
1351,4531,5882,Stokes 
710,3202,3912,Transylvania 
118,557,675,Tyrrell 
7862,18848,26710,Union 
1989,4277,6266,Yadkin 
6791,15968,22759,Alamance 
3693,8837,12530,Carteret 
919,2990,3909,Cherokee 
2276,9246,11522,Cleveland 
1155,4686,5841,Currituck 
2676,6427,9103,Franklin 
315,1158,1473,Graham 
3628,7131,10759,Granville 
3955,10252,14207,Harnett 
3719,7572,11291,Haywood 
1285,3361,4646,Hoke 
6665,15810,22475,Iredell 
867,3587,4454,Jackson 
528,2953,3481,Martin 
1026,5241,6267,Mcdowell 
31832,82904,114736,Mecklenburg 
6623,15578,22201,Moore 
3246,9284,12530,Nash 
702,2221,2923,Pamlico 
2942,8116,11058,Pasquotank 
1859,4542,6401,Person 
1307,5602,6909,Richmond 
5350,11057,16407,Robeson 
1990,7203,9193,Sampson 
539,4256,4795,Scotland 
3587,9202,12789,Surry 
625,2241,2866,Yancey 
401,1970,2371,Alleghany 
2012,4083,6095,Bladen 
10213,25367,35580,Buncombe 
5457,10265,15722,Caldwell 
1269,4618,5887,Columbus 
1550,7929,9479,Dare 
6858,13848,20706,Davidson 
1583,4576,6159,Duplin 
1058,4494,5552,Edgecombe 
19770,41138,60908,Forsyth 
7840,19740,27580,Gaston 
487,2566,3053,Greene 
1502,5543,7045,Halifax 
904,3276,4180,Hertford 
320,991,1311,Hyde 
5705,18301,24006,Johnston 
2336,6815,9151,Lenoir 
2555,7544,10099,Lincoln 
8427,28844,37271,Missing 
589,1494,2083,Mitchell 
13838,29526,43364,New Hanover
527,2473,3000,Northampton 
4061,11824,15885,Onslow 
10864,22607,33471,Orange 
621,2853,3474,Perquimans 
7998,23281,31279,Pitt 
1750,7759,9509,Rockingham 
4141,10683,14824,Rowan 
2054,5496,7550,Rutherford 
1360,6359,7719,Stanly 
357,1641,1998,Swain 
37424,107155,144579,Wake 
371,2183,2554,Warren 
3880,7936,11816,Wilson 
