First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
0.059596049992737876,0.16165667267844722,Missing or Undisclosed,0.04192987578104484,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.19552899870423607
,0.0008516246929773596,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.000938642088656524
0.020671581597578002,0.016297868072988216,Missing or Undisclosed,0.013662606111325911,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,18-24,0.018518341148509324
0.4667045067978458,0.3887308563524039,Missing or Undisclosed,0.19986087062879596,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,65-74,0.2861845841035626
0.0603147123380839,0.13307414228224543,Missing or Undisclosed,0.04751599839243206,Henderson ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.16373708320017044
0.05007473841554559,0.11052457934675025,Missing or Undisclosed,0.028849028400597908,Caswell ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.12655737704918033
0.06957257072570726,0.1288623095543215,Missing or Undisclosed,0.046509840098400985,Stanly ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.17410071942446043
0.08300711369280633,0.38239286406825673,Male,0.029970114071642042,Edgecombe ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.3502213477619282
,0.008793789922946924,Missing or Undisclosed,,New Hanover ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.009999166736105323
0.07967313585291114,0.14975315414152496,Missing or Undisclosed,0.033707865168539325,Hertford ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.14638783269961977
,,Missing or Undisclosed,,Martin ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
,0.004618937644341801,Missing or Undisclosed,,Caswell ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.006557377049180328
0.011667178385016887,0.004461141112937309,Missing or Undisclosed,0.004912496162112374,Beaufort ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.00457796852646638
0.00033698399326032014,0.00016846361185983828,Missing or Undisclosed,0.00016849199663016007,Randolph ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0001399972000559989
0.05379019908116386,0.10449981405727035,Missing or Undisclosed,0.028139356814701377,Warren ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.17152858809801633
0.006355932203389831,0.0037267080745341614,Missing or Undisclosed,0.00423728813559322,Mitchell ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.004956629491945477
,,Missing or Undisclosed,,Wayne ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.1261016147157982,0.6474732750242955,Female,0.08148104335482345,Cumberland ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.6261533566656061
0.00034965034965034965,0.0001466275659824047,Missing or Undisclosed,0.0,Rowan ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0
0.12261982928430729,0.04537172011661808,Missing or Undisclosed,0.08675311884438608,Cumberland ,Race,Missing or Undisclosed,County,Asian or Pacific Islander,Missing or Undisclosed,0.048043270760419976
,,Missing or Undisclosed,,Avery ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.18036985424277804,0.9811514034009425,Missing or Undisclosed,0.0787917592557719,Currituck ,Ethnicity,Non-Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.9858623939679547
0.4777674129353234,0.37271073377804725,Missing or Undisclosed,0.2583955223880597,Granville ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.3189407023603915
,0.0014323715981174546,Missing or Undisclosed,,Henderson ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0012783636944710772
0.01677050272324752,0.03254505360809064,Missing or Undisclosed,0.011049723756906077,Onslow ,Ethnicity,Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.03573238722757222
,,Missing or Undisclosed,,Warren ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Suppressed,
0.4294566253574833,0.34942796199340703,Missing or Undisclosed,0.21758817921830315,Edgecombe ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,75+,0.44909001475651744
0.129552840972767,0.1298098517742177,Missing or Undisclosed,0.09305539990287273,Orange ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.1390765451398582
0.032308398347865995,0.1032258064516129,Missing or Undisclosed,0.022097292335933914,Rowan ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.13551927948212777
,0.0018248175182481751,Missing or Undisclosed,,Hyde ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0034364261168384883
0.04367968232958306,0.10496183206106871,Missing or Undisclosed,0.024487094639311716,Montgomery ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.14263685427910563
,0.00018221574344023323,Missing or Undisclosed,,Cumberland ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,9.09049588655061e-05
0.06885116851168512,0.11985063633716447,Missing or Undisclosed,0.042637146371463715,Guilford ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.14551499479464017
0.131640931693274,0.9779650032404407,Missing or Undisclosed,0.06365407543109715,Macon ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.9807347670250897
,0.057832248180773656,Missing or Undisclosed,,Duplin ,Race,Missing or Undisclosed,County,Other,Missing or Undisclosed,0.08566355969818021
,0.011029411764705881,Missing or Undisclosed,,Hoke ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0032634032634032634
,0.006504770164787511,Missing or Undisclosed,,Watauga ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.006386258533362696
,,Missing or Undisclosed,,Franklin ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
