At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
9892,21190,21508,21507,21521,14802,14801,14632,7222,6592,6592,6444,2606,6592,14802,61100,55275,Robeson,114,114,114,64,127,1376,896,122048,15885,51142,54189,55358,16588,56315,59736,61173,1376,896,1427,1376,529,962,896,394,98425,20565,130625,ROBESON COUNTY,109195,14098,2205,15767,15503,15766,43979,43958,42857,13854,40841,13091,14597,14596,14389,2074,38904,39783,39799,13417,37155
2001,3186,3214,3213,3214,2432,2431,2411,1574,782,782,775,427,782,2432,6605,6108,Perquimans,,,,,,0,0,12861,2898,5867,6035,6123,3087,6322,6510,6628,0,0,20,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1105,235,1166,1155,1166,5442,5439,5355,2852,5217,1013,1070,1070,1064,217,4971,5038,5041,2681,4854
17868,49861,51371,51368,51406,23541,23538,22966,9809,27774,27774,26839,8049,27776,23547,120556,112713,Johnston,56,56,56,10,83,3371,2235,196283,25241,101430,109181,112782,26226,107932,116396,120668,3340,2222,3439,3164,894,2267,2096,614,156585,28558,209339,JOHNSTON COUNTY,175612,33628,3950,39406,37741,39405,77823,77780,75315,21382,71140,31816,37307,37303,35757,3848,71202,73175,73208,20779,67518
13113,28209,28612,28611,28634,13571,13571,13404,6877,14994,14993,14758,6214,14994,13575,66355,62944,Randolph,47,47,47,22,65,802,557,135556,19953,58760,61710,63038,20327,61674,64891,66466,802,557,876,802,515,629,557,429,111702,26060,143667,RANDOLPH COUNTY,123257,20746,3954,22923,22360,22923,42667,42630,41729,15858,40126,19842,21845,21843,21340,3985,39813,40544,40564,15539,38361
721,1785,1835,1835,1835,1776,1776,1729,703,59,59,56,18,59,1776,3431,3310,Hyde,,,,,,,,4753,1049,3078,3216,3310,1065,3192,3334,3434,,,,,,,,,4098,1114,4937,HYDE COUNTY,4410,163,49,176,173,176,3258,3255,3161,1016,3029,150,163,163,159,42,3057,3147,3147,1007,2928
1779,3281,3310,3310,3311,1887,1887,1862,1047,1423,1423,1419,732,1423,1888,6899,6467,Alleghany,,,,,,20,0,10626,2665,6212,6379,6500,2757,6603,6783,6943,20,0,55,20,20,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1349,359,1400,1394,1400,5488,5479,5369,2378,5234,1254,1298,1298,1290,342,5089,5169,5176,2323,4958
4915,10197,10321,10321,10351,5573,5573,5516,2771,4748,4748,4681,2144,4749,5575,29475,26972,Duplin,0,0,0,0,27,2123,1579,55126,7847,24786,26361,27027,8125,26942,28725,29551,2090,1568,2183,1879,428,1622,1390,302,44760,11405,58741,DUPLIN COUNTY,49644,7634,1530,8565,8428,8565,18803,18787,18207,6167,17429,7340,8200,8200,8082,1552,16711,17193,17205,5993,16056
1132,2069,2093,2092,2094,1816,1815,1803,1037,277,277,266,95,277,1817,4848,4561,Gates,,,,,,68,49,11027,1781,4357,4507,4591,1865,4611,4781,4914,68,49,125,68,0,77,49,0,9230,2418,11562,GATES COUNTY,10120,515,125,568,564,568,4221,4212,4149,1740,4028,491,532,532,530,128,3928,3980,3982,1653,3817
9835,19365,19724,19724,19752,12196,12196,11962,6251,7443,7443,7318,3571,7443,12197,37458,35507,Haywood,85,85,85,13,112,1419,897,59266,13762,33407,34729,35600,14175,35246,36642,37555,1419,897,1506,1419,629,976,897,509,50968,15572,62317,HAYWOOD COUNTY,54941,8098,2021,8596,8543,8596,27453,27443,26680,11525,25729,7474,7965,7964,7912,1882,25920,26646,26659,11371,25036
6528,13219,13408,13408,13409,7448,7448,7336,3775,5918,5918,5841,2726,5918,7448,29460,27720,Stanly,42,42,42,27,43,667,474,59178,9647,26202,27298,27801,10005,27779,28957,29519,667,474,720,667,329,551,474,284,49282,12123,62806,STANLY COUNTY,54008,6955,1365,7428,7296,7428,21371,21365,20994,8311,20157,6565,6995,6995,6885,1343,19939,20251,20255,8020,19163
