Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
15966,20474,19704,,17397,7293,Columbus,,,4916,875,17389,6418,3908,55508,,23046,20466,999,,5649,11419,5644,6659,17132,22048,44013,7658,,48224,4500,15974,15796,,4500,23033,
8275,9312,9087,,8808,3796,Caswell,,,1366,231,8803,3565,971,22604,,10250,9307,342,,1442,5005,1442,3671,8589,9955,18383,4013,,19944,1032,8280,8116,,1032,10245,
6919,7675,7456,,7579,3457,Yancey,,,739,126,7579,3331,610,18069,,8482,7675,130,,903,4744,900,3493,7463,8202,14782,3623,,15969,756,6919,6846,,756,8479,
19957,29255,27687,930,21493,9053,Lee,263,986,8412,1089,21487,7701,7385,61779,930,32062,29214,1160,1026,9543,10404,9524,7965,20753,30151,47136,9397,969,52144,8327,19959,19372,986,8327,31997,272
7137,9217,8924,,7858,3585,Hertford,,,2296,509,7854,3076,1858,23677,,10474,9214,526,,2616,4836,2614,3286,7764,10060,19299,3812,,20898,2077,7140,7066,,2077,10468,
28959,38673,37352,,30914,14744,Rockingham,,,11053,2199,30903,12545,9221,91010,,42608,38665,2299,,11694,18996,11688,12938,29926,40979,72695,15237,,79246,9706,28967,28131,,9706,42591,
396628,600933,559723,9982,426512,117465,Mecklenburg,4227,10924,187665,18678,426222,94560,172109,1110356,9982,649814,600746,18958,10984,212318,127686,211712,97028,404150,602739,852079,120429,10002,937616,194136,396788,377632,10924,194143,648858,4443
25187,34963,33776,685,26617,14882,Carteret,301,690,9705,1979,26611,12602,8317,69473,685,37957,34943,1999,725,10615,17867,10599,12908,26089,36484,57537,15206,702,62070,9071,25190,24774,690,9071,37900,299
3757,4988,4877,325,3997,2111,Swain,108,486,1027,167,3996,1836,821,14271,325,5606,4979,187,499,1110,2803,1110,1879,3914,5427,11137,2277,333,12138,897,3758,3731,486,897,5592,211
7030,8172,7985,,7628,3208,Avery,,,1210,235,7624,2973,1033,17557,,8960,8169,251,,1332,4020,1327,3129,7537,8747,14969,3380,,15935,1139,7033,6952,,1139,8951,
15371,20862,19799,,16848,7006,Vance,,,5663,961,16832,6045,5031,44535,,23076,20849,982,,6228,8487,6219,6262,16021,21684,34092,7244,,37671,5478,15383,14768,,5479,23051,
18893,22358,21561,,20444,8793,Halifax,,,3723,718,20432,8075,3117,50010,,24560,22346,780,,4116,10690,4111,8360,19821,23544,39391,9140,,43237,3453,18905,18444,,3453,24543,
18651,22773,21996,20,21199,9218,Rutherford,10,21,4413,1184,21188,8024,3775,67029,20,26001,22739,1262,49,4753,14855,4747,8546,20556,24990,53422,9818,48,58398,4068,18657,18201,21,4068,25956,10
32127,45853,43790,,34460,15316,Nash,,,13692,2599,34448,12717,12208,94298,,49911,45843,2664,,15451,17956,15429,13108,33747,47439,73765,15772,,81106,13716,32136,31582,,13717,49877,
9836,12412,11996,,10864,4959,Ashe,,,2578,712,10858,4247,2355,27203,,13685,12408,666,,2821,7249,2815,4588,10628,13206,22479,5254,,24214,2572,9840,9641,,2572,13673,
12544,17932,17328,,13353,7012,Stokes,,,5962,1275,13346,5737,5005,45591,,19783,17926,1432,,6430,9917,6423,5933,13070,19032,37145,7365,,40306,5382,12550,12323,,5382,19769,
2529,3097,3043,,2768,1418,Graham,,,769,117,2767,1301,556,8441,,3548,3095,138,,780,2067,780,1341,2712,3481,6767,1479,,7414,566,2531,2487,,566,3547,
19993,27014,25760,,21568,9125,Pender,,,7408,1106,21559,8019,6235,63060,,29903,27007,1187,,8335,11716,8321,8252,20951,28359,49058,9439,,53967,7014,20000,19525,,7014,29880,
34871,49631,47490,3972,36783,18301,Craven,344,5451,11509,2221,36767,15736,9960,102139,3972,54844,49586,2229,5504,12557,20103,12541,15982,35152,52112,80387,18494,4008,87409,10743,34880,33558,5451,10743,54759,283
201611,287967,271027,7412,212732,76992,Guilford,4050,7891,78737,12573,212637,60369,70569,537174,7412,308888,287893,13260,7904,88252,83442,88006,61652,202747,289375,418240,79130,7425,459608,78870,201672,193046,7891,78870,308534,4218
9750,10792,10464,,10241,4171,Madison,,,1044,214,10236,3957,929,21755,,11407,10788,236,,1166,5034,1161,4012,9974,11018,17939,4248,,19327,1038,9754,9535,,1038,11397,
27462,38125,36245,,28882,14596,Chatham,,0,10835,2217,28863,12379,9743,74470,,40753,38111,2154,24,11847,18634,11814,12639,27755,38590,59661,14793,,65198,10649,27474,26502,0,10651,40677,0
60432,86109,81943,4986,63797,23535,Pitt,2618,5304,21442,2482,63762,18435,18322,180742,4986,93368,86065,2689,5334,24237,25045,24121,18699,61623,88369,142466,24123,5004,155511,20647,60458,58635,5304,20647,93187,2735
37844,50020,48023,44,39398,21287,Moore,0,68,12754,2910,39390,18377,11089,100880,44,53470,49996,3042,91,13981,24192,13927,18734,38336,51158,79328,21776,64,86466,12108,37848,36890,68,12108,53385,0
143193,199449,187325,348,154217,53689,Forsyth,25,436,55800,9063,154104,44601,50589,382295,348,216346,199341,9275,459,61670,62720,61463,46184,146236,202472,295401,55487,370,325690,55800,143278,136388,436,55801,216003,28
50215,79293,74818,,51970,23238,Iredell,,,29388,4323,51949,18915,26134,181806,,84778,79278,4349,,32808,29513,32773,19372,50202,79590,140623,23721,,156060,29063,50230,48684,,29063,84722,
14022,16731,16148,,14590,7339,Transylvania,,,2809,970,14588,6369,2611,34385,,17520,16730,961,,2930,10809,2925,6492,14055,16864,29099,7453,,30988,2708,14023,13537,,2708,17513,
8229,9838,9541,,9018,4103,Martin,,,1849,386,9014,3717,1526,22440,,10969,9835,432,,1951,5372,1951,3887,8726,10575,17917,4319,,19455,1606,8232,8015,,1606,10965,
7445,9300,9008,,7965,3633,Warren,,,1882,432,7961,3201,1678,19731,,10050,9296,423,,2085,5173,2080,3291,7793,9675,16200,3714,,17477,1851,7449,7330,,1851,10041,
3253,4032,3893,,3495,1696,Jones,,,871,164,3494,1532,726,9419,,4434,4032,195,,939,2257,939,1576,3383,4254,7704,1771,,8314,779,3253,3167,,779,4433,
14927,20698,19635,,15691,7432,Davie,,,5938,1439,15682,5993,5270,42846,,22208,20692,1487,,6517,9279,6506,6173,15036,20974,33901,7660,,37262,5765,14933,14365,,5765,22188,
69566,175807,166843,66178,75281,36176,Cumberland,5458,81495,39550,4851,75186,25867,33878,335509,68126,201411,175740,5211,81542,44588,40937,44530,26574,71839,190459,252655,37602,68160,277878,38048,69598,66787,79070,38049,201211,5817
17245,19335,18704,,19192,7270,McDowell,,,2538,427,19183,6843,2002,45756,,21854,19331,521,,2662,9517,2662,7080,18416,20954,36617,7601,,39943,2086,17249,16702,,2086,21845,
8860,10615,10449,,9669,5653,Cherokee,,,2394,591,9665,5062,1748,28612,,12073,10612,709,,2404,8723,2404,5277,9426,11820,23877,5986,,25640,1752,8863,8701,,1752,12069,
5225,6488,6279,,6121,2825,Chowan,,,1368,353,6117,2472,1180,13943,,7585,6487,344,,1464,3521,1464,2813,5936,7304,11164,3157,,12171,1262,5226,5099,,1262,7581,
78454,117042,109476,16719,81425,29826,Orange,8140,17423,20554,2610,81369,19076,19945,148476,16719,121539,117006,2614,17458,22656,21654,22582,19321,75412,113377,119925,30268,16729,130842,21833,78480,72812,17411,21833,121374,8333
12031,13865,13484,,12847,5292,Alexander,,,2059,235,12844,5057,1702,37497,,15073,13863,256,,2226,7667,2224,5226,12514,14573,30040,5482,,32781,1832,12033,11782,,1832,15068,
148057,197781,186819,3746,155930,39253,Durham,216,3996,45451,4982,155875,34055,42206,321488,3746,209722,197719,5112,4030,49762,43764,49660,34596,148047,197494,255829,39932,3774,275950,45916,148091,140867,3996,45916,209531,224
46226,57838,55438,,49132,23915,Henderson,,,11653,3407,49119,20508,10865,117417,,61574,57830,3421,,12442,30961,12429,21018,47108,58761,95451,24439,,103234,11604,46234,44573,,11604,61548,
13286,16864,16359,44,15085,6105,Pasquotank,15,44,4135,735,15065,5355,3406,39824,44,19455,16839,848,61,4309,6841,4309,5865,14596,18775,31068,6728,61,34029,3509,13294,12909,44,3509,19418,15
5562,6382,6258,,5853,3177,Pamlico,,,895,200,5853,2977,763,12726,,6829,6382,216,,976,3866,975,3059,5773,6668,10805,3275,,11540,820,5562,5495,,820,6828,
5163,5936,5793,,5727,2553,Mitchell,,,858,193,5726,2360,671,14964,,6718,5936,221,,991,3810,989,2478,5652,6510,12229,2699,,13195,773,5163,5122,,773,6715,
8300,9845,9636,,9351,3747,Currituck,,,1722,297,9343,3450,1479,27763,,11157,9841,317,,1806,4551,1804,3853,9149,10871,21675,4170,,23787,1541,8304,8157,,1541,11147,
60143,79096,77073,156,63180,39916,Brunswick,0,161,19904,5674,63168,34242,17738,142820,156,84546,79079,5554,185,21181,46605,21147,35218,62016,82081,121795,40772,166,129086,18780,60150,59179,161,18780,84476,0
47848,65903,63053,,51656,22505,Davidson,,,19870,3627,51637,18878,16970,167609,,72926,65890,3813,,21270,31089,21246,19424,49449,69319,131285,23237,,144432,18042,47861,46083,,18042,72883,
21052,31199,29524,,22320,9469,Franklin,,,10411,1610,22312,7859,9131,69685,,33954,31193,1669,,11634,11935,11610,8014,21528,31939,54524,9683,,59978,10141,21058,20393,,10141,33922,
19850,24006,23087,,20732,8910,Dare,,,4447,458,20725,8452,3847,37009,,25533,24000,489,,4801,8201,4797,8651,19999,24446,30088,9140,,32745,4150,19856,19240,,4150,25522,
10472,13539,12981,0,11709,5344,Bladen,0,0,3322,515,11705,4829,2787,32722,0,15366,13526,582,10,3647,7459,3639,5042,11341,14663,26077,5624,10,28574,3054,10475,10194,0,3054,15344,0
90285,133757,127223,5197,95238,41038,New Hanover,2894,5547,38303,5122,95222,33022,34521,234473,5197,143325,133744,5322,5547,42540,43147,42423,33685,91863,135713,191812,42034,5197,206724,38262,90297,87505,5547,38263,143192,3027
7413,9157,8884,,7994,3404,Anson,,,1890,294,7994,3110,1533,24446,,10149,9157,356,,2155,4730,2152,3200,7900,9790,19608,3556,,21306,1744,7413,7351,,1744,10146,
