Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37302,37290,50808,48009,647,41735,15326,122048,Robeson,360,886,41717,12771,1903,41376,12828,13063,11630,130625,647,56761,50762,2038,896,14130,20565,14079,14129,13530,39554,53211,98425,886,15983,664,109195,12825,37315,647,35732,886,12829,56341,415
4860,4857,5846,5680,0,5297,2809,12861,Perquimans,0,0,5294,1033,205,5261,973,2604,924,13463,0,6392,5830,219,15,1080,3671,1078,1080,2778,5138,6171,10957,0,2997,11,11854,973,4862,0,4756,0,973,6339,0
69394,69303,103357,96158,1109,74691,24445,196283,Johnston,502,1371,74654,31179,3557,73532,32811,20386,29101,209339,1109,111815,103168,3685,1383,35741,28558,35023,35740,20987,69617,102167,156585,1371,25222,1120,175612,32756,69422,1109,65948,1371,32815,109926,550
39025,39019,58946,56189,550,41414,19546,135556,Randolph,425,744,41379,19050,3713,41004,19335,15408,17943,143667,550,62891,58879,3650,744,20733,26060,20546,20732,15729,39539,59333,111702,744,19873,565,123257,19310,39044,550,37696,744,19337,62294,494
2931,2931,3080,2957,,3129,1018,4753,Hyde,,,3126,156,44,3078,149,974,141,4937,,3296,3080,52,,167,1114,164,167,989,2953,3109,4098,,1041,,4410,149,2931,,2816,,149,3242,
4875,4875,6118,5947,0,5247,2548,10626,Alleghany,0,0,5238,1254,318,5185,1210,2230,1174,11137,0,6584,6085,334,34,1303,3116,1300,1303,2311,5075,6329,9249,0,2645,26,9915,1210,4882,0,4773,0,1210,6485,0
16148,16145,23664,22405,216,17892,7470,55126,Duplin,161,267,17877,6999,1441,17642,7278,5868,6587,58741,216,25973,23636,1428,284,7797,11405,7756,7797,6046,16989,24255,44760,267,7655,228,49644,7275,16158,216,15602,267,7278,25665,181
3814,3814,4301,4181,,4083,1718,11027,Gates,,0,4078,472,120,4074,486,1598,449,11562,,4608,4300,119,12,513,2418,513,513,1702,3971,4443,9230,0,1821,,10120,486,3815,,3732,0,486,4587,0
25581,25569,34008,32678,867,26677,13578,59266,Haywood,508,1301,26668,7731,1785,26240,7501,11285,7076,62317,867,36201,33934,1917,1334,8190,15572,8160,8190,11371,25351,34383,50968,1301,13897,914,54941,7498,25593,867,24735,1301,7501,35701,609
19295,19294,25943,24900,358,20549,9380,59178,Stanly,284,465,20544,6400,1249,20395,6256,7847,5953,62806,358,27777,25902,1280,477,6751,12123,6719,6751,8137,19616,26481,49282,465,9745,390,54008,6250,19297,358,18589,465,6256,27579,328
55741,55690,182292,170922,38257,68242,34326,,Missing,9194,25634,68167,81581,7690,66203,87157,17442,80128,,38280,185751,180866,7048,26880,90629,,88047,90613,21382,62272,169435,,25634,36494,39168,,86896,55964,38280,52537,25582,87160,179884,8064
28061,28049,39717,37667,330,29647,12546,76972,Wilson,221,496,29638,11014,1717,29365,11289,10608,10159,81801,330,42542,39636,1746,500,12395,15337,12236,12392,10868,28400,39910,63224,496,12875,354,69710,11257,28072,330,27178,496,11291,42097,261
1726,1726,1866,1778,,1811,655,3827,Tyrrell,,,1809,159,36,1802,139,619,135,4016,,1977,1865,36,,166,810,166,166,632,1718,1877,3288,,668,,3533,139,1727,,1643,,139,1968,
34341,34331,59104,56381,7969,36951,15986,115046,Wayne,1081,10512,36916,16082,2909,36704,16580,11996,14974,123131,8129,65626,59009,3015,10582,18093,20802,17833,18093,12356,35679,62012,94031,10562,16948,8159,103693,16549,34363,8129,33438,10251,16582,65049,1577
8573,8572,11299,10922,122,9081,4328,25757,Montgomery,94,150,9079,2612,467,9057,2582,3767,2430,27173,122,12057,11274,497,184,2792,5743,2770,2792,3858,8834,11596,21266,150,4460,144,23512,2580,8573,122,8370,150,2582,11977,105
19567,19567,28624,27380,273,20885,10037,52801,Lenoir,194,405,20881,8541,1580,20808,8753,8263,7889,55949,273,30851,28588,1629,420,9546,11303,9459,9546,8454,20398,29344,43423,405,10316,301,47933,8748,19570,273,19218,405,8753,30672,233
11662,11662,16099,15451,158,12401,5715,32530,Scotland,99,203,12398,4204,795,12358,4243,4821,3821,34823,158,17345,16063,869,239,4705,6531,4678,4705,4945,12130,16537,26793,203,5937,194,29381,4243,11662,158,11472,203,4243,17239,123
68973,68926,93303,87965,1035,73102,25910,159560,Alamance,654,1389,73080,23115,3992,71758,23269,21264,21574,169509,1035,99787,93201,4313,1415,25270,29035,24828,25269,21818,67833,92337,132145,1389,26860,1043,145046,23240,68991,1035,65356,1389,23269,97975,729
3320,3318,5156,4959,1067,3682,1357,10327,Camden,0,842,3673,754,109,3635,755,1248,722,10867,1067,5353,5140,123,877,794,1833,790,794,1355,3473,5069,8407,842,1478,1079,9354,755,3322,1067,3170,842,755,5267,0
