Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
37983,37712,48805,42373,ROBESON COUNTY,13737,360,42356,13192,41819,13141,,12054,647,13708,,98425,,13737,109195,36104,888,13317,57223,415,,7622,51977,647,15452,122048,ROBESON,888,1951,13316,130625,,57886,51634,2085,898,14615,20565,14516,14614,13611,39950,54030,888,13737,16111,664,13275,37996,647
4916,4889,5735,5344,PERQUIMANS COUNTY,2591,0,5341,1055,5297,2621,,951,0,2591,,10957,,2591,11854,4784,0,1002,6399,0,,1779,5931,0,2829,12861,PERQUIMANS,0,208,1002,13463,,6468,5890,226,16,1108,3671,1102,1108,2795,5169,6224,0,2591,3021,11,1001,4918,0
70719,69814,97352,75744,JOHNSTON COUNTY,34119,502,75705,31878,74152,20464,,29880,1109,33940,,156585,,34120,175612,66363,1380,34356,111320,550,,14527,106225,1109,24591,196283,JOHNSTON,1380,3625,34352,209339,,113942,104516,3756,1392,36806,28558,35788,36805,21078,70141,103399,1380,34119,25384,1120,33593,70749,1109
39381,39036,56771,41578,RANDOLPH COUNTY,19970,425,41542,19574,40999,15363,,18540,550,19925,,111702,,19970,123257,37681,746,20162,62844,494,,10599,60128,550,19583,135556,RANDOLPH,746,3795,20160,143667,,63733,59541,3729,746,21409,26060,21099,21408,15699,39493,59813,746,19970,19922,565,19955,39401,550
3008,2965,2990,3183,HYDE COUNTY,1160,,3180,156,3103,978,,144,,1158,,4098,,1160,4410,2846,,156,3268,,,569,3164,,1022,4753,HYDE,,44,156,4937,,3351,3117,52,,168,1114,165,168,993,2976,3132,,1160,1045,,152,3008,
4943,4908,5998,5323,ALLEGHANY COUNTY,2497,0,5314,1282,5230,2240,,1199,0,2493,,9249,,2498,9915,4799,0,1243,6560,0,,1495,6219,0,2565,10626,ALLEGHANY,0,325,1243,11137,,6691,6145,343,34,1334,3116,1330,1334,2322,5118,6400,0,2497,2665,26,1237,4950,0
16472,16283,22762,18254,DUPLIN COUNTY,7176,161,18238,7258,17873,5902,,6826,216,7163,,44760,,7176,49644,15720,267,7572,26172,181,,3918,24285,216,7534,55126,DUPLIN,267,1471,7572,58741,,26653,24037,1468,284,8115,11405,8032,8115,6076,17192,24717,267,7176,7725,228,7538,16485,216
3850,3846,4218,4127,GATES COUNTY,1544,,4121,484,4100,1613,,460,,1544,,9230,,1544,10120,3758,0,498,4628,0,,941,4349,,1734,11027,GATES,0,121,498,11562,,4669,4343,120,13,529,2418,528,529,1713,3991,4475,0,1544,1833,,497,3851,
26024,25612,32832,26983,HAYWOOD COUNTY,15187,508,26973,7841,26417,11238,0,7198,870,15161,37,50968,37,15187,54941,24764,1310,7651,36003,610,37,8524,34605,870,13561,59266,HAYWOOD,1310,1815,7651,62317,37,36638,34104,1947,1343,8312,15572,8276,8312,11399,25520,34671,1310,15187,13956,917,7622,26037,870
19553,19425,25222,20764,STANLY COUNTY,9354,284,20759,6576,20541,7874,,6163,358,9344,,49282,,9354,54008,18701,465,6504,27910,328,,5300,26449,358,9434,59178,STANLY,465,1276,6504,62806,,28206,26252,1305,477,6965,12123,6904,6965,8164,19748,26789,465,9354,9797,390,6469,19555,358
68837,67007,184835,84228,MISSING COUNTY,98823,9452,84149,83461,81007,21696,,82276,39011,98405,,,,98823,,63572,28194,91782,199328,9292,,34462,200758,38987,39017,,MISSING,28246,7869,91779,,,207318,195211,7205,29499,93591,,90075,93575,26912,76813,188468,28246,98823,43409,39910,89193,69066,39011
28447,28207,38148,30075,WILSON COUNTY,13808,221,30063,11351,29646,10645,,10505,331,13773,,63224,,13808,69710,27312,497,11797,42753,261,,7490,40610,331,12620,76972,WILSON,497,1754,11795,81801,,43442,40182,1780,501,12866,15337,12610,12863,10903,28643,40491,497,13808,12944,355,11644,28458,331
1757,1748,1803,1837,TYRRELL COUNTY,589,,1835,164,1817,623,,137,,589,,3288,,589,3533,1666,,142,1988,,,338,1900,,659,3827,TYRRELL,,36,142,4016,,2008,1890,36,,171,810,171,171,638,1734,1898,,589,674,,142,1758,
34767,34581,57342,37328,WAYNE COUNTY,16870,1109,37293,16700,36950,12038,,15576,8264,16828,,94031,,16870,103693,33666,10350,17469,66092,1603,,8709,60605,8100,16126,115046,WAYNE,10617,2979,17465,123131,,67031,60063,3086,10757,18946,20802,18525,18945,12421,35909,62959,10734,16870,17110,8345,17218,34791,8314
8619,8605,11036,9119,MONTGOMERY COUNTY,3681,94,9117,2690,9079,3776,,2512,122,3676,,21266,,3681,23512,8402,150,2690,12078,105,,2080,11453,122,4347,25757,MONTGOMERY,150,477,2690,27173,,12179,11395,506,184,2876,5743,2849,2876,3868,8856,11696,150,3681,4479,144,2668,8619,122
19768,19700,27793,21141,LENOIR COUNTY,9648,194,21137,8813,20989,8299,,8178,273,9631,,43423,,9648,47933,19342,405,9145,31138,233,,5468,29218,273,10109,52801,LENOIR,405,1616,9145,55949,,31480,29030,1659,420,9919,11303,9744,9919,8497,20549,29767,405,9648,10389,301,9057,19772,273
11747,11707,15605,12507,SCOTLAND COUNTY,4960,99,12504,4327,12438,4826,,3942,158,4949,,26793,,4960,29381,11505,203,4395,17446,123,,2830,16336,158,5746,32530,SCOTLAND,203,821,4395,34823,,17610,16238,899,239,4864,6531,4805,4864,4961,12203,16733,203,4960,5983,194,4373,11747,158
70374,69192,88724,73844,ALAMANCE COUNTY,32009,654,73821,23669,72072,21275,,22131,1035,31889,,132145,,32009,145046,65558,1402,24326,98902,731,,14629,95762,1035,25985,159560,ALAMANCE,1402,4056,24326,169509,,101355,94074,4363,1428,26083,29035,25428,26082,21867,68103,93174,1402,32009,26961,1043,23847,70393,1035
3378,3341,5024,3720,CAMDEN COUNTY,1417,0,3711,772,3651,1261,,752,1082,1415,,8407,,1417,9354,3190,850,794,5309,0,,758,5268,1082,1375,10327,CAMDEN,850,114,794,10867,,5431,5209,128,886,825,1833,808,825,1367,3485,5107,850,1417,1495,1094,786,3380,1082
8078,8021,10170,8549,GREENE COUNTY,3129,53,8545,2366,8455,2488,,2197,66,3123,,16884,,3129,18372,7907,84,2516,11225,60,,1595,10675,66,2902,20022,GREENE,84,361,2516,21069,,11367,10582,380,101,2717,3592,2686,2717,2533,8315,10765,84,3129,2973,80,2495,8079,66
37500,37255,56479,39712,ROWAN COUNTY,18585,1479,39695,19452,39247,14423,,17946,2881,18533,,110729,,18585,122048,35652,3481,19202,63325,1624,,9931,59628,2881,19145,133830,ROWAN,3481,3243,19200,142088,,64131,59123,3383,3514,20905,25371,20597,20905,14777,37517,60450,3481,18585,19784,2913,18987,37513,2881
7163,7141,8261,7709,NORTHAMPTON COUNTY,2968,57,7706,1298,7631,3473,,1214,70,2965,,16132,,2968,17363,6977,107,1330,9162,67,,1973,8579,70,3828,18570,NORTHAMPTON,107,298,1330,19483,,9268,8534,324,123,1436,5256,1424,1436,3564,7430,8835,107,2968,3955,83,1323,7166,70
21057,20807,29316,22828,WILKES COUNTY,9976,160,22818,9669,22435,8557,,9063,184,9955,,54628,,9976,59783,20069,233,9596,32857,180,,5377,30867,184,10643,64946,WILKES,233,1926,9596,68412,,33329,30557,2056,259,10242,15162,10189,10242,8806,21621,31523,233,9976,11042,206,9566,21065,184
25716,25518,38824,26827,LINCOLN COUNTY,15114,199,26820,14545,26485,10701,,13557,239,15052,,67981,,15114,74647,25028,363,15227,42880,234,,7514,41216,239,13044,81663,LINCOLN,363,2144,15227,86111,,43653,40662,2175,382,16444,15456,16032,16444,10890,25929,40837,363,15114,13299,269,14905,25720,239
27387,27225,35803,28395,CALDWELL COUNTY,14108,149,28383,10062,28138,11913,,9168,202,14061,,65842,,14108,71809,26433,316,9864,39209,182,,8051,37478,202,13398,78015,CALDWELL,316,1336,9864,82178,,39625,37191,1405,324,10906,16769,10755,10906,12105,27294,37672,316,14108,13692,219,9764,27395,202
6986,6935,8398,7365,POLK COUNTY,2830,88,7361,1648,7279,3299,,1584,100,2820,,17478,,2830,18752,6714,117,1726,9149,97,,1592,8834,100,4130,19940,POLK,117,743,1726,20724,,9301,8723,756,145,1791,6644,1753,1791,3402,7031,8796,117,2830,4255,118,1688,6990,100
24627,24387,33626,25824,SURRY COUNTY,12274,178,25803,10862,25426,10013,,10029,220,12232,,56811,,12274,62223,23377,284,10598,37146,200,,6362,35466,220,12324,67979,SURRY,284,2133,10597,71783,,37620,35180,2272,301,11495,14964,11436,11494,10195,24313,35459,284,12274,12667,227,10573,24641,220
17428,17292,19728,18245,MACON COUNTY,8518,238,18235,2892,18032,7903,,2644,351,8503,,29260,,8518,31614,16733,439,2770,21473,259,,5471,20610,351,8955,34121,MACON,439,814,2770,35858,,21743,20402,845,479,3019,10350,3002,3019,8082,17396,20727,439,8518,9186,405,2759,17435,351
4009,3982,4861,4228,CLAY COUNTY,2316,23,4228,1012,4185,2207,,960,23,2313,,9352,,2316,10050,3878,25,963,5225,25,,1588,5041,23,2548,10740,CLAY,25,318,963,11231,,5336,4968,320,93,1015,3581,1015,1015,2265,4069,5106,25,2316,2610,69,963,4009,23
12918,12829,16982,13543,YADKIN COUNTY,6026,87,13536,4736,13376,5349,,4431,102,6012,,29851,,6026,32660,12449,149,4794,18625,105,,3396,17838,102,6277,35700,YADKIN,149,841,4794,37667,,18859,17693,832,169,5147,7711,5100,5147,5466,12949,17834,149,6026,6403,119,4762,12925,102
96584,95146,93024,109779,OUT OF STATE,25297,,109717,,107381,36788,,,,25155,,,,25297,,93024,,,107381,,,10460,96634,,36788,,OUT O,,,,,,109779,95146,,,,,,,41860,104906,104906,,25297,41860,,,96634,
35696,35328,105976,38795,ONSLOW COUNTY,18339,2500,38777,25259,38180,13554,,23165,49714,18284,,149343,,18339,162055,34226,55802,25955,123077,3027,,9040,111462,48585,18876,180787,ONSLOW,57113,2822,25953,197938,,124659,110536,2949,57335,28529,19026,27784,28529,13869,36852,117913,57279,18339,19845,49790,25494,35717,49767
15565,15431,19465,16856,RICHMOND COUNTY,6503,129,16845,4605,16632,6057,,4186,247,6490,,34516,,6503,38043,15032,283,4643,21987,138,,3606,20496,247,6838,42075,RICHMOND,283,652,4643,44829,,22296,20302,696,320,5120,8183,5072,5120,6191,16143,21031,283,6503,7025,281,4624,15572,247
120460,117483,154682,126445,BUNCOMBE COUNTY,76508,2022,126373,39332,122231,37455,0,38682,3824,76089,0,213777,0,76514,230148,112176,5682,42853,170394,2365,0,32328,167238,3824,47683,248550,BUNCOMBE,5682,8206,42852,261191,0,175815,163103,8022,5711,43659,53494,42481,43651,38103,116375,161389,5682,76508,48490,3862,41796,120523,3824
78047,76783,112375,82254,UNION COUNTY,44770,411,82201,40944,80211,21757,,39278,567,44388,,176616,,44772,202043,72530,897,48146,129138,507,,15923,126815,567,26594,226508,UNION,897,4426,48145,239859,,133757,123548,4418,915,50588,31234,48030,50575,22457,75595,117436,897,44770,27382,589,46198,78080,567
68328,66968,101507,73349,CABARRUS COUNTY,37265,860,73306,38264,70946,19404,,36808,1449,37003,,161462,,37265,181104,63250,2105,43309,116465,936,,13002,113128,1449,24610,202607,CABARRUS,2105,4346,43305,216453,,120907,110288,4412,2121,45437,29064,43414,45429,19965,66733,107102,2105,37265,25313,1463,41871,68356,1449
3963,3950,5313,4374,WASHINGTON COUNTY,2116,16,4363,1699,4331,1953,,1497,28,2114,,9274,,2117,10083,3788,55,1557,6146,33,,1403,5568,28,2367,10985,WASHINGTON,55,398,1557,11580,,6194,5534,470,56,1764,2932,1760,1764,2099,4146,5900,55,2116,2602,38,1556,3973,28
33468,33169,48314,35711,HARNETT COUNTY,15784,348,35674,16837,35123,11292,,15737,876,15724,,100990,,15784,112079,31701,1285,17776,55129,391,,7541,52213,876,13523,126086,HARNETT,1296,1883,17775,135976,,56284,51493,1956,1348,19225,17458,18710,19224,11615,33460,51582,1296,15784,13962,947,17448,33490,876
30045,29806,38214,31479,BURKE COUNTY,15095,261,31465,9959,31106,11382,,9135,346,15048,,73860,,15095,79893,28733,489,10019,42397,311,,7908,40446,346,13232,86176,BURKE,489,1589,10019,90485,,42924,40084,1703,498,10947,18720,10802,10946,11605,29907,40355,489,15095,13619,367,9932,30060,346
22195,21924,33947,23520,GRANVILLE COUNTY,11826,516,23504,9154,23036,7109,165,8725,4350,11786,1124,48058,1124,11826,52711,20872,4749,9702,37832,561,1124,5426,36281,4350,8884,57336,GRANVILLE,4749,1259,9699,60443,1124,38557,35820,1201,4785,10252,10674,10047,10249,7310,21868,35771,4749,11826,9072,4368,9546,22211,4350
