Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Dose - NC,county1,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Population 18 Plus,At Least One Booster/Additional Dose - NC Provider - 5Plus,Population 12 Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Dose - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,At Least One Dose - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Booster/Additional Dose - NC Provider - 18Plus,Tiberius at Least One Booster/Additional Dose - 5Plus,Population 5 Plus,County,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,Population,At Least One Dose - All Programs,At Least One Booster/Additional Dose - Pharmacy,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,At Least One Booster/Additional Dose - NC,Population 65 Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - All Programs 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus
653,5203,5251,42981,ROBESON COUNTY,16926,11615,12374,30,16896,42963,13535,42165,6241,38051,38495,361,38508,98425,11615,109195,2299,905,13682,57979,49432,420,13681,15548,60,11557,30,122048,Robeson,13611,905,52862,52829,1988,653,130625,58962,5251,2115,915,15066,11615,20565,13,14909,15065,653,13674,40236,54676,52315,905,16209,30,16790,672,13199,8553,36405,58933,5251,16896
0,668,673,5391,PERQUIMANS COUNTY,2915,2242,974,,2915,5388,1073,5321,1514,4915,4951,0,4953,10957,2242,11854,398,0,1026,6440,5781,0,1026,2853,,2241,,12861,Perquimans,1025,0,5991,5977,212,0,13463,6536,673,228,19,1126,2242,3671,,1119,1126,0,2815,5188,6261,5940,0,3043,,2909,12,2641,1912,4807,6514,673,2915
1115,22829,23235,76760,JOHNSTON COUNTY,43033,19755,30448,10,43000,76719,32564,74720,8787,70339,71612,505,71643,156585,19755,175612,7386,1395,35212,112672,98345,555,35208,24733,35,19526,10,196283,Johnston,34199,1395,107981,107935,3698,1115,209339,116053,23237,3818,1407,37886,19761,28558,0,36557,37885,1115,21157,70574,104533,105653,1395,25530,10,42365,1126,20530,16173,66782,115999,23235,43000
554,12732,12857,41992,RANDOLPH COUNTY,24470,11598,18923,0,24455,41957,20121,41244,6159,39228,39701,427,39721,111702,11598,123257,5684,755,20634,63685,57324,498,20632,19672,13,11548,0,135556,Randolph,20356,755,60925,60887,3847,554,143667,64858,12857,3776,755,22111,11600,26060,0,21686,22110,554,15726,39695,60571,60138,755,20000,0,24280,570,15398,11843,37847,64822,12857,24455
,47,47,3218,HYDE COUNTY,1445,1398,144,,1445,3215,161,3129,641,2997,3068,,3068,4098,1398,4410,12,,157,3299,3020,,157,1031,,1369,,4753,Hyde,153,,3225,3225,44,,4937,3391,47,52,,173,1398,1114,,170,173,,999,3001,3162,3150,,1051,,1416,,987,653,2876,3388,47,1445
0,1285,1286,5378,ALLEGHANY COUNTY,2897,1610,1209,,2896,5369,1303,5274,981,4948,5003,0,5010,9249,1610,9915,665,0,1253,6624,6043,0,1253,2571,,1598,,10626,Alleghany,1246,0,6289,6256,326,0,11137,6768,1286,349,34,1356,1611,3116,,1350,1356,0,2327,5151,6454,6194,0,2676,,2883,26,2245,1646,4834,6725,1286,2896
216,3919,3944,18545,DUPLIN COUNTY,8725,4769,6994,0,8713,18529,7403,18044,2514,16437,16746,161,16758,44760,4769,49644,1921,270,7768,26504,23074,184,7768,7580,10,4763,0,55126,Duplin,7712,270,24754,24730,1493,216,58741,27132,3944,1487,290,8297,4771,11405,0,8190,8297,216,6098,17314,24987,24365,270,7769,0,8682,228,5926,4435,15864,27096,3944,8713
,201,203,4166,GATES COUNTY,1747,1544,468,,1747,4158,499,4118,929,3859,3875,,3876,9230,1544,10120,80,0,507,4665,4234,0,507,1746,,1542,,11027,Gates,506,0,4383,4382,122,,11562,4732,203,122,15,551,1544,2418,,547,551,,1725,4004,4503,4365,0,1847,,1743,,1624,1009,3766,4709,203,1747
876,6639,6712,27162,HAYWOOD COUNTY,17782,10979,7290,47,17738,27152,7944,26486,5902,25668,26207,509,26220,50968,10979,54941,3326,1317,7756,36194,32973,613,7756,13597,91,10888,47,59266,Haywood,7723,1317,34899,34839,1837,876,62317,36946,6712,1971,1350,8434,10979,15572,10,8391,8434,876,11409,25565,34826,34267,1317,13993,47,17574,923,11251,9238,24807,36903,6712,17738
358,5170,5204,21010,STANLY COUNTY,11363,6147,6273,0,11351,21004,6714,20723,3418,19617,19806,284,19810,49282,6147,54008,2529,468,6637,28241,25504,329,6637,9496,12,6107,0,59178,Stanly,6588,468,26837,26801,1297,358,62806,28637,5204,1327,481,7146,6147,12123,0,7050,7146,358,8212,19912,27094,26563,468,9868,0,11277,390,7915,5947,18873,28618,5204,11351
