At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
9554,20213,20495,20494,20507,13968,13967,13819,6947,6416,6416,6283,2544,6416,13968,60843,54858,Robeson,111,111,111,63,123,1363,891,122048,15800,50826,53853,54940,16511,56109,59516,60926,1363,891,1423,1363,518,956,891,392,98425,20565,130625,ROBESON COUNTY,109195,14029,2188,15692,15435,15691,43811,43789,42718,13805,40717,13004,14487,14486,14297,2056,38665,39481,39497,13352,36931
1985,3146,3173,3172,3173,2406,2405,2386,1563,767,767,760,422,767,2406,6593,6084,Perquimans,,,,,,0,0,12861,2890,5852,6020,6099,3077,6313,6502,6616,0,0,20,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1101,234,1159,1151,1159,5437,5434,5351,2843,5212,1004,1062,1062,1056,217,4964,5022,5025,2673,4848
17673,49064,50487,50485,50527,23175,23173,22639,9721,27266,27266,26379,7942,27268,23181,120213,112214,Johnston,46,46,46,10,78,3351,2226,196283,25155,101117,108846,112284,26149,107657,116105,120325,3321,2214,3418,3148,893,2258,2092,614,156585,28558,209339,JOHNSTON COUNTY,175612,33482,3927,39229,37580,39228,77678,77634,75204,21329,71027,31623,37018,37014,35544,3820,71088,72974,73008,20721,67402
12936,27738,28113,28112,28133,13354,13354,13201,6789,14717,14716,14495,6127,14717,13358,66201,62720,Randolph,42,42,42,20,58,788,557,135556,19886,58605,61545,62813,20258,61565,64758,66320,788,557,870,788,512,629,557,429,111702,26060,143667,RANDOLPH COUNTY,123257,20691,3923,22850,22289,22850,42600,42563,41681,15823,40086,19733,21713,21711,21226,3952,39762,40452,40471,15505,38315
714,1768,1817,1817,1817,1759,1759,1713,697,58,58,55,17,58,1759,3418,3303,Hyde,,,,,,,,4753,1043,3072,3210,3303,1061,3180,3322,3421,,,,,,,,,4098,1114,4937,HYDE COUNTY,4410,164,50,177,174,177,3244,3241,3148,1011,3016,148,161,161,157,42,3053,3142,3142,1001,2924
1757,3222,3251,3251,3252,1843,1843,1818,1035,1408,1408,1404,722,1408,1844,6875,6422,Alleghany,,,,,,20,0,10626,2650,6175,6336,6455,2743,6581,6760,6919,20,0,55,20,20,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1346,356,1397,1391,1397,5467,5458,5349,2367,5215,1244,1288,1288,1280,339,5056,5134,5141,2311,4931
4850,10026,10132,10132,10160,5496,5496,5447,2740,4636,4636,4579,2110,4637,5498,29419,26867,Duplin,0,0,0,0,25,2116,1562,55126,7818,24716,26285,26920,8096,26887,28674,29493,2084,1562,2174,1873,428,1603,1385,302,44760,11405,58741,DUPLIN COUNTY,49644,7597,1522,8535,8397,8535,18784,18768,18193,6146,17417,7290,8147,8147,8033,1543,16690,17158,17170,5973,16041
1119,2035,2058,2057,2059,1784,1783,1772,1025,274,274,263,94,274,1785,4836,4542,Gates,,,,,,68,49,11027,1773,4346,4493,4572,1861,4602,4773,4902,68,49,125,68,0,77,49,0,9230,2418,11562,GATES COUNTY,10120,510,124,562,558,562,4215,4206,4147,1737,4024,487,528,528,526,127,3918,3965,3967,1646,3810
9745,19167,19499,19499,19535,12075,12075,11862,6207,7349,7349,7230,3525,7349,12076,37416,35426,Haywood,75,75,75,13,110,1419,897,59266,13724,33346,34669,35519,14136,35212,36603,37502,1419,897,1495,1419,629,976,897,509,50968,15572,62317,HAYWOOD COUNTY,54941,8086,2016,8590,8538,8590,27417,27407,26646,11491,25707,7454,7946,7945,7898,1877,25874,26584,26597,11338,24995
6397,12883,13056,13056,13057,7199,7199,7098,3682,5819,5819,5747,2690,5819,7199,29327,27566,Stanly,38,38,38,25,39,667,473,59178,9606,26070,27162,27647,9964,27664,28837,29386,667,473,720,667,329,550,473,284,49282,12123,62806,STANLY COUNTY,54008,6918,1356,7393,7261,7393,21273,21267,20909,8279,20079,6525,6956,6956,6848,1336,19841,20137,20141,7986,19072
