At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
9518,19997,20269,20268,20279,13788,13787,13646,6924,6375,6375,6245,2536,6375,13788,60803,54760,Robeson,106,106,106,58,116,1363,890,122048,15793,50763,53785,54842,16505,56110,59510,60884,1363,890,1422,1363,518,955,890,392,98425,20565,130625,ROBESON COUNTY,109195,14015,2186,15675,15423,15674,43787,43766,42724,13801,40732,12965,14451,14450,14261,2054,38634,39420,39436,13347,36908
1982,3135,3161,3160,3161,2398,2397,2378,1562,763,763,757,420,763,2398,6588,6071,Perquimans,,,,,,0,0,12861,2885,5842,6009,6086,3074,6312,6499,6611,0,0,20,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1102,234,1158,1150,1158,5433,5430,5349,2840,5210,1001,1059,1059,1053,217,4956,5012,5015,2668,4841
17563,48571,49923,49921,49970,22974,22972,22463,9670,26914,26914,26073,7893,26916,22980,119978,111927,Johnston,35,35,35,0,74,3334,2214,196283,25121,100906,108625,111997,26111,107484,115935,120090,3305,2203,3401,3132,891,2246,2081,614,156585,28558,209339,JOHNSTON COUNTY,175612,33379,3916,39080,37469,39079,77609,77565,75161,21304,70973,31483,36822,36818,35385,3810,71037,72895,72929,20697,67342
12868,27502,27871,27871,27898,13272,13272,13122,6767,14567,14567,14348,6081,14567,13276,66124,62605,Randolph,32,32,32,20,55,788,557,135556,19869,58508,61449,62698,20245,61502,64695,66242,788,557,869,788,512,629,557,429,111702,26060,143667,RANDOLPH COUNTY,123257,20653,3917,22820,22250,22820,42553,42516,41657,15816,40061,19664,21633,21631,21156,3945,39736,40417,40436,15495,38287
713,1763,1812,1812,1812,1753,1753,1707,696,59,59,56,17,59,1753,3415,3301,Hyde,,,,,,,,4753,1042,3070,3208,3301,1060,3177,3319,3418,,,,,,,,,4098,1114,4937,HYDE COUNTY,4410,161,50,174,171,174,3244,3241,3148,1010,3016,148,161,161,157,42,3051,3140,3140,1000,2922
1752,3196,3224,3224,3225,1821,1821,1797,1033,1403,1403,1399,719,1403,1822,6865,6409,Alleghany,,,,,,20,0,10626,2644,6163,6323,6442,2737,6570,6749,6909,20,0,55,20,20,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1342,356,1394,1388,1394,5460,5451,5341,2361,5208,1239,1284,1284,1275,338,5048,5125,5132,2306,4924
4825,9944,10047,10047,10074,5460,5460,5412,2726,4587,4587,4532,2099,4588,5462,29384,26822,Duplin,0,0,0,0,24,2103,1557,55126,7804,24684,26246,26875,8086,26858,28642,29458,2073,1557,2161,1864,428,1598,1382,302,44760,11405,58741,DUPLIN COUNTY,49644,7582,1519,8520,8383,8520,18777,18761,18186,6139,17412,7269,8120,8120,8008,1537,16681,17145,17157,5965,16033
1106,2002,2022,2021,2023,1752,1751,1743,1013,270,270,259,93,270,1753,4828,4518,Gates,,,,,,67,49,11027,1768,4328,4474,4548,1861,4596,4767,4893,67,49,124,67,0,77,49,0,9230,2418,11562,GATES COUNTY,10120,510,124,562,558,562,4207,4199,4142,1737,4019,485,526,526,524,127,3901,3943,3945,1641,3794
9717,19095,19418,19418,19453,12026,12026,11821,6192,7319,7319,7201,3513,7319,12027,37386,35384,Haywood,73,73,73,12,107,1415,897,59266,13704,33322,34641,35476,14119,35198,36581,37472,1415,897,1491,1415,629,975,897,509,50968,15572,62317,HAYWOOD COUNTY,54941,8081,2012,8584,8532,8584,27397,27387,26634,11478,25702,7444,7935,7934,7887,1871,25857,26553,26566,11324,24981
6362,12803,12970,12970,12980,7160,7160,7063,3671,5788,5788,5718,2680,5788,7160,29304,27537,Stanly,22,22,22,11,32,667,473,59178,9595,26050,27139,27618,9952,27652,28820,29363,667,473,720,667,329,550,473,284,49282,12123,62806,STANLY COUNTY,54008,6910,1352,7385,7252,7385,21258,21252,20901,8271,20075,6514,6942,6942,6836,1334,19830,20122,20126,7977,19063
41789,140413,143965,143959,143977,45776,45770,44335,18889,98189,98189,96078,22900,98191,45786,244778,234160,Missing,,,,,,40188,47304,,45426,212938,225132,235770,51525,222475,235026,246662,40173,47304,41965,40014,9873,48666,47195,9752,,,,MISSING COUNTY,,82504,6956,94028,89181,94022,110669,110568,105672,34696,99957,83168,95407,95405,90422,7697,87406,91451,91697,27977,82575
9107,19225,19562,19561,19575,12926,12925,12792,6793,6587,6587,6384,2296,6587,12931,45358,42744,Wilson,49,49,49,18,57,531,345,76972,12906,39555,41778,42812,13236,41778,44222,45425,531,345,578,531,272,396,345,222,63224,15337,81801,WILSON COUNTY,69710,11996,1868,13823,13328,13820,31024,31007,30363,11096,29251,11261,12930,12928,12490,1850,28943,29471,29486,10834,27949
456,870,874,874,874,797,797,794,426,77,77,76,30,77,797,2048,1952,Tyrrell,,,,,,,,3827,674,1829,1917,1953,688,1913,2007,2050,,,,,,,,,3288,810,4016,TYRRELL COUNTY,3533,169,38,179,177,179,1871,1869,1830,650,1744,146,151,151,151,38,1766,1801,1802,636,1683
10815,23711,24015,24015,24040,12064,12064,11925,5454,11893,11893,11728,5324,11893,12066,64813,59878,Wayne,58,58,58,37,81,6473,5233,115046,15971,55917,58751,59944,16644,60264,63425,64888,6429,5203,6509,6322,898,5270,5113,660,94031,20802,123131,WAYNE COUNTY,103693,17580,3200,20280,19530,20278,38099,38062,37466,12546,36362,16579,18973,18969,18343,3096,35205,35676,35701,12215,34225
