First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
0.11293050430504305,0.15775343642611683,Missing or Undisclosed,0.05734932349323493,Stanly ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.14550419348546909
,0.02637846789197146,Missing or Undisclosed,,Wake ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0023139679520011707
0.122448120553942,0.38377308707124014,Male,0.06469672096645199,Edgecombe ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.37551917908624477
,0.007283605384665409,Missing or Undisclosed,,New Hanover ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.008958883440211242
0.10987888515978404,0.1588272516346762,Missing or Undisclosed,0.04859185758062162,Hertford ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.1559718969555035
,,Missing or Undisclosed,,Martin ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
,0.003415154749199573,Missing or Undisclosed,,Caswell ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.005388760585065435
0.03500153515505066,0.009894115604929699,Missing or Undisclosed,0.00644765121277249,Beaufort ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.0033783783783783786
0.002358887952822241,0.0007657805491740509,Missing or Undisclosed,0.00016849199663016007,Randolph ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,9.40910801656003e-05
0.10470903522205206,0.13325213154689403,Missing or Undisclosed,0.0451761102603369,Warren ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.12121212121212122
